configuration,representation,kl_schedule,run_seed,epoch,beta,train_loss,train_reconstruction_loss,train_kl_unnormalized,train_kl_normalized,validation_loss,validation_reconstruction_loss,validation_kl_unnormalized,validation_kl_normalized
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,1,1.0,0.07210337692316528,0.0712731958348771,1.1630825710827926,0.0008301802791454622,0.0737116942803065,0.07349901348352432,0.29796513517697654,0.00021268032489434442
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,2,1.0,0.06733766169103075,0.06700984544242657,0.4592717930799075,0.00032781712568158997,0.06844452073176702,0.0681021973490715,0.479594628016154,0.0003423230749579971
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,3,1.0,0.06172294869064288,0.06135979813619576,0.508774133777884,0.0003631507021969194,0.061476396520932515,0.0609267661968867,0.7700337171554565,0.0005496314897612109
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,4,1.0,0.05478244148257051,0.05412991362569392,0.9141910733618777,0.0006525275327351019,0.053184417883555095,0.05201848869522412,1.6334667126337687,0.0011659291310733538
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,5,1.0,0.04687050042004638,0.045292153850737385,2.211263823309981,0.0015783467689578735,0.04549903770287832,0.04274764234821002,3.8547060966491697,0.002751396214596124
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,6,1.0,0.04106413222289019,0.037669962547034606,4.755231897146921,0.0033941698052440553,0.04176291773716609,0.03779571106036504,5.558055973052978,0.0039672062619935606
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,7,1.0,0.03897868307478581,0.03571114009427825,4.577827046508577,0.0032675425028612253,0.03989796365300814,0.037554962933063506,3.2825449307759604,0.0023430013781412995
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,8,1.0,0.03783927857875824,0.035784951076534136,2.8781126242826245,0.00205432735494834,0.03890412822365761,0.03675174390276273,3.015488783518473,0.0021523831431252485
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,9,1.0,0.03681350799282613,0.03428522192336059,3.542129456830888,0.002528286550200491,0.038092211137215296,0.03542087723811468,3.742538102467855,0.002671333406472416
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,10,1.0,0.03605299043497667,0.03358448887228302,3.4583717581289393,0.0024685023255738322,0.037012420346339545,0.03471817250053088,3.2142438570658367,0.002294249719533074
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,11,1.0,0.0351271311957441,0.03261806406495797,3.5152035463487206,0.002509067484902727,0.036205066740512847,0.03325300067663193,4.1358461062113445,0.0029520671707432868
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,12,1.0,0.03407679097649115,0.030919735452217312,4.423034079559666,0.003157055017530097,0.035174317906300226,0.03112020989259084,5.679804897308349,0.004054107706858208
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,13,1.0,0.03307390778551195,0.029118311526591067,5.541790670007052,0.003955596481089973,0.034161236385504404,0.030328525106112163,5.369628938039144,0.003832711590320588
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,14,1.0,0.032150479505736185,0.02849271598798651,5.124526466167737,0.0036577633591489914,0.0335699200630188,0.02956286941965421,5.613876883188883,0.0040070498809342495
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,15,1.0,0.03169790412556162,0.02752662931042295,5.843956689648642,0.004171275295966197,0.03290935705105464,0.028218632812301317,6.571705849965413,0.004690725089197297
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,16,1.0,0.03136085608875519,0.027067805487340873,6.0145632828842635,0.004293050166227169,0.03266576379537582,0.028787656873464584,5.433227094014486,0.0038781064197105537
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,17,1.0,0.03079066331132541,0.0269095894250199,5.4373854740748495,0.0038810745710741255,0.032039589683214825,0.0276275459676981,6.181273969014486,0.004412044231987499
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,18,1.0,0.030159927339067368,0.025526937776994905,6.49081829995498,0.004632989507462513,0.03168664959569772,0.02668495165805022,7.007378832499186,0.0050016979532471
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,19,1.0,0.029805371792037506,0.02549679629753725,6.036314079688452,0.0043085753602344415,0.03145773361126582,0.027155645191669464,6.027225844065348,0.00430208839690603
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,20,1.0,0.029487013982863148,0.02519489380642564,6.013261176085406,0.004292120753808284,0.030954979608456293,0.026242760941386223,6.601818561553955,0.004712218816241225
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,21,1.0,0.029732889347919848,0.02517248408396762,6.389127933215298,0.0045604053770273364,0.030900839095314343,0.02579318607846896,7.15582291285197,0.0051076537564967665
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,22,1.0,0.029488988718780633,0.024506971172594094,6.979806876116144,0.004982017755971552,0.030726962039868036,0.0255859420945247,7.202569516499837,0.005141020354389605
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,23,1.0,0.02938170335190708,0.024625596919805228,6.663305670438039,0.0047561068311477795,0.03058710942665736,0.025711030513048173,6.831387265523275,0.004876079418646163
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,24,1.0,0.0292188266920014,0.02466961214303306,6.373450073359073,0.004549214898900123,0.030668059488137563,0.026069847246011097,6.442095597585042,0.0045982124179764754
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,25,1.0,0.029240419066051918,0.02468202118878577,6.386316001913341,0.004558398288303598,0.030917365600665412,0.025668871030211447,7.353140004475912,0.005248493936099866
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,26,1.0,0.02857771771116841,0.023718474469145028,6.807799968878871,0.0048592433753596505,0.030368010327219964,0.025643044585982957,6.6196780840555824,0.004724966512530751
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,27,1.0,0.02881952599313598,0.02424200900251819,6.413101750163979,0.004577517309181998,0.03015204891562462,0.025056089212497076,7.139439487457276,0.005095959662710404
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,28,1.0,0.02892757272529403,0.02395336209565484,6.968869436418114,0.004974210875387661,0.02993134930729866,0.02469476101299127,7.336459954579671,0.00523658811890055
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,29,1.0,0.028476481619070498,0.023556810712913948,6.892458590292333,0.004919670656882464,0.030004393433531125,0.025366345793008803,6.4979042689005535,0.004638047301142437
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,30,1.0,0.028448949191812685,0.024106421738779978,6.083881097915777,0.004342527550261083,0.02987000048160553,0.025111233443021776,6.667031033833822,0.004758765905662971
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,31,1.0,0.028141203556925804,0.023265876768359235,6.830332312411253,0.004875326418566204,0.029712824523448943,0.024355741466085115,7.505273373921712,0.005357083064897725
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,32,1.0,0.02773786206472883,0.023005390098749096,6.630193253413548,0.004732471986733439,0.02956644967198372,0.02503852608303229,6.343621508280436,0.004527923988779755
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,33,1.0,0.02783616168896634,0.02319315200396567,6.504856909217941,0.0046430099280641976,0.029120237131913505,0.023910824333628018,7.298386891682942,0.005209412485141287
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,34,1.0,0.02699257834998678,0.022182846753170563,6.738434107522779,0.004809731697018401,0.028714891274770102,0.024066840236385664,6.511918830871582,0.004648050557367296
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,35,1.0,0.026739037593095084,0.022165147447569457,6.408020396750618,0.004573890361706365,0.028148349995414417,0.02296624593436718,7.260128402709961,0.005182104498722313
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,36,1.0,0.02664524128447834,0.02148555342139142,7.228723132842762,0.005159688174762857,0.02794771852592627,0.0225827120244503,7.516373920440674,0.005365006367195341
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,37,1.0,0.025867339244376984,0.02098399844321534,6.841560650668768,0.004883340935523746,0.02753061627348264,0.02228644626835982,7.34708309173584,0.005244170657912805
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,38,1.0,0.025745388462848982,0.020630523391213258,7.165925763111592,0.005114864927274513,0.02715678997337818,0.021931018431981406,7.321305274963379,0.005225771074206552
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,39,1.0,0.025390198148143656,0.020356202404686666,7.052628493242609,0.0050339960694094285,0.02700137346982956,0.02185130094488462,7.21525141398112,0.005150072386853048
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,40,1.0,0.025222021318494776,0.020220989024157643,7.006446449205404,0.005001032440546327,0.026909024889270463,0.0213541512688001,7.78237730662028,0.005554873166752519
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,41,1.0,0.024853627947172083,0.01963850563718914,7.306386719175036,0.005215122569004308,0.026651825631658237,0.021585714444518088,7.097622458140055,0.005066111676045721
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,42,1.0,0.025313334944229937,0.020393074378578777,6.8932844496703085,0.00492026013538209,0.02637238328655561,0.02094020607570807,7.6104814847310385,0.00543217807618204
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,43,1.0,0.025123430436741676,0.019707346573721068,7.587933480573564,0.005416083854799117,0.026403675228357314,0.020606710016727446,8.121549224853515,0.005796965899253045
c8x16_z64_spectral_composite_beta1_constant,arpls_minmax,constant,912854158,44,1.0,0.024609489247078353,0.01946169352755573,7.212061638951633,0.005147795602392315,0.026354544733961423,0.021277538935343423,7.112884934743246,0.005077005663628298
