experiment_id,task_id,domain,station,procedure_id,outer_repeat,spectrum_status,master_status,spectrum_balanced_accuracy,master_balanced_accuracy,master_minus_spectrum,pair_status
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,1,complete,complete,0.5920634920634921,0.7043650793650794,0.11230158730158735,complete
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,2,complete,complete,0.5301587301587302,0.6362433862433862,0.106084656084656,complete
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,3,complete,complete,0.567857142857143,0.7671957671957671,0.19933862433862415,complete
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,4,complete,complete,0.5555555555555555,0.6984126984126983,0.1428571428571428,complete
EXP-C09-T3,T3-ZS,cwa:Mira-2,cwa,C-SELECTED,5,complete,complete,0.5162698412698412,0.6613756613756614,0.14510582010582018,complete
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,1,complete,complete,0.446031746031746,0.5198412698412698,0.07380952380952377,complete
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,2,complete,complete,0.5149206349206349,0.5152116402116401,0.00029100529100523076,complete
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,3,unavailable,unavailable,,,,unavailable
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,4,complete,complete,0.5839153439153438,0.5879629629629629,0.004047619047619078,complete
EXP-C09-T3,T3-ZS,cwa:Pendar-2,cwa,C-SELECTED,5,complete,complete,0.5972486772486773,0.5522486772486772,-0.04500000000000004,complete
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,1,complete,complete,0.583030303030303,0.7083333333333334,0.12530303030303036,complete
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,2,complete,complete,0.6266666666666666,0.8194444444444445,0.19277777777777794,complete
EXP-C09-T3,T3-ZS,cwa:RMX-1,cwa,C-SELECTED,3,complete,complete,0.6606060606060606,0.7083333333333334,0.04772727272727273,complete
