experiment_id,procedure_id,outer_repeat,aggregation_level,domain_count,complete_domain_count,summary_status,mean_domain_balanced_accuracy,worst_domain_balanced_accuracy,mean_domain_macro_f1
EXP-C09-CONTROL-META,C-METADATA-LOGREG,1,instrument_balanced_master,13,12,incomplete_terminal_cells,0.32724867724867723,0.25,0.23521005805770287
EXP-C09-CONTROL-META,C-METADATA-LOGREG,1,spectrum,13,12,incomplete_terminal_cells,0.32935451868919613,0.27499999999999997,0.2306601414338185
EXP-C09-CONTROL-META,C-METADATA-LOGREG,2,instrument_balanced_master,13,12,incomplete_terminal_cells,0.3097883597883598,0.20634920634920637,0.2246350224302618
EXP-C09-CONTROL-META,C-METADATA-LOGREG,2,spectrum,13,12,incomplete_terminal_cells,0.29957038615849324,0.17337164750957854,0.22553717727481734
EXP-C09-CONTROL-META,C-METADATA-LOGREG,3,instrument_balanced_master,13,13,complete,0.3038988788988789,0.23611111111111108,0.22897243873615059
EXP-C09-CONTROL-META,C-METADATA-LOGREG,3,spectrum,13,13,complete,0.3192685553958764,0.2698412698412698,0.23993279719604754
EXP-C09-CONTROL-META,C-METADATA-LOGREG,4,instrument_balanced_master,13,11,incomplete_terminal_cells,0.32431457431457433,0.2333333333333333,0.23862699784965927
EXP-C09-CONTROL-META,C-METADATA-LOGREG,4,spectrum,13,11,incomplete_terminal_cells,0.32487110939456976,0.2614247311827957,0.24314279694362192
EXP-C09-CONTROL-META,C-METADATA-LOGREG,5,instrument_balanced_master,13,11,incomplete_terminal_cells,0.31462241462241464,0.16666666666666666,0.2538974933500686
EXP-C09-CONTROL-META,C-METADATA-LOGREG,5,spectrum,13,11,incomplete_terminal_cells,0.33899904955850957,0.2106060606060606,0.2829423416519747
EXP-C09-CONTROL-PERM,C-PERMUTED-SELECTED:CTRL-PERM-00,1,instrument_balanced_master,13,12,incomplete_terminal_cells,0.4027707631874298,0.19047619047619047,0.3701283566221647
EXP-C09-CONTROL-PERM,C-PERMUTED-SELECTED:CTRL-PERM-00,1,spectrum,13,12,incomplete_terminal_cells,0.3855570673850243,0.12121212121212122,0.36237404973382387
