outer_run_id,experiment_id,task_id,domain,station,held_instrument,outer_repeat,outer_fold,selection_kind,fixed_family_model_id,margin_status,selected_candidate_id,runner_up_candidate_id,supported_candidate_count,mean_ba_margin,worst_ba_margin,macro_f1_margin
P03OUTER-000a5805b519f76e1dd7018a,EXP-C10-T3,T3-ZS,pills:Mira-3,pills,Mira-3,1,2,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-000,C-RANDOM-FOREST-001,16,0.0,0.0,0.0
P03OUTER-0027d20232d168ca2c835d6d,EXP-C10-T3,T3-ZS,surfaces:Agilent-3,surfaces,Agilent-3,2,1,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-000,C-RANDOM-FOREST-001,16,0.0,0.0,0.0
P03OUTER-003aebad7266b0b3b4f63ba3,EXP-C10-T3,T3-ZS,cwa:Mira-2,cwa,Mira-2,3,3,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-001,C-RANDOM-FOREST-005,16,0.0,0.0,0.0
P03OUTER-004995da86e678b038ad4768,EXP-C09-T3,T3-ZS,pills:Agilent-3,pills,Agilent-3,2,1,standard,,complete,C-PLS-DA-000,C-LOGREG-EN-000,126,0.0,0.0,0.0
P03OUTER-005e8eed8351008e4d23a8bf,EXP-C10-T3,T3-ZS,surfaces:RMX-2,surfaces,RMX-2,5,1,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-000,C-RANDOM-FOREST-004,16,0.0,0.0,0.0
P03OUTER-006eea2439d3b9432afdb8dc,EXP-C10-T3,T3-ZS,pills:Mira-3,pills,Mira-3,3,2,fixed_family_reuse,C-RANDOM-FOREST,complete,C-RANDOM-FOREST-000,C-RANDOM-FOREST-001,16,0.0,0.0,0.0
P03OUTER-0095bc0f52061980d44fe03d,EXP-C10-T3,T3-ZS,pills:Agilent-3,pills,Agilent-3,4,2,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-001,16,0.0,0.0,0.0
P03OUTER-009b29067ed29c1a57be337a,EXP-C05-T1,T1-PILLS,pills:within,pills,not_applicable,1,2,standard,,complete,C-LOGREG-EN-000,C-LOGREG-EN-005,29,0.0,0.0,0.0
P03OUTER-00b937a6e8f87c39c60d4707,EXP-C12-CORAL,T3-ZS,cwa:Mira-2,cwa,Mira-2,4,1,source_covariance,,unavailable,,,0,,,
P03OUTER-00ba140c3987385259455d10,EXP-C03-T1,T1-PILLS,pills:within,pills,not_applicable,3,1,standard,,complete,C-PCA-LDA-002,C-PCA-LDA-003,10,0.0,0.0,0.0
P03OUTER-00ba76ff8fc0676fe6989a5d,EXP-C10-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,4,2,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-002,C-PCA-LDA-003,6,0.10714285714285715,0.11904761904761907,0.1157407407407407
P03OUTER-00c5dcf2759fc7000e2e8e47,EXP-C02-T1,T1-SURF,surfaces:within,surfaces,not_applicable,4,0,standard,,complete,C-NEAREST-CENTROID-000,C-NEAREST-CENTROID-001,8,0.0,0.0,0.0
P03OUTER-00e2c9053e90e1862860311d,EXP-C10-T3,T3-ZS,pills:Pendar-3,pills,Pendar-3,1,3,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-004,C-PCA-LDA-005,10,0.0,0.0,0.0
P03OUTER-00ea1cb36d40288be14f37ea,EXP-C10-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,1,0,fixed_family_reuse,C-PCA-LDA,complete,C-PCA-LDA-003,C-PCA-LDA-002,6,0.13333333333333341,0.10000000000000003,0.10280830280830283
P03OUTER-011917de8b73e9c38a2d3255,EXP-C04-T1,T1-SURF,surfaces:within,surfaces,not_applicable,5,2,standard,,complete,C-PLS-DA-001,C-PLS-DA-003,5,0.0,0.0,0.0
P03OUTER-011a7ad05f1ea478f3915122,EXP-C10-T3,T3-ZS,cwa:Mira-2,cwa,Mira-2,1,1,fixed_family_reuse,C-RBF-SVM,complete,C-RBF-SVM-013,C-RBF-SVM-012,36,0.0,0.0,0.029629629629629672
P03OUTER-013ed76f262b590b57cd78ae,EXP-C12-CORAL,T3-ZS,pills:Agilent-3,pills,Agilent-3,1,0,source_covariance,,unavailable,,,0,,,
P03OUTER-01482e071aeab7330b6e2c63,EXP-C06-T1,T1-CWA,cwa:within,cwa,not_applicable,2,0,standard,,complete,C-RBF-SVM-019,C-RBF-SVM-025,36,0.0,0.0,0.0
P03OUTER-0151b32747626a3e39f716ac,EXP-C10-T3,T3-ZS,surfaces:Agilent-3,surfaces,Agilent-3,5,1,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-001,C-EXTRA-TREES-006,16,0.0,0.0,0.0
P03OUTER-015a72e4d636f96e9b409775,EXP-C09-T3,T3-ZS,pills:Pendar-3,pills,Pendar-3,5,0,standard,,complete,C-PLS-DA-000,C-LOGREG-EN-000,122,0.0,0.0,0.0
P03OUTER-017d19347c3a88bfb663a71a,EXP-C01-T1,T1-PILLS,pills:within,pills,not_applicable,4,0,standard,,complete,C-SPECTRAL-MATCH-001,C-SPECTRAL-MATCH-002,3,0.0,0.0,0.0
P03OUTER-0196991c82b21c4bb0ea0dd5,EXP-C10-T3,T3-ZS,cwa:Mira-2,cwa,Mira-2,2,3,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-002,C-EXTRA-TREES-003,16,0.0,0.0,0.0
P03OUTER-01aa7cd5352a33ba940485b9,EXP-C10-T3,T3-ZS,surfaces:Pendar-3,surfaces,Pendar-3,3,1,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-005,C-EXTRA-TREES-000,16,0.02777777777777779,0.055555555555555525,0.042658730158730174
P03OUTER-01abc2d81100edfe7b67b8e9,EXP-C09-CONTROL-META,T3-ZS,cwa:RMX-1,cwa,RMX-1,3,0,metadata_control,,complete,CTRL-META-C-LOGREG-EN-015,CTRL-META-C-LOGREG-EN-020,30,0.0,0.0,0.037698412698412676
P03OUTER-01dfb6897534148460bd622a,EXP-C10-T3,T3-ZS,pills:Pendar-3,pills,Pendar-3,1,2,fixed_family_reuse,C-EXTRA-TREES,complete,C-EXTRA-TREES-000,C-EXTRA-TREES-001,16,0.0,0.0,0.0
