experiment_id,task_id,station,domain,held_instrument,outer_fold,selection_kind,fixed_family_model_id,repeat_count,selection_count,complete_selection_count,distinct_outcome_count,modal_candidate_id,modal_count,modal_fraction,normalized_entropy,selection_state_set_sha256
EXP-C01-T1,T1-CWA,cwa,cwa:within,not_applicable,0,standard,,5,5,5,2,C-SPECTRAL-MATCH-001,4,0.8,0.7219280948873623,0469954ddcffa43d6c18e0d60c0d39129b0147b0ef2b7250ddb6a0a45559c376
EXP-C01-T1,T1-CWA,cwa,cwa:within,not_applicable,1,standard,,5,5,5,2,C-SPECTRAL-MATCH-001,3,0.6,0.9709505944546688,b994167a692513ccde86d1d06ac6d55619769e0b0327087144159f089a2bbd6f
EXP-C01-T1,T1-CWA,cwa,cwa:within,not_applicable,2,standard,,5,5,5,2,C-SPECTRAL-MATCH-001,4,0.8,0.7219280948873623,ffb807f394ae3dea4a7eecba4a6025fa1bb112671c557e35271ea250007a417b
EXP-C01-T1,T1-CWA,cwa,cwa:within,not_applicable,3,standard,,5,5,5,2,C-SPECTRAL-MATCH-001,4,0.8,0.7219280948873623,c97d12ca5984df1e38d52657fdeba2f10b7f5f998e85494bbe7363e219efdfb9
EXP-C01-T1,T1-PILLS,pills,pills:within,not_applicable,0,standard,,5,5,5,2,C-SPECTRAL-MATCH-000,4,0.8,0.7219280948873623,b2ae906a759e37ccb0448e84a34d7fd483ed5fc56e8fd4769a02d898d2e78c2b
EXP-C01-T1,T1-PILLS,pills,pills:within,not_applicable,1,standard,,5,5,5,2,C-SPECTRAL-MATCH-000,4,0.8,0.7219280948873623,cc901c0e764cd376c3d6a1eca4ad35ab276f374e047708e0ceeee888f9290824
EXP-C01-T1,T1-PILLS,pills,pills:within,not_applicable,2,standard,,5,5,5,1,C-SPECTRAL-MATCH-000,5,1.0,0.0,c852cb2551172fba77cc531716780a49a604769921f735fd583924dede9ce057
EXP-C01-T1,T1-PILLS,pills,pills:within,not_applicable,3,standard,,5,5,5,1,C-SPECTRAL-MATCH-000,5,1.0,0.0,d65776d71bddd6d189c44dd841730b5bbf8e649e80dedff8085595b2c32d14bf
EXP-C01-T1,T1-SURF,surfaces,surfaces:within,not_applicable,0,standard,,5,5,5,3,C-SPECTRAL-MATCH-000,3,0.6,0.8649735207179272,bf052bf468cbc8ac86bb6ab121e8a84582554604f5f49ab6c43f338365680f26
EXP-C01-T1,T1-SURF,surfaces,surfaces:within,not_applicable,1,standard,,5,5,5,2,C-SPECTRAL-MATCH-000,3,0.6,0.9709505944546688,a369f11819587105a29f288c7dfe9e1f27e7169aca2e5b29981ab89e8a93ae5a
EXP-C01-T1,T1-SURF,surfaces,surfaces:within,not_applicable,2,standard,,5,5,5,2,C-SPECTRAL-MATCH-002,4,0.8,0.7219280948873623,39b9c9a98f39870be5064aa69af9bc4971729bcb498f7d88500649f0fc91b856
EXP-C01-T1,T1-SURF,surfaces,surfaces:within,not_applicable,3,standard,,5,5,5,2,C-SPECTRAL-MATCH-002,3,0.6,0.9709505944546688,e63aa99ea4a577c90df7468b7b7a7f60c86669488ed33f4c8d3e6151793bf2d2
EXP-C02-T1,T1-CWA,cwa,cwa:within,not_applicable,0,standard,,5,5,5,3,C-NEAREST-CENTROID-000,2,0.4,0.9602297178607612,21003fe6d638234b6ed1eafc38c80c8f0d36e09a5d1ae476a468f826abc72e8b
EXP-C02-T1,T1-CWA,cwa,cwa:within,not_applicable,1,standard,,5,5,5,3,C-NEAREST-CENTROID-004,3,0.6,0.8649735207179272,265901e49d8bf816913fd99700e07dc3bc96b5acabd319ff8e068eba619dee19
EXP-C02-T1,T1-CWA,cwa,cwa:within,not_applicable,2,standard,,5,5,5,3,C-NEAREST-CENTROID-003,2,0.4,0.9602297178607612,fa5ba2c4b56c2cf3de19d6825bf16340d0f5abee417d7b1b85a6afe9ac00c332
EXP-C02-T1,T1-CWA,cwa,cwa:within,not_applicable,3,standard,,5,5,5,1,C-NEAREST-CENTROID-004,5,1.0,0.0,abaaf211495d0e232e4d2fab3b0b30df383084eeaf0430e3b0e27245d2e3cad3
