station,aggregation_level,true_index,predicted_index,true_label,predicted_label,mean_row_fraction,minimum_row_fraction,maximum_row_fraction,mean_count_per_repeat,mean_true_support_per_repeat,repeat_count,minimum_domain_count
cwa,instrument_balanced_master,0,0,4_nitrophenol,4_nitrophenol,0.8583333333333334,0.75,0.9583333333333334,17.8,20.8,5,2
cwa,instrument_balanced_master,0,1,4_nitrophenol,ethanol,0.05,0.0,0.125,1.0,20.8,5,2
cwa,instrument_balanced_master,0,2,4_nitrophenol,ethyl_paraoxon,0.09166666666666666,0.041666666666666664,0.20833333333333334,2.0,20.8,5,2
cwa,instrument_balanced_master,1,0,ethanol,4_nitrophenol,0.05833333333333333,0.0,0.125,1.4,21.0,5,2
cwa,instrument_balanced_master,1,1,ethanol,ethanol,0.6377777777777778,0.4666666666666667,0.7222222222222222,13.6,21.0,5,2
cwa,instrument_balanced_master,1,2,ethanol,ethyl_paraoxon,0.3038888888888889,0.20833333333333334,0.5333333333333333,6.0,21.0,5,2
cwa,instrument_balanced_master,2,0,ethyl_paraoxon,4_nitrophenol,0.21976911976911975,0.09090909090909091,0.3333333333333333,3.6,15.8,5,2
cwa,instrument_balanced_master,2,1,ethyl_paraoxon,ethanol,0.32611832611832614,0.09090909090909091,0.4444444444444444,5.4,15.8,5,2
cwa,instrument_balanced_master,2,2,ethyl_paraoxon,ethyl_paraoxon,0.4541125541125541,0.2222222222222222,0.8181818181818182,6.8,15.8,5,2
cwa,spectrum,0,0,4_nitrophenol,4_nitrophenol,0.7112239961296565,0.6792452830188679,0.7435897435897436,48.4,68.0,5,2
cwa,spectrum,0,1,4_nitrophenol,ethanol,0.12854378326076438,0.09433962264150944,0.16666666666666666,8.8,68.0,5,2
cwa,spectrum,0,2,4_nitrophenol,ethyl_paraoxon,0.16023222060957912,0.08974358974358974,0.19230769230769232,10.8,68.0,5,2
cwa,spectrum,1,0,ethanol,4_nitrophenol,0.11151841868823001,0.047619047619047616,0.16981132075471697,5.6,47.2,5,2
cwa,spectrum,1,1,ethanol,ethanol,0.5936208445642407,0.42857142857142855,0.7169811320754716,28.4,47.2,5,2
cwa,spectrum,1,2,ethanol,ethyl_paraoxon,0.2948607367475292,0.1320754716981132,0.5142857142857142,13.2,47.2,5,2
cwa,spectrum,2,0,ethyl_paraoxon,4_nitrophenol,0.24045540796963943,0.17647058823529413,0.3333333333333333,9.8,40.0,5,2
cwa,spectrum,2,1,ethyl_paraoxon,ethanol,0.3716888045540797,0.12903225806451613,0.5294117647058824,15.2,40.0,5,2
cwa,spectrum,2,2,ethyl_paraoxon,ethyl_paraoxon,0.3878557874762808,0.2,0.6451612903225806,15.0,40.0,5,2
pills,instrument_balanced_master,0,0,4_ANPP,4_ANPP,0.6705882352941177,0.5882352941176471,0.7058823529411765,22.8,34.0,5,5
pills,instrument_balanced_master,0,1,4_ANPP,benzyl_fentanyl,0.08823529411764705,0.058823529411764705,0.14705882352941177,3.0,34.0,5,5
pills,instrument_balanced_master,0,2,4_ANPP,blank,0.24117647058823527,0.23529411764705882,0.2647058823529412,8.2,34.0,5,5
pills,instrument_balanced_master,1,0,benzyl_fentanyl,4_ANPP,0.043478260869565216,0.0,0.08695652173913043,1.0,23.0,5,5
pills,instrument_balanced_master,1,1,benzyl_fentanyl,benzyl_fentanyl,0.7391304347826086,0.6956521739130435,0.782608695652174,17.0,23.0,5,5
pills,instrument_balanced_master,1,2,benzyl_fentanyl,blank,0.21739130434782608,0.21739130434782608,0.21739130434782608,5.0,23.0,5,5
pills,instrument_balanced_master,2,0,blank,4_ANPP,0.0,0.0,0.0,0.0,40.0,5,5
