experiment_id,task_id,effective_model_id,stage_group,planned_fit_records,complete_fit_records,terminal_failure_records,timed_fit_records,total_training_seconds,median_training_seconds,p95_training_seconds,timed_inference_records,inference_prediction_rows,median_milliseconds_per_prediction,p95_milliseconds_per_prediction,sized_model_records,median_serialized_model_bytes,maximum_serialized_model_bytes
EXP-C00-T1,T1-CWA,C-PRIOR,final_refit_and_prediction,40,40,0,40,0.07150822208495641,0.00172189800650805,0.0038591889693634094,40,2080,0.13681797663852116,0.4180726293910101,40,879.0,880.0
EXP-C00-T1,T1-PILLS,C-PRIOR,final_refit_and_prediction,40,40,0,40,0.0783683691406607,0.0016373850230593,0.0043137412634677635,40,2080,0.12428522913587955,0.33731385291746924,40,871.0,872.0
EXP-C00-T1,T1-SURF,C-PRIOR,final_refit_and_prediction,40,40,0,40,0.0835989808547291,0.00152870101737785,0.004526250570779588,40,1820,0.1533240180090737,0.6277246013288712,40,879.0,880.0
EXP-C01-T1,T1-CWA,C-SPECTRAL-MATCH,final_refit_and_prediction,20,20,0,20,0.10118269798112929,0.0042640235042199,0.008597023179754582,20,1040,0.20763688848457282,0.4304537288074274,20,34483.0,34490.0
EXP-C01-T1,T1-CWA,C-SPECTRAL-MATCH,selection,180,180,0,180,2.4396399633260355,0.01348344751750115,0.014560681424336424,180,9360,0.003949452378812663,0.006350087565611835,180,34483.0,34490.0
EXP-C01-T1,T1-PILLS,C-SPECTRAL-MATCH,final_refit_and_prediction,20,20,0,20,0.07838435395387829,0.0034772584913298,0.008886931181768856,20,1040,0.1726456259132581,0.3786497186129067,20,34474.0,34482.0
EXP-C01-T1,T1-PILLS,C-SPECTRAL-MATCH,selection,180,180,0,180,2.447699089534572,0.0135104335204232,0.014700849447399304,180,9360,0.0037701155381375338,0.005583076864883036,180,34475.0,34482.0
EXP-C01-T1,T1-SURF,C-SPECTRAL-MATCH,final_refit_and_prediction,20,20,0,20,0.0828753453097294,0.0037946435040793498,0.00644954165036322,20,910,0.2650040779374033,0.6381954435215622,20,34483.0,34490.0
EXP-C01-T1,T1-SURF,C-SPECTRAL-MATCH,selection,180,180,0,180,2.4075681631220416,0.013303495012223651,0.014486689915065604,180,8190,0.004099637091724395,0.006062026572958466,180,34483.0,34490.0
EXP-C02-T1,T1-CWA,C-NEAREST-CENTROID,final_refit_and_prediction,20,20,0,20,0.1298509009648106,0.00428426699363625,0.01841758349619333,20,1040,0.21250217205619915,0.45681930170261087,20,34479.0,79601.0
EXP-C02-T1,T1-CWA,C-NEAREST-CENTROID,selection,480,480,0,480,6.917958351201354,0.0144781510171014,0.016527392639545665,480,24960,0.011407993913157262,0.03956091970287393,480,57040.0,79601.0
EXP-C02-T1,T1-PILLS,C-NEAREST-CENTROID,final_refit_and_prediction,20,20,0,20,0.27838330803206085,0.011630148481344749,0.02666647024161642,20,1040,0.2668440746244529,0.6768431131949734,20,79585.0,79593.0
EXP-C02-T1,T1-PILLS,C-NEAREST-CENTROID,selection,480,480,0,480,5.295464761205926,0.01089144402067175,0.01497505016159259,480,24960,0.009787653999086654,0.023587737220170164,480,57032.0,79593.0
EXP-C02-T1,T1-SURF,C-NEAREST-CENTROID,final_refit_and_prediction,20,20,0,20,0.22191576816839992,0.0107002044969704,0.02095580603054257,20,910,0.31249751680302135,0.8008963770791777,20,79593.0,79601.0
EXP-C02-T1,T1-SURF,C-NEAREST-CENTROID,selection,480,480,0,480,5.2192867133998995,0.010717762488638899,0.015286858039325944,480,21840,0.009900858483271175,0.027692989551545675,480,57040.0,79601.0
