station,procedure_id,outer_repeat,aggregation_level,within_station_balanced_accuracy,zero_shot_balanced_accuracy,zero_shot_minus_within_station,within_station_endpoint_count,zero_shot_domain_count
cwa,C-EXTRA-TREES,1,instrument_balanced_master,0.9047619047619048,0.7078924162257495,-0.19686948853615527,1,3
cwa,C-EXTRA-TREES,1,spectrum,0.6167082229494572,0.6221252204585538,0.005416997509096633,1,3
cwa,C-EXTRA-TREES,2,instrument_balanced_master,0.8677248677248678,0.7283950617283951,-0.1393298059964727,1,3
cwa,C-EXTRA-TREES,2,spectrum,0.6270237043963084,0.6211728395061727,-0.005850864890135643,1,3
cwa,C-EXTRA-TREES,3,instrument_balanced_master,0.8630952380952381,0.7026014109347442,-0.16049382716049398,1,3
cwa,C-EXTRA-TREES,3,spectrum,0.6254307135560057,0.6093290043290044,-0.01610170922700127,1,3
cwa,C-EXTRA-TREES,4,instrument_balanced_master,0.8630952380952381,0.7550705467372133,-0.10802469135802484,1,3
cwa,C-EXTRA-TREES,4,spectrum,0.634313369002476,0.6827769761103094,0.04846360710783337,1,3
cwa,C-EXTRA-TREES,5,instrument_balanced_master,0.7890211640211641,0.7171516754850088,-0.07186948853615527,1,3
cwa,C-EXTRA-TREES,5,spectrum,0.5881166346336987,0.6153960237293571,0.027279389095658413,1,3
cwa,C-PCA-LDA,1,instrument_balanced_master,0.826058201058201,0.5634920634920635,-0.26256613756613756,1,3
cwa,C-PCA-LDA,1,spectrum,0.6761986390317386,0.5478395061728395,-0.1283591328588991,1,3
cwa,C-PCA-LDA,2,instrument_balanced_master,0.826058201058201,0.5698853615520282,-0.25617283950617287,1,3
cwa,C-PCA-LDA,2,spectrum,0.6599527297283257,0.526420554753888,-0.1335321749744377,1,3
cwa,C-PCA-LDA,3,instrument_balanced_master,0.8736772486772487,0.6754850088183422,-0.19819223985890655,1,3
cwa,C-PCA-LDA,3,spectrum,0.6419536647446885,0.5785802469135802,-0.06337341783110828,1,3
cwa,C-PCA-LDA,4,instrument_balanced_master,0.9107142857142857,0.6690917107583774,-0.24162257495590833,1,3
cwa,C-PCA-LDA,4,spectrum,0.6794279085069174,0.5978924162257496,-0.08153549228116774,1,3
cwa,C-PCA-LDA,5,instrument_balanced_master,0.826058201058201,0.5870811287477954,-0.23897707231040566,1,3
cwa,C-PCA-LDA,5,spectrum,0.6509531972365072,0.5281088664421998,-0.12284433079430745,1,3
cwa,C-RBF-SVM,1,instrument_balanced_master,0.7738095238095237,0.5870811287477954,-0.18672839506172834,1,3
cwa,C-RBF-SVM,1,spectrum,0.605085450106488,0.5301980118646785,-0.07488743824180943,1,3
cwa,C-RBF-SVM,2,instrument_balanced_master,0.8154761904761904,0.521384479717813,-0.29409171075837737,1,3
