aggregation_level,station,bin_index,bin_lower,bin_upper,mean_confidence,minimum_confidence,maximum_confidence,mean_empirical_accuracy,minimum_empirical_accuracy,maximum_empirical_accuracy,mean_observations_per_repeat,repeat_count
instrument_balanced_master,cwa,3,0.3,0.4,0.37317165184299605,0.36476466887026276,0.37902019907753043,0.5291208791208791,0.42857142857142855,0.75,12.8,5
instrument_balanced_master,cwa,4,0.4,0.5,0.4490592078537102,0.4421377703210599,0.4567726716684823,0.687463768115942,0.625,0.75,20.6,5
instrument_balanced_master,cwa,5,0.5,0.6,0.5419688160544315,0.5237769211896405,0.5581307423121102,0.693867243867244,0.5833333333333334,0.7777777777777778,9.8,5
instrument_balanced_master,cwa,6,0.6,0.7,0.6467937654533666,0.6177255378126162,0.6671269375350082,0.7872727272727273,0.5,1.0,7.8,5
instrument_balanced_master,cwa,7,0.7,0.8,0.7464087058684691,0.7242925699591872,0.7895722710751197,0.8916666666666666,0.6666666666666666,1.0,5.25,4
instrument_balanced_master,cwa,8,0.8,0.9,0.8670695311968357,0.8439322279215911,0.8948262920191593,0.45,0.0,1.0,1.8,5
instrument_balanced_master,cwa,9,0.9,1.0,0.9419842011896445,0.9181278329132544,0.9771935374213535,0.6666666666666666,0.0,1.0,1.0,3
instrument_balanced_master,pills,3,0.3,0.4,0.37943594739037,0.37043727100123325,0.3887645326263707,0.5666666666666667,0.0,1.0,2.0,5
instrument_balanced_master,pills,4,0.4,0.5,0.45314204796116925,0.44626859521813234,0.45768012565342114,0.7550241545893719,0.6,0.8888888888888888,16.4,5
instrument_balanced_master,pills,5,0.5,0.6,0.547410109075474,0.5374171091614709,0.5534322554510775,0.9025873015873016,0.875,0.9523809523809523,20.8,5
instrument_balanced_master,pills,6,0.6,0.7,0.6523403678156344,0.6397161002534039,0.666053415445396,0.9632352941176471,0.875,1.0,14.2,5
instrument_balanced_master,pills,7,0.7,0.8,0.7424799147784064,0.7357029783348782,0.7464814777733517,0.897948717948718,0.8,1.0,12.2,5
instrument_balanced_master,pills,8,0.8,0.9,0.859293807215377,0.8537234955433464,0.8675414814220056,0.7000511184721712,0.5555555555555556,0.8181818181818182,12.8,5
instrument_balanced_master,pills,9,0.9,1.0,0.9491651439717914,0.9450044715158734,0.9547521946774695,0.6383488132094943,0.5,0.7368421052631579,18.6,5
instrument_balanced_master,surfaces,3,0.3,0.4,0.3725646594127842,0.36800346431198416,0.3756445005450315,0.40714285714285714,0.0,0.75,3.6,5
instrument_balanced_master,surfaces,4,0.4,0.5,0.4418672583629669,0.4288988371384997,0.45330759271929116,0.6450063661828368,0.5882352941176471,0.7272727272727273,14.2,5
instrument_balanced_master,surfaces,5,0.5,0.6,0.5528660917678642,0.5485163524907727,0.5614613327584492,0.5348051948051948,0.42857142857142855,0.6666666666666666,13.6,5
instrument_balanced_master,surfaces,6,0.6,0.7,0.6423640400277971,0.6355667895125121,0.6514001795085308,0.6612745098039216,0.4,0.875,10.4,5
instrument_balanced_master,surfaces,7,0.7,0.8,0.7471364161910149,0.7368109939891834,0.7596388324432644,0.7144444444444444,0.5555555555555556,1.0,13.6,5
instrument_balanced_master,surfaces,8,0.8,0.9,0.8473906185373907,0.8347027725451935,0.8597281838315588,0.830952380952381,0.7142857142857143,1.0,8.0,5
instrument_balanced_master,surfaces,9,0.9,1.0,0.947681572090406,0.9403124638683664,0.9599589066894259,0.8375735375735376,0.7142857142857143,0.9230769230769231,12.0,5
spectrum,cwa,3,0.3,0.4,0.3743451513057306,0.36932586506568654,0.3799880117769053,0.37398910033056376,0.3076923076923077,0.4166666666666667,30.6,5
spectrum,cwa,4,0.4,0.5,0.4490286659891414,0.4417190073340208,0.4559377733173179,0.6000792101211169,0.5454545454545454,0.6833333333333333,58.0,5
spectrum,cwa,5,0.5,0.6,0.5470134150103514,0.5413374098757164,0.5620660109572647,0.5541068376068375,0.52,0.5769230769230769,22.4,5
spectrum,cwa,6,0.6,0.7,0.6421743413980147,0.6305087435709829,0.6530525874992466,0.7442135224208528,0.6129032258064516,0.85,23.6,5
spectrum,cwa,7,0.7,0.8,0.7487023195332195,0.7443702376308122,0.7518169111422919,0.7541721563460694,0.6521739130434783,0.8333333333333334,18.0,5
spectrum,cwa,8,0.8,0.9,0.8466936940009211,0.8357762316868088,0.8639313575275361,0.6752380952380952,0.5,0.8095238095238095,12.6,5
spectrum,cwa,9,0.9,1.0,0.9326981251048719,0.9084359772076026,0.948554768392293,0.6221212121212122,0.25,0.8333333333333334,6.6,5
spectrum,pills,3,0.3,0.4,0.3839478764865638,0.3816198647035617,0.386275888269566,0.0,0.0,0.0,1.0,2
spectrum,pills,4,0.4,0.5,0.46421758591989803,0.4591132241407909,0.4688641076379661,0.6385032859297566,0.5714285714285714,0.7307692307692307,20.2,5
spectrum,pills,5,0.5,0.6,0.5511747031997594,0.5453994861380645,0.5572748352839768,0.7723348707559234,0.6842105263157895,0.8484848484848485,37.8,5
spectrum,pills,6,0.6,0.7,0.650168520928115,0.638260159635826,0.6692466364008745,0.8203370349457305,0.7727272727272727,0.9285714285714286,25.0,5
spectrum,pills,7,0.7,0.8,0.7483705674971518,0.7373243374658491,0.7611905729344175,0.8361389436157237,0.7647058823529411,0.9333333333333333,19.4,5
spectrum,pills,8,0.8,0.9,0.856145030237023,0.8466470405397607,0.8603339488363859,0.5653369551783248,0.4482758620689655,0.7419354838709677,29.8,5
spectrum,pills,9,0.9,1.0,0.9578709431056271,0.9567523787320352,0.9589721083404138,0.590071715316051,0.5492957746478874,0.6521739130434783,69.4,5
spectrum,surfaces,3,0.3,0.4,0.36677828249086286,0.35702508840065195,0.3745442460412668,0.44733193277310923,0.4,0.5,10.6,5
spectrum,surfaces,4,0.4,0.5,0.45418083003730547,0.4472798140875781,0.4594934579091619,0.5262428886566818,0.5,0.55,26.6,5
spectrum,surfaces,5,0.5,0.6,0.553018665075342,0.5489974268092088,0.5568668700264736,0.5504276538201488,0.4117647058823529,0.6875,27.2,5
spectrum,surfaces,6,0.6,0.7,0.6491888991517578,0.6452088594707547,0.6544536730835615,0.6153417818740399,0.4375,0.7142857142857143,24.0,5
spectrum,surfaces,7,0.7,0.8,0.747560702162468,0.7417968712916635,0.758021000661348,0.6816764132553607,0.5789473684210527,0.75,28.8,5
spectrum,surfaces,8,0.8,0.9,0.853752079348624,0.8468452886604821,0.8618061659377778,0.7517713233058502,0.65,0.9411764705882353,19.4,5
spectrum,surfaces,9,0.9,1.0,0.9489326515459817,0.9332619826056207,0.9560850434426145,0.8688802261568218,0.7446808510638298,0.9615384615384616,32.4,5
