heldout_substrate_family,poster_axis,interpretation,stage,scenario,training_scenario,model_family,configuration,representation,seed,n_train,n_test_partition,partition,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,instrument_probe_increment,sensor_probe_increment,same_master_cross_domain_mean_distance,different_target_cross_domain_mean_distance,cross_domain_separation_margin,same_master_pair_count,different_target_pair_count,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,partition_cross_covariance_mean_square,partition_maximum_canonical_correlation
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,chemical,0.6266666666666666,0.6257372594316196,0.6257372594316196,75,75,0,,,,,,,0,0,4.697982242066868,0.0033533063826315978,0.09787463004305981,0.009484512345823993,2.3408253736514473,4,22,0.1266957253279583,-0.2760757818080957,,0.0061657631555967875,0.0030828815777983938,0.09615001134816561,0.8351382288009964,0.016228818968468253,,2.0,0.5446982452210267,0.06972065009176731,0.18070232058757896,0.9995437296397156
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,nuisance,0.6,0.48327328872877,0.48327328872877,75,75,0,,,,,,,0,0,10.08906724123838,0.007201332791747595,0.6305667025773988,0.03090498381525876,3.3204975008929267,12,15,0.5382270799600519,-0.7883832988044499,,0.0061657631555967875,0.0030828815777983938,0.09615001134816561,0.8351382288009964,0.016228818968468253,,2.0,0.5446982452210267,0.06972065009176731,0.18070232058757896,0.9995437296397156
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,union,0.6266666666666666,0.5042999656002752,0.5042999656002752,75,75,0,,,,,,,0,0,14.787049483305248,0.010554639174379193,0.23104764817664453,0.011964356881622496,3.3204975008929267,16,37,0.22957856398598173,-0.4041526610571843,,0.0061657631555967875,0.0030828815777983938,0.09615001134816561,0.8351382288009964,0.016228818968468253,,2.0,0.5446982452210267,0.06972065009176731,0.18070232058757896,0.9995437296397156
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,minimal_minmax,1729,200,75,chemical,0.6933333333333334,0.648148148148148,0.648148148148148,75,75,0,,,,,,,0,0,8.145518813730963,0.005814074813512465,0.16969830861939506,0.006937590396183005,2.7436812512366764,6,18,0.1601123083291087,-0.35766312689191787,,0.004170909128197892,0.002085454564098946,0.03849075507905228,0.946107394784613,0.008556700535189034,,1.75,0.6791822417616156,0.07754404842853546,0.2658702011504617,0.9997537796473958
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,minimal_minmax,1729,200,75,nuisance,0.56,0.49717204889618677,0.49717204889618677,75,75,0,,,,,,,0,0,2.05821072508679,0.0014691011599477445,0.12863817031792443,0.0189760668413287,1.76449988495661,15,14,0.17181556583906057,-0.340081776081109,,0.004170909128197892,0.002085454564098946,0.03849075507905228,0.946107394784613,0.008556700535189034,,1.75,0.6791822417616156,0.07754404842853546,0.2658702011504617,0.9997537796473958
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,minimal_minmax,1729,200,75,union,0.6933333333333334,0.6591269841269841,0.6591269841269841,75,75,0,,,,,,,0,0,10.203729538817754,0.00728317597346021,0.1594332740440274,0.010000200817222128,2.7436812512366764,21,32,0.16303812270659668,-0.35326778918921564,,0.004170909128197892,0.002085454564098946,0.03849075507905228,0.946107394784613,0.008556700535189034,,1.75,0.6791822417616156,0.07754404842853546,0.2658702011504617,0.9997537796473958
Au,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Au,poster_holdout_Au,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,225,50,chemical,0.72,0.8055555555555556,0.5370370370370371,50,50,0,,,,,,,0,0,6.96751077449392,0.00497324109528474,0.1451564744686233,0.007850718438510065,2.9495728841641964,6,20,0.1391251468195939,-0.3352365345248169,,0.0033496934859900333,0.0016748467429950167,0.07461439255778932,0.9481348330846302,0.009751910499035149,,1.0,0.29296403933082127,0.06560916360467672,0.15742104832550444,0.9993015337760718
Au,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Au,poster_holdout_Au,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,225,50,nuisance,0.72,0.8125,0.5416666666666666,50,50,0,,,,,,,0,0,5.048714025615457,0.003603650268105251,0.31554462660096616,0.009989501858781055,2.6743371288512146,4,8,0.23836179092155363,-0.6537117970917098,,0.0033496934859900333,0.0016748467429950167,0.07461439255778932,0.9481348330846302,0.009751910499035149,,1.0,0.29296403933082127,0.06560916360467672,0.15742104832550444,0.9993015337760718
Au,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Au,poster_holdout_Au,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,225,50,union,0.8,0.875,0.5833333333333334,50,50,0,,,,,,,0,0,12.016224800109375,0.00857689136338999,0.18775351250170902,0.008416315016765975,2.9495728841641964,10,28,0.1639343078450838,-0.4148553501665401,,0.0033496934859900333,0.0016748467429950167,0.07461439255778932,0.9481348330846302,0.009751910499035149,,1.0,0.29296403933082127,0.06560916360467672,0.15742104832550444,0.9993015337760718
Au,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Au,poster_holdout_Au,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,minimal_minmax,1729,225,50,chemical,0.7,0.7777777777777777,0.5185185185185185,50,50,0,,,,,,,0,0,8.07222609351919,0.005761760238057951,0.1681713769483164,0.01014372111015441,3.7206315264912893,20,25,0.15601767321000806,-0.333851770980012,,0.003611710768254389,0.0018058553841271946,0.03289091598195866,0.9626037094756668,0.0051307510073126264,,1.0,0.2568406024274145,0.052162766456604004,0.1912294490785339,0.9995341636269713
