outer_fold,inner_fold,run_seed,history_maximum_absolute_difference,history_within_tolerance,checkpoint_tensors_exact,first_bad_state_key,optimizer_state_exact,identity_pass
0,1,584382273,0.0,True,True,,True,True
0,2,407789727,0.0,True,True,,True,True
0,3,297086900,0.0,True,True,,True,True
0,4,192792562,0.0,True,True,,True,True
1,0,459419264,0.0,True,True,,True,True
1,2,434359360,0.0,True,True,,True,True
1,3,1554789449,0.0,True,True,,True,True
1,4,10096826,0.0,True,True,,True,True
2,0,1015734378,0.0,True,True,,True,True
2,1,638235034,0.0,True,True,,True,True
2,3,73431297,0.0,True,True,,True,True
2,4,539537805,0.0,True,True,,True,True
3,0,148731947,0.0,True,True,,True,True
3,1,769215076,0.0,True,True,,True,True
3,2,1624325271,0.0,True,True,,True,True
3,4,1998784826,0.0,True,True,,True,True
4,0,1587238163,0.0,True,True,,True,True
4,1,1592696039,0.0,True,True,,True,True
4,2,346496217,0.0,True,True,,True,True
4,3,48538264,0.0,True,True,,True,True
