true_label,4_nitrophenol,acetaminophen,benzyl_fentanyl,blank,ethanol,ethyl_paraoxon
4_ANPP,0,3,1,0,0,0
4_nitrophenol,8,9,0,0,1,0
acetaminophen,0,15,0,0,0,0
benzyl_fentanyl,0,2,2,1,0,0
blank,0,14,0,2,0,0
ethanol,1,15,1,1,4,1
ethyl_paraoxon,1,12,0,1,0,3
