outer_fold,train_subset,test_subset,stage,scenario,training_scenario,model_family,configuration,representation,seed,n_train,n_test_partition,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row31,0.0022537492662503093,0.0011268746331251547,0.022456995381120875,0.8967355015010033,0.006899044939449856,7,3,2,1,4.0,0.7121926082579345,0.0320301353931427
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row33,0.00034239093525735526,0.00017119546762867763,0.020900961106575768,0.9971877989384251,0.003348715716440763,8,3,1,1,1.0,0.3115925512578477,0.011929359287023544
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row36,0.004112964949774433,0.0020564824748872165,0.15327108724037214,0.8015496504785953,0.011475192761728457,61,10,4,3,3.0,0.6049215669930939,0.04896643524989486
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row37,0.006217483387049491,0.0031087416935247454,0.1190086992781648,0.8432672681981586,0.01840727987198209,82,15,5,2,2.0,0.9206938789983575,0.11140693910419941
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row38,0.0026574836818626523,0.0013287418409313261,0.08813492785531556,0.9264401918126556,0.008965006756396698,34,13,3,3,2.0,0.3459839800775871,0.03264748677611351
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row50,0.0028565053636890494,0.0014282526818445247,0.1375092857473782,0.8761214566967803,0.006525022248458429,22,11,2,2,2.0,0.21163963312568698,0.03098810836672783
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row54,0.0016665549001318757,0.0008332774500659379,0.016455417912549425,0.8847956851787411,0.006773225963115692,11,5,1,1,1.0,0.850687118535686,0.09677404165267944
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row64,0.0011520187444599274,0.0005760093722299637,0.03923315769427255,0.9833564475109091,0.008083582594990731,33,12,3,3,2.0,0.16526614230023812,0.032383281737565994
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row65,0.0025878407646116996,0.0012939203823058498,0.09383057742797947,0.8612389803908547,0.016353107268389847,73,8,4,3,1.5,1.5412132343724187,0.02685687318444252
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,session1_row177,0.020571654818974824,0.010285827409487412,0.09707797530865121,0.16244745650701556,0.05694267534517816,141,30,4,1,2.0,2.0259091461155836,0.06363329291343689
