true_label,4_ANPP,4_nitrophenol,acetaminophen,benzyl_fentanyl,blank,ethanol,ethyl_paraoxon
4_ANPP,80,0,4,3,9,1,1
4_nitrophenol,0,53,0,0,2,4,15
acetaminophen,8,2,48,1,5,0,2
benzyl_fentanyl,4,0,6,95,8,1,1
blank,4,0,7,1,53,5,1
ethanol,0,8,1,0,5,22,3
ethyl_paraoxon,0,8,3,0,2,5,19
