test_subset,instrument,spectrum_count,supported_count,correct_count,accuracy,analyte_count
field_quality_stress,Agilent-3,1,1,1,1.0,1
field_quality_stress,Mira-1,2,2,2,1.0,1
field_quality_stress,Mira-2,1,1,0,0.0,1
field_quality_stress,Mira-3,1,1,0,0.0,1
field_quality_stress,Pendar-1,6,6,0,0.0,2
field_quality_stress,Pendar-2,56,56,18,0.32142857142857145,6
field_quality_stress,Pendar-3,28,28,10,0.35714285714285715,7
field_quality_stress,RMX-1,2,2,2,1.0,1
field_quality_stress,RMX-2,1,1,1,1.0,1
quality_pass,Agilent-1,29,29,24,0.8275862068965517,3
quality_pass,Agilent-3,72,72,57,0.7916666666666666,7
quality_pass,Mira-1,21,21,15,0.7142857142857143,3
quality_pass,Mira-2,74,74,47,0.6351351351351351,5
quality_pass,Mira-3,71,71,45,0.6338028169014085,3
quality_pass,Pendar-1,40,40,29,0.725,3
quality_pass,Pendar-2,42,42,40,0.9523809523809523,5
quality_pass,Pendar-3,42,42,33,0.7857142857142857,7
quality_pass,RMX-1,45,45,24,0.5333333333333333,3
quality_pass,RMX-2,64,64,56,0.875,3
strict_core,Agilent-1,29,29,26,0.896551724137931,3
strict_core,Agilent-3,73,73,54,0.7397260273972602,7
strict_core,Mira-1,23,23,17,0.7391304347826086,3
strict_core,Mira-2,75,75,52,0.6933333333333334,5
strict_core,Mira-3,72,72,45,0.625,3
strict_core,Pendar-1,46,46,31,0.6739130434782609,3
strict_core,Pendar-2,98,98,68,0.6938775510204082,7
strict_core,Pendar-3,70,70,42,0.6,7
strict_core,RMX-1,47,47,30,0.6382978723404256,3
strict_core,RMX-2,65,65,50,0.7692307692307693,3
