test_subset,target_analyte,spectrum_count,supported_count,correct_count,accuracy,analyte_count
field_quality_stress,4_ANPP,4,4,0,0.0,1
field_quality_stress,4_nitrophenol,18,18,8,0.4444444444444444,1
field_quality_stress,acetaminophen,15,15,15,1.0,1
field_quality_stress,benzyl_fentanyl,5,5,2,0.4,1
field_quality_stress,blank,16,16,2,0.125,1
field_quality_stress,ethanol,23,23,4,0.17391304347826086,1
field_quality_stress,ethyl_paraoxon,17,17,3,0.17647058823529413,1
quality_pass,4_ANPP,98,98,80,0.8163265306122449,1
quality_pass,4_nitrophenol,74,74,53,0.7162162162162162,1
quality_pass,acetaminophen,66,66,48,0.7272727272727273,1
quality_pass,benzyl_fentanyl,115,115,95,0.8260869565217391,1
quality_pass,blank,71,71,53,0.7464788732394366,1
quality_pass,ethanol,39,39,22,0.5641025641025641,1
quality_pass,ethyl_paraoxon,37,37,19,0.5135135135135135,1
strict_core,4_ANPP,102,102,82,0.803921568627451,1
strict_core,4_nitrophenol,92,92,68,0.7391304347826086,1
strict_core,acetaminophen,81,81,46,0.5679012345679012,1
strict_core,benzyl_fentanyl,120,120,95,0.7916666666666666,1
strict_core,blank,87,87,64,0.735632183908046,1
strict_core,ethanol,62,62,34,0.5483870967741935,1
strict_core,ethyl_paraoxon,54,54,26,0.48148148148148145,1
