display_model,test_subset,mean_balanced_accuracy,standard_deviation,minimum,maximum,independent_fold_count,source
Structured VAE—chemical,field_quality_stress,0.3267460317460317,0.13108627113938948,0.1666666666666666,0.4583333333333333,5,structured_vae_v1
Structured VAE—chemical,quality_pass,0.7278185555318605,0.07653998883454793,0.622087853666801,0.8057256235827664,5,structured_vae_v1
Structured VAE—chemical,strict_core,0.6808285249674593,0.06797074104367887,0.6144383394383395,0.7585714285714286,5,structured_vae_v1
Structured VAE—union,field_quality_stress,0.3737301587301587,0.16032001412393093,0.1547619047619047,0.5833333333333334,5,structured_vae_v1
Structured VAE—union,quality_pass,0.7478578674966383,0.0630592543146275,0.6473403789193263,0.8005314905936024,5,structured_vae_v1
Structured VAE—union,strict_core,0.7039431300420185,0.062377527522439864,0.6290445665445665,0.7961904761904762,5,structured_vae_v1
Standard VAE-500,field_quality_stress,0.36854497354497345,0.14424311753956232,0.22685185185185178,0.5925925925925926,5,sers_vae_adequacy_v1
Standard VAE-500,quality_pass,0.7444925693184927,0.050725789552979225,0.6904130956762535,0.803656462585034,5,sers_vae_adequacy_v1
Standard VAE-500,strict_core,0.70623583291988,0.05130274969482487,0.6610103555592278,0.7739682539682539,5,sers_vae_adequacy_v1
PCA/logistic,field_quality_stress,0.4471428571428572,0.13498288713238474,0.2805555555555555,0.6,5,sers_representation_baselines_v1
PCA/logistic,quality_pass,0.7713363196862707,0.03789549729257075,0.7180741963350659,0.8207766439909296,5,sers_representation_baselines_v1
PCA/logistic,strict_core,0.7246314659877916,0.06061081393899718,0.6636267867470875,0.82,5,sers_representation_baselines_v1
Linear SVM,field_quality_stress,0.4715873015873015,0.17541311961949566,0.1944444444444444,0.6805555555555555,5,sers_representation_baselines_v1
Linear SVM,quality_pass,0.7236381077423901,0.05304026918428192,0.64470558681085,0.7820294784580498,5,sers_representation_baselines_v1
Linear SVM,strict_core,0.6777756964077657,0.0491161079375434,0.6351190476190476,0.7566666666666667,5,sers_representation_baselines_v1
Siamese,field_quality_stress,0.3704497354497354,0.10889749800140801,0.219047619047619,0.5972222222222222,5,sers_representation_baselines_v1
Siamese,quality_pass,0.6766688629315305,0.04555589007036118,0.588061696757349,0.761592970521542,5,sers_representation_baselines_v1
Siamese,strict_core,0.6320941608547036,0.06798048239027107,0.5184807256235828,0.7466666666666667,5,sers_representation_baselines_v1
Denoising AE,field_quality_stress,0.35619047619047606,0.11611125448119822,0.219047619047619,0.5972222222222222,5,sers_representation_baselines_v1
Denoising AE,quality_pass,0.7139095272047217,0.054009856080481644,0.6139428204645595,0.7852769039104442,5,sers_representation_baselines_v1
Denoising AE,strict_core,0.7130699753976969,0.046512069192855776,0.6407944081816263,0.7953514739229025,5,sers_representation_baselines_v1
