protocol_version,crossover_block_id,station,target_analyte,substrate_a,substrate_b,instrument_a,instrument_b,physical_masters,support_tier,support_reason
nato-sers-p13-v1-locked,P13-X-001,cwa,4_nitrophenol,GaN_polymer,H_SERS_H_Kit,Agilent-3,Mira-2,2,exploratory_low_support,exactly_two_paired_masters
nato-sers-p13-v1-locked,P13-X-002,cwa,4_nitrophenol,GaN_polymer,H_SERS_H_Kit,Agilent-3,Pendar-2,2,exploratory_low_support,exactly_two_paired_masters
nato-sers-p13-v1-locked,P13-X-003,cwa,4_nitrophenol,GaN_polymer,H_SERS_H_Kit,Agilent-3,RMX-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-004,cwa,4_nitrophenol,GaN_polymer,H_SERS_H_Kit,Mira-2,Pendar-2,2,exploratory_low_support,exactly_two_paired_masters
nato-sers-p13-v1-locked,P13-X-005,cwa,4_nitrophenol,GaN_polymer,H_SERS_H_Kit,Mira-2,RMX-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-006,cwa,4_nitrophenol,GaN_polymer,H_SERS_H_Kit,Pendar-2,RMX-1,2,exploratory_low_support,exactly_two_paired_masters
nato-sers-p13-v1-locked,P13-X-007,cwa,4_nitrophenol,GaN_polymer,NRC_Canadian_SERS,Mira-2,RMX-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-008,cwa,4_nitrophenol,H_SERS_H_Kit,NRC_Canadian_SERS,Mira-2,Pendar-3,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-009,cwa,4_nitrophenol,H_SERS_H_Kit,NRC_Canadian_SERS,Mira-2,RMX-1,5,confirmatory,at_least_three_paired_masters
nato-sers-p13-v1-locked,P13-X-010,cwa,4_nitrophenol,H_SERS_H_Kit,NRC_Canadian_SERS,Pendar-3,RMX-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-011,cwa,ethanol,H_SERS_H_Kit,NRC_Canadian_SERS,Agilent-3,Mira-2,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-012,cwa,ethanol,H_SERS_H_Kit,NRC_Canadian_SERS,Agilent-3,RMX-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-013,cwa,ethanol,H_SERS_H_Kit,NRC_Canadian_SERS,Mira-2,Pendar-3,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-014,cwa,ethanol,H_SERS_H_Kit,NRC_Canadian_SERS,Mira-2,RMX-1,3,confirmatory,at_least_three_paired_masters
nato-sers-p13-v1-locked,P13-X-015,cwa,ethanol,H_SERS_H_Kit,NRC_Canadian_SERS,Pendar-3,RMX-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-016,cwa,ethyl_paraoxon,H_SERS_H_Kit,NRC_Canadian_SERS,Agilent-3,Mira-2,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-017,cwa,ethyl_paraoxon,H_SERS_H_Kit,NRC_Canadian_SERS,Agilent-3,RMX-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-018,cwa,ethyl_paraoxon,H_SERS_H_Kit,NRC_Canadian_SERS,Mira-2,Pendar-3,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-019,cwa,ethyl_paraoxon,H_SERS_H_Kit,NRC_Canadian_SERS,Mira-2,RMX-1,3,confirmatory,at_least_three_paired_masters
nato-sers-p13-v1-locked,P13-X-020,cwa,ethyl_paraoxon,H_SERS_H_Kit,NRC_Canadian_SERS,Pendar-3,RMX-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-021,pills,4_ANPP,NRC_Canadian_SERS,pSERS_Metrohm_silver,Agilent-1,Mira-3,3,confirmatory,at_least_three_paired_masters
nato-sers-p13-v1-locked,P13-X-022,pills,4_ANPP,NRC_Canadian_SERS,pSERS_Metrohm_silver,Agilent-1,Pendar-1,2,exploratory_low_support,exactly_two_paired_masters
nato-sers-p13-v1-locked,P13-X-023,pills,4_ANPP,NRC_Canadian_SERS,pSERS_Metrohm_silver,Mira-3,Pendar-1,4,confirmatory,at_least_three_paired_masters
nato-sers-p13-v1-locked,P13-X-024,pills,benzyl_fentanyl,NRC_Canadian_SERS,pSERS_Metrohm_silver,Agilent-1,Mira-3,3,confirmatory,at_least_three_paired_masters
nato-sers-p13-v1-locked,P13-X-025,pills,benzyl_fentanyl,NRC_Canadian_SERS,pSERS_Metrohm_silver,Mira-3,Pendar-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-026,pills,blank,NRC_Canadian_SERS,pSERS_Metrohm_silver,Agilent-1,Mira-3,2,exploratory_low_support,exactly_two_paired_masters
nato-sers-p13-v1-locked,P13-X-027,pills,blank,NRC_Canadian_SERS,pSERS_Metrohm_silver,Agilent-1,Pendar-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-028,pills,blank,NRC_Canadian_SERS,pSERS_Metrohm_silver,Mira-3,Pendar-1,4,confirmatory,at_least_three_paired_masters
nato-sers-p13-v1-locked,P13-X-029,surfaces,4_ANPP,NRC_Canadian_SERS,pSERS_Metrohm_silver,Pendar-3,RMX-2,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-030,surfaces,acetaminophen,NRC_Canadian_SERS,pSERS_Metrohm_silver,Mira-2,Pendar-3,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-031,surfaces,acetaminophen,NRC_Canadian_SERS,pSERS_Metrohm_silver,Mira-2,RMX-2,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-032,surfaces,acetaminophen,NRC_Canadian_SERS,pSERS_Metrohm_silver,Pendar-3,RMX-2,3,confirmatory,at_least_three_paired_masters
nato-sers-p13-v1-locked,P13-X-033,surfaces,benzyl_fentanyl,GaN_polymer,pSERS_Metrohm_silver,Agilent-3,Mira-1,1,descriptive_singleton,one_paired_master_no_interval_claim
nato-sers-p13-v1-locked,P13-X-034,surfaces,benzyl_fentanyl,NRC_Canadian_SERS,pSERS_Metrohm_silver,Pendar-3,RMX-2,2,exploratory_low_support,exactly_two_paired_masters
