metric_id,title,unit,aggregation,role,status
P13-M01,Balanced accuracy,proportion,technical-repeat probabilities averaged within master-substrate-instrument view then equal-weighted physical-master predictions within evaluation domain,primary,locked
P13-M02,Source-to-held balanced-accuracy loss,absolute proportion point,matched outer-test masters within eligible evaluation domain,primary,locked
P13-M03,Per-analyte recall,proportion,class-support cell within eligible evaluation domain,primary_component,locked
P13-M04,Macro F1,proportion,master-level eligible evaluation domain,secondary,locked
P13-M05,Negative log likelihood,nats,calibrated master-level eligible evaluation domain,secondary,locked
P13-M06,Multiclass Brier score,squared probability error,calibrated master-level eligible evaluation domain,secondary,locked
P13-M07,Expected calibration error,proportion,calibrated master-level eligible evaluation domain,secondary,locked
P13-M08,Paired correctness difference,proportion,physical-master crossover block,primary_crossover,locked
P13-M09,Paired true-class probability difference,probability,physical-master crossover block,secondary_crossover,locked
P13-M10,Representation distance,distance,physical-master crossover block,exploratory,locked
P13-M11,Recorded detection sensitivity,proportion,complete-case nonblank-Y observations,corroborating,locked
P13-M12,Support coverage,counts and fractions,evaluation domain and class-support cell,design,locked
P13-M13,Recorded blank specificity,proportion,complete-case blank-N observations,corroborating,locked
