path,rows,cols,wn_min,wn_max,intensity_mean,intensity_max,max_intensity_wn
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y0_X0.txt,1024,2,178.677,2447.08,762.5279853515625,1068.22,1561.57
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y0_X1.txt,1024,2,178.677,2447.08,572.4325166015625,756.667,1093.97
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y0_X2.txt,1024,2,178.677,2447.08,707.1057080078124,1354.0,1572.34
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y0_X3.txt,1024,2,178.677,2447.08,701.08053125,928.889,1096.27
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y0_X4.txt,1024,2,178.677,2447.08,436.2504384765625,588.889,1096.27
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y1_X0.txt,1024,2,178.677,2447.08,1833.9734091796875,5270.0,1576.64
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y1_X1.txt,1024,2,178.677,2447.08,508.200748046875,708.444,1096.27
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y1_X2.txt,1024,2,178.677,2447.08,600.31834375,1057.78,225.375
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y1_X3.txt,1024,2,178.677,2447.08,534.7905830078125,1019.78,1472.68
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y1_X4.txt,1024,2,178.677,2447.08,431.0115068359375,572.0,1096.27
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y2_X0.txt,1024,2,178.677,2447.08,535.707689453125,766.444,1516.18
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y2_X1.txt,1024,2,178.677,2447.08,447.71505371093747,574.0,1096.27
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y2_X2.txt,1024,2,178.677,2447.08,1010.5934707031249,1801.78,1570.18
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y2_X3.txt,1024,2,178.677,2447.08,892.9572705078125,1489.11,1338.3
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y2_X4.txt,1024,2,178.677,2447.08,714.46242578125,1277.78,1583.08
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y3_X0.txt,1024,2,178.677,2447.08,463.1236884765625,605.333,1096.27
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y3_X1.txt,1024,2,178.677,2447.08,417.46506347656253,557.333,1096.27
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y3_X2.txt,1024,2,178.677,2447.08,552.1859853515625,1089.56,1535.67
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y3_X3.txt,1024,2,178.677,2447.08,684.71441796875,901.333,1096.27
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y3_X4.txt,1024,2,178.677,2447.08,487.56338574218745,653.778,1096.27
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y4_X0.txt,1024,2,178.677,2447.08,551.5243037109375,885.556,1585.23
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y4_X1.txt,1024,2,178.677,2447.08,443.172083984375,582.222,1093.97
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y4_X2.txt,1024,2,178.677,2447.08,367.1571201171875,471.778,1093.97
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y4_X3.txt,1024,2,178.677,2447.08,526.5594707031249,949.111,1522.68
Workspace/SERs/4-NP - 632nm/AgNP/4np - agnp - 632nm - map1_Y4_X4.txt,1024,2,178.677,2447.08,532.4184072265625,748.889,1096.27
