pc1,pc2,label,substrate
0.22868262,0.74534774,4np,pSERS
0.2364037,0.7322877,4np,pSERS
0.39580363,0.67547137,4np,pSERS
0.309879,0.71021014,4np,pSERS
0.31710556,0.72246677,4np,pSERS
0.21372989,0.73501116,4np,pSERS
0.33318567,0.7123218,4np,pSERS
0.20313673,0.72804224,4np,pSERS
0.22694421,0.7181198,4np,pSERS
0.33094665,0.7110681,4np,pSERS
0.26094133,0.73300475,4np,pSERS
0.17884436,0.7446172,4np,pSERS
0.36843723,0.692773,4np,pSERS
0.31723085,0.54788285,4np,pSERS
0.23886773,0.7350433,4np,pSERS
0.48629943,0.63979083,4np,pSERS
0.3525345,0.7080219,4np,pSERS
0.21796326,0.7354866,4np,pSERS
0.21513985,0.742765,4np,pSERS
0.2599126,0.7466216,4np,pSERS
0.4147753,0.6831516,4np,pSERS
0.23378444,0.7258892,4np,pSERS
0.2050781,0.7368734,4np,pSERS
0.25046563,0.738378,4np,pSERS
0.1928948,0.746882,4np,pSERS
-0.61153865,-0.08373597,benzenethiol,pSERS
-0.6132921,-0.07984673,benzenethiol,pSERS
-0.61472875,-0.07529715,benzenethiol,pSERS
-0.61293024,-0.08132752,benzenethiol,pSERS
-0.61492544,-0.073826954,benzenethiol,pSERS
-0.61331457,-0.079982646,benzenethiol,pSERS
-0.6149915,-0.07400745,benzenethiol,pSERS
-0.61412513,-0.07683163,benzenethiol,pSERS
-0.6124345,-0.08189358,benzenethiol,pSERS
-0.6139246,-0.077692725,benzenethiol,pSERS
-0.6116522,-0.083836496,benzenethiol,pSERS
-0.61148757,-0.08393989,benzenethiol,pSERS
-0.6151114,-0.07386969,benzenethiol,pSERS
-0.61329776,-0.080237545,benzenethiol,pSERS
-0.61283296,-0.08111428,benzenethiol,pSERS
-0.61221826,-0.08358245,benzenethiol,pSERS
-0.6127257,-0.081215,benzenethiol,pSERS
-0.61463964,-0.07573492,benzenethiol,pSERS
-0.6120524,-0.08302451,benzenethiol,pSERS
-0.61364233,-0.07867542,benzenethiol,pSERS
-0.61572945,-0.06615535,benzenethiol,pSERS
-0.6132605,-0.07903069,benzenethiol,pSERS
-0.61436814,-0.07662648,benzenethiol,pSERS
-0.6135981,-0.07795306,benzenethiol,pSERS
-0.61421067,-0.07688181,benzenethiol,pSERS
0.32462847,-0.46679938,pyridine,pSERS
0.31710595,-0.46884817,pyridine,pSERS
0.31311896,-0.4718186,pyridine,pSERS
0.33823082,-0.4608642,pyridine,pSERS
0.32207525,-0.4683229,pyridine,pSERS
0.3362882,-0.4614157,pyridine,pSERS
0.31940255,-0.46970683,pyridine,pSERS
0.2980625,-0.4751672,pyridine,pSERS
0.3080245,-0.4685709,pyridine,pSERS
0.330807,-0.46276838,pyridine,pSERS
0.34342772,-0.4617153,pyridine,pSERS
0.32246095,-0.46736136,pyridine,pSERS
0.31069764,-0.4696738,pyridine,pSERS
0.30185083,-0.47357234,pyridine,pSERS
0.33325872,-0.46043473,pyridine,pSERS
0.2700692,-0.47516653,pyridine,pSERS
0.30623728,-0.47317135,pyridine,pSERS
0.3169681,-0.46865666,pyridine,pSERS
0.3230875,-0.4674217,pyridine,pSERS
0.37218305,-0.44533554,pyridine,pSERS
0.31806356,-0.46811,pyridine,pSERS
0.3144972,-0.46608904,pyridine,pSERS
0.2747988,-0.4710934,pyridine,pSERS
0.3265032,-0.46682695,pyridine,pSERS
0.30189094,-0.47394273,pyridine,pSERS
0.23775586,0.6168812,4np,PICO
0.22672229,0.6387749,4np,PICO
0.21531022,0.63609284,4np,PICO
0.26397803,0.5949623,4np,PICO
0.26365557,0.60957825,4np,PICO
0.23914343,0.6249671,4np,PICO
0.2467742,0.6040281,4np,PICO
0.26645204,0.58248645,4np,PICO
0.26556745,0.6421047,4np,PICO
0.23738371,0.6262743,4np,PICO
0.29926,0.61791235,4np,PICO
0.28914148,0.6087459,4np,PICO
0.29177278,0.62978053,4np,PICO
0.2655064,0.6382471,4np,PICO
0.25513402,0.58546484,4np,PICO
0.266545,0.6230182,4np,PICO
0.27390468,0.60889256,4np,PICO
0.2378813,0.6159414,4np,PICO
0.23359032,0.60552996,4np,PICO
0.25651348,0.6061949,4np,PICO
0.19592443,0.6124962,4np,PICO
0.2068348,0.6350737,4np,PICO
0.2527034,0.62626344,4np,PICO
0.25677636,0.6031267,4np,PICO
0.23171258,0.6619086,4np,PICO
-0.55673623,-0.101576366,benzenethiol,PICO
-0.60400325,-0.084181,benzenethiol,PICO
-0.61202407,-0.05758145,benzenethiol,PICO
-0.5935981,-0.09239583,benzenethiol,PICO
-0.5827227,-0.03650999,benzenethiol,PICO
-0.6153997,-0.049622487,benzenethiol,PICO
-0.6013448,-0.09529288,benzenethiol,PICO
-0.52722275,-0.11519032,benzenethiol,PICO
-0.5537997,-0.013882329,benzenethiol,PICO
-0.39078894,-0.16431756,benzenethiol,PICO
-0.6302063,0.019027045,benzenethiol,PICO
-0.5836644,0.019611333,benzenethiol,PICO
-0.5064326,-0.08646193,benzenethiol,PICO
-0.5646052,-0.08773838,benzenethiol,PICO
-0.59515536,0.025885284,benzenethiol,PICO
-0.62259656,0.052563053,benzenethiol,PICO
-0.6253585,0.0081277685,benzenethiol,PICO
-0.4621229,-0.14487647,benzenethiol,PICO
-0.63612807,0.095745064,benzenethiol,PICO
