row_index,true_label,pred_label,distance_to_4np,distance_to_benzenethiol,distance_to_pyridine
0,4np,4np,0.1875625,1.1522782,1.1780624
1,4np,4np,0.17131348,1.1481104,1.1628822
2,4np,4np,0.17536722,1.2344246,1.091919
3,4np,4np,0.13813344,1.1864903,1.1297764
4,4np,4np,0.17207263,1.2035487,1.1450499
5,4np,4np,0.16411828,1.1322219,1.1674528
6,4np,4np,0.15832995,1.2073085,1.1318268
7,4np,4np,0.15896292,1.120081,1.1617868
8,4np,4np,0.15027358,1.130773,1.1483393
9,4np,4np,0.15568827,1.205033,1.1307951
10,4np,4np,0.1584809,1.1657529,1.1590936
11,4np,4np,0.19203426,1.1153953,1.1842077
12,4np,4np,0.16858391,1.2236173,1.1107014
13,4np,4np,0.15243109,1.102103,0.9745622
14,4np,4np,0.1780369,1.1527262,1.1659191
15,4np,4np,0.26769745,1.2923495,1.0643373
16,4np,4np,0.17792442,1.2203918,1.1282231
17,4np,4np,0.17411284,1.1369517,1.168375
18,4np,4np,0.17439802,1.1396738,1.1756296
19,4np,4np,0.19455771,1.1771216,1.1766311
20,4np,4np,0.21196377,1.2563661,1.1033607
21,4np,4np,0.15503015,1.1409134,1.155235
22,4np,4np,0.16781159,1.1277723,1.1706773
23,4np,4np,0.17386425,1.1633638,1.1671901
24,4np,4np,0.18320322,1.126424,1.183363
25,benzenethiol,benzenethiol,1.1236731,0.08076694,1.0884153
26,benzenethiol,benzenethiol,1.1228073,0.083452635,1.0912384
27,benzenethiol,benzenethiol,1.121009,0.07943132,1.0936413
28,benzenethiol,benzenethiol,1.1236113,0.086843826,1.0906576
29,benzenethiol,benzenethiol,1.119917,0.07413777,1.0940706
30,benzenethiol,benzenethiol,1.1229784,0.084670246,1.0912782
31,benzenethiol,benzenethiol,1.120337,0.07669852,1.0941238
32,benzenethiol,benzenethiol,1.1214098,0.078674525,1.0926236
33,benzenethiol,benzenethiol,1.1234221,0.08370967,1.0898908
34,benzenethiol,benzenethiol,1.1218882,0.08070505,1.0922837
35,benzenethiol,benzenethiol,1.1239402,0.08267763,1.0885653
36,benzenethiol,benzenethiol,1.1237835,0.081008494,1.0883121
37,benzenethiol,benzenethiol,1.1203381,0.077215984,1.0943022
38,benzenethiol,benzenethiol,1.1232219,0.08652929,1.0912913
39,benzenethiol,benzenethiol,1.1232795,0.08449606,1.0905141
40,benzenethiol,benzenethiol,1.1245742,0.08961638,1.0895203
41,benzenethiol,benzenethiol,1.1231669,0.08291564,1.0903075
42,benzenethiol,benzenethiol,1.1212883,0.08151637,1.0935578
43,benzenethiol,benzenethiol,1.1237601,0.08372715,1.0892353
44,benzenethiol,benzenethiol,1.1223193,0.08205374,1.091813
45,benzenethiol,benzenethiol,1.1150907,0.048894282,1.0962604
46,benzenethiol,benzenethiol,1.1220304,0.078222446,1.0911951
47,benzenethiol,benzenethiol,1.1216482,0.08157436,1.0930288
48,benzenethiol,benzenethiol,1.1216782,0.078077435,1.0917954
49,benzenethiol,benzenethiol,1.1216066,0.08042518,1.0927618
50,pyridine,pyridine,1.0867656,1.0144974,0.17225981
51,pyridine,pyridine,1.0889355,1.0090907,0.1818063
52,pyridine,pyridine,1.0928359,1.0077473,0.19147153
53,pyridine,pyridine,1.0801739,1.0230368,0.15060751
54,pyridine,pyridine,1.0886589,1.0132787,0.17749245
55,pyridine,pyridine,1.0807056,1.0216084,0.15311784
56,pyridine,pyridine,1.0903925,1.0118943,0.18260603
57,pyridine,pyridine,1.0965353,0.9966948,0.20899364
58,pyridine,pyridine,1.0881163,1.0008386,0.18484011
59,pyridine,pyridine,1.0820059,1.0175034,0.1600133
60,pyridine,pyridine,1.0820758,1.0285991,0.15056425
61,pyridine,pyridine,1.0873374,1.0129073,0.1749145
62,pyridine,pyridine,1.0897089,1.0039878,0.18868425
63,pyridine,pyridine,1.0944964,0.9988555,0.20287625
64,pyridine,pyridine,1.0793886,1.0184599,0.15494712
65,pyridine,pyridine,1.096133,0.9723708,0.2261592
66,pyridine,pyridine,1.0941824,1.0024767,0.19879498
67,pyridine,pyridine,1.0886698,1.0088356,0.18153735
68,pyridine,pyridine,1.0875733,1.0136151,0.1743199
69,pyridine,pyridine,1.0651104,1.0459926,0.09887864
70,pyridine,pyridine,1.0880482,1.0094697,0.1783948
71,pyridine,pyridine,1.0855473,1.0053362,0.18110366
72,pyridine,pyridine,1.094085,0.977155,0.23752539
73,pyridine,pyridine,1.0870149,1.0162758,0.17132545
74,pyridine,pyridine,1.0950055,0.99916226,0.20356244
