subset,representation,display_model,raw_same_master_cross_instrument_distance,latent_same_master_cross_instrument_distance,same_master_distance_delta,latent_cross_instrument_separation_margin
field_quality_stress,arpls_minmax,AE,0.8775201693483049,0.29751947081203284,-0.5800006985362721,-0.02505599428506371
field_quality_stress,arpls_minmax,DAE,0.8775201693483049,0.3533045697092578,-0.5242155996390473,-0.01619547253387715
field_quality_stress,arpls_minmax,VAE-100 β=1,0.8775201693483049,0.49048471360327595,-0.38703545574502907,-0.019746432611761833
field_quality_stress,arpls_minmax,VAE-500 β=0.25,0.8775201693483049,0.549058902546872,-0.328461266801433,-0.023869864302433885
field_quality_stress,derivative_1,Siamese,0.9263348735867737,0.17901102823787787,-0.7473238453488958,0.042292727625162424
field_quality_stress,minimal_minmax,AE,0.8595390770054706,0.2706285729539067,-0.5889105040515639,-0.014135129319001178
field_quality_stress,minimal_minmax,DAE,0.8595390770054706,0.36542614714794847,-0.49411292985752214,-0.0025137730562769522
field_quality_stress,minimal_minmax,VAE-100 β=1,0.8595390770054706,0.668296324789804,-0.19124275221566656,-0.02770104826450116
field_quality_stress,minimal_minmax,VAE-500 β=0.25,0.8595390770054706,0.684285996936932,-0.17525308006853849,-0.04843546729826755
quality_pass,arpls_minmax,AE,0.5994438967407439,0.38387064085007894,-0.215573255890665,0.1617280371721244
quality_pass,arpls_minmax,DAE,0.5994438967407439,0.4177155446745682,-0.18172835206617577,0.21506385534622116
quality_pass,arpls_minmax,VAE-100 β=1,0.5994438967407439,0.7092197194211997,0.10977582268045574,0.3428012427385378
quality_pass,arpls_minmax,VAE-500 β=0.25,0.5994438967407439,0.7295954353875863,0.13015153864684229,0.303185329951145
quality_pass,derivative_1,Siamese,0.5941651306212985,0.1369470247818903,-0.45721810583940825,0.334163609680783
quality_pass,minimal_minmax,AE,0.7110378403957506,0.4602744698514486,-0.2507633705443019,0.11437802350168715
quality_pass,minimal_minmax,DAE,0.7110378403957506,0.4918052439595886,-0.219232596436162,0.14892593952494354
quality_pass,minimal_minmax,VAE-100 β=1,0.7110378403957506,0.8151639255952396,0.10412608519948913,0.25504160385675617
quality_pass,minimal_minmax,VAE-500 β=0.25,0.7110378403957506,0.8212025861954633,0.11016474579971272,0.22477339714313357
strict_core,arpls_minmax,AE,0.6752592195847047,0.43272374877368414,-0.2425354708110206,0.13867090146618818
strict_core,arpls_minmax,DAE,0.6752592195847047,0.45057361571255594,-0.22468560387214878,0.17403075928502357
strict_core,arpls_minmax,VAE-100 β=1,0.6752592195847047,0.7578068522912289,0.08254763270652425,0.28934338267574133
strict_core,arpls_minmax,VAE-500 β=0.25,0.6752592195847047,0.7773278827451093,0.1020686631604047,0.2513126104197342
strict_core,derivative_1,Siamese,0.683602905892599,0.14611411913965108,-0.537488786752948,0.29004002720388616
strict_core,minimal_minmax,AE,0.7603972084411343,0.44344999048765305,-0.3169472179534813,0.09162322376961653
strict_core,minimal_minmax,DAE,0.7603972084411343,0.5200438461871849,-0.24035336225394943,0.12196932527628054
strict_core,minimal_minmax,VAE-100 β=1,0.7603972084411343,0.8576410568907513,0.09724384844961695,0.20376717619169593
strict_core,minimal_minmax,VAE-500 β=0.25,0.7603972084411343,0.850861500260422,0.09046429181928758,0.18423107864706886
