identifier,architecture,latent_dimension,reconstruction_loss,beta_target,optimizer_policy,maximum_epoch,learning_rate,weight_decay,batch_size,gradient_clip_norm,kl_normalization_divisor,plateau_factor,plateau_patience,plateau_threshold,minimum_learning_rate,checkpoint_epoch,representation,model_family,run_seed,n_train,n_validation,parameter_count,state_sha256,raw_target_balanced_accuracy,latent_target_balanced_accuracy,latent_target_macro_f1_supported,latent_target_macro_f1_union,corrupted_target_balanced_accuracy,corrupted_prediction_agreement,corrupted_latent_cosine_drift,raw_instrument_probe_increment,latent_instrument_probe_increment,instrument_probe_increment_delta,raw_sensor_probe_increment,latent_sensor_probe_increment,sensor_probe_increment_delta,raw_same_master_cross_instrument_distance,latent_same_master_cross_instrument_distance,same_master_distance_delta,latent_different_target_cross_instrument_distance,latent_cross_instrument_separation_margin,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability,clean_reconstruction_mse,clean_reconstruction_smooth_l1,clean_reconstruction_spectral_angle,clean_reconstruction_median_row_correlation,clean_reconstruction_first_derivative_mae,clean_repeatable_peak_recall,clean_median_peak_shift_cm1,clean_median_absolute_relative_peak_width_change,clean_median_absolute_peak_prominence_change,corrupted_reconstruction_mse,corrupted_reconstruction_smooth_l1,corrupted_reconstruction_spectral_angle,corrupted_reconstruction_median_row_correlation,corrupted_reconstruction_first_derivative_mae,corrupted_repeatable_peak_recall,corrupted_median_peak_shift_cm1,corrupted_median_absolute_relative_peak_width_change,corrupted_median_absolute_peak_prominence_change,stage,subset,outer_fold,inner_fold
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,1615927031,293,104,1082353,281bae11dff196f66c3e2aaa826d932ef759c72f6834e51b99beb3f669e7d74f,0.7068125111603374,0.6658221006047093,0.6419790612768044,0.6419790612768044,0.5962853571549224,0.7980769230769231,0.17317621409893036,0.5365196078431372,0.4911764705882352,-0.04534313725490202,0.43253968253968245,0.448015873015873,0.015476190476190532,0.6154264287084859,0.7539513513408879,0.13852492263240201,1.0552185120753295,0.3012671607344416,15.542398618477922,0.011093789163795805,0.24284997841371753,0.010006955652002766,2.289851482093137,20,32,0.20579022897509866,-0.5063500338446053,0.018368786200881004,0.003145733229415767,0.0015728666147078836,0.0595615644169151,0.971375600113822,0.01172887298617873,0.6404715127701375,2.0,0.1916136926928867,0.04730883287265897,0.009289134714829055,0.004644567357414527,0.10341463490248491,0.9271693369867455,0.012468943610163534,0.6286836935166994,2.0,0.24313602682875807,0.06921284669078887,stage_2_quality_confirmation,quality_pass,0,1
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,783613092,293,104,1082353,e72ca2b5fc8d622978ad95c505e947fcb1923fafdcfd64c69e243d851bd4db77,0.7068125111603374,0.6877808182156009,0.6664592152650534,0.6664592152650534,0.6319996428692081,0.7307692307692307,0.17887893319129944,0.5365196078431372,0.45857843137254906,-0.07794117647058818,0.43253968253968245,0.4384920634920634,0.005952380952380931,0.6154264287084859,0.750772015776291,0.1353455870678052,1.0752839560312466,0.32451194025495556,7.440525518125268,0.005310867607512682,0.1162582112207073,0.0028778671079076872,1.5887837685719068,9,8,0.13081482338634062,-0.24100967044249444,0.029434502124786377,0.004059399774350542,0.002029699887175271,0.07161729200754188,0.952570026643337,0.011844446619887917,0.6463654223968566,2.0,0.20298343266913416,0.05481353390496224,0.012710391755591795,0.006355195877795898,0.11234699357580576,0.9243541888164013,0.012358809373709952,0.630648330058939,2.0,0.2643485924987034,0.07157373428344727,stage_2_quality_confirmation,quality_pass,0,1
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,1435384624,302,95,1082353,69147cc1859f9f91aef0867e7cf54006e2a500110f0031462af774575a307b13,0.7716445735079275,0.7830958206734604,0.7488891397560129,0.7488891397560129,0.7169812589067248,0.6210526315789474,0.1640673577785492,0.5521701388888889,0.5258680555555555,-0.026302083333333393,0.5280214424951268,0.5226851851851853,-0.005336257309941583,0.6756915586997257,0.7775359534964544,0.10184439479672869,1.0140117637950654,0.23647581029861098,16.05159984817992,0.0114572447167594,0.2508062476278111,0.0114169512689992,2.264335157327189,21,38,0.21492774205304446,-0.5223567607875099,0.021926328539848328,0.004587560621045481,0.0022937803105227404,0.06494192301599462,0.9528659376288908,0.016998227954858773,0.43105590062111804,2.0,0.2694494526762724,0.06119255954399705,0.012057015872336234,0.006028507936168117,0.10653992266032991,0.8714200160039678,0.01761683738764526,0.3652173913043478,2.0,0.3393191416824667,0.08049670234322548,stage_2_quality_confirmation,quality_pass,0,2
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,772020459,302,95,1082353,64283343bec90e332735776611e2124d30737e1c77d29c4e81028f1b7b836b06,0.7716445735079275,0.7568806969428088,0.6994794465607409,0.6994794465607409,0.6714814516056753,0.7157894736842105,0.14876042306423187,0.5521701388888889,0.6010416666666667,0.04887152777777781,0.5280214424951268,0.5145955165692009,-0.013425925925925952,0.6756915586997257,0.7635171362873522,0.08782557758762644,1.0365588730506203,0.27304173676326815,7.633601285807147,0.005448680432410527,0.11927502009073665,0.0029059367567668432,1.4758248256826054,8,7,0.1280294879895056,-0.25529217601851906,0.030812930315732956,0.005574247348436155,0.0027871236742180775,0.0749940415379249,0.9369005887126237,0.017113319179960687,0.39254658385093166,2.0,0.2576876208798077,0.06053116537077585,0.012762021984411807,0.006381010992205904,0.10240079379919036,0.8922574354972574,0.017550162928929674,0.3652173913043478,2.0,0.34898758597596,0.07498115068301558,stage_2_quality_confirmation,quality_pass,0,2
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,1624236253,296,101,1082353,53ca20e5f14034fe3af6bf349a54672db3597901b155e1d1a6916450c0c4365c,0.6492010913063544,0.7117829538882171,0.7196317034972497,0.7196317034972497,0.6798730509256826,0.7623762376237624,0.1788172423839569,0.5542692939244662,0.5772577996715929,0.02298850574712663,0.45245825602968454,0.4521490414347557,-0.0003092145949288305,0.5909082095352515,0.7068332479308337,0.11592503839558221,1.0421604900233514,0.33532724209251774,16.558448497389165,0.011819021054524743,0.25872575777170564,0.011411807262029955,2.670716863379916,22,37,0.2070102810509732,-0.5321676021196089,0.019661687314510345,0.0042849558854680305,0.0021424779427340153,0.06311362198847012,0.9642182752753384,0.012983128070112747,0.4679113185530922,2.0,0.20903841048655475,0.05029951222240925,0.01292252738897525,0.006461263694487625,0.10802449412369448,0.9104324608751564,0.013648897791677918,0.4492415402567094,2.0,0.2517716733857487,0.07361324148951098,stage_2_quality_confirmation,quality_pass,0,3
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,605918025,296,101,1082353,c32f6c645a8d883f2f821ab6f8721f4fc5ef782164bf452a605606320a114879,0.6492010913063544,0.6777307487833805,0.6732719646900021,0.6732719646900021,0.6548217864007337,0.6732673267326733,0.18686173856258392,0.5542692939244662,0.4950738916256158,-0.0591954022988504,0.45245825602968454,0.4433364254792826,-0.009121830550401944,0.5909082095352515,0.7175230806924422,0.12661487115719072,1.0637141622423976,0.34619108154995537,6.586978395701163,0.00470162626388377,0.10292153743283067,0.002879233835752039,1.8034970791645073,9,7,0.12024075349630858,-0.20735985009039704,0.031824324280023575,0.005468695033304359,0.0027343475166521796,0.07502848608782826,0.9469443036704663,0.012999428122764405,0.43757292882147025,2.0,0.23035980274007414,0.062517449259758,0.01417867807459156,0.00708933903729578,0.11263985525850019,0.9050320329415871,0.013406177345616156,0.4130688448074679,2.0,0.3048270751177378,0.07950860261917114,stage_2_quality_confirmation,quality_pass,0,3
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,1269767709,300,97,1082353,dff189596b5352e80428864c5dcbbcac488c9fe6aea2a9230261b754153fa630,0.7118114804450207,0.6743965144586263,0.6581857215272148,0.6581857215272148,0.5706663936477601,0.5773195876288659,0.18081626296043396,0.5824302134646961,0.5996715927750411,0.017241379310344973,0.3827922077922078,0.46731601731601746,0.08452380952380967,0.5105892741333894,0.6460353326500698,0.13544605851668046,1.022635536189213,0.37660020353914314,16.032622461286067,0.011443699115835879,0.25050972595759474,0.009932583247518275,2.3573244417296455,20,32,0.21276315936334944,-0.5174177418608527,0.01974269561469555,0.0030797043826132245,0.0015398521913066122,0.05653052379837598,0.9691534543615901,0.0124332766793018,0.5405797101449276,1.5,0.175725955098535,0.04521349014248699,0.010090844231277868,0.005045422115638934,0.09455482033258891,0.9336392350981078,0.01300736175363323,0.5014492753623189,2.0,0.2339718084777811,0.06611589586827904,stage_2_quality_confirmation,quality_pass,0,4
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,762434320,300,97,1082353,acfcdde248ca587b28b4d1d8dfbf0eee3fb8cb31cb34e945850d2614534e32e4,0.7118114804450207,0.7290116715582553,0.69835734955055,0.69835734955055,0.6216754260232521,0.7319587628865979,0.18637019395828247,0.5824302134646961,0.5795566502463054,-0.002873563218390718,0.3827922077922078,0.42272727272727284,0.039935064935065046,0.5105892741333894,0.6385663804671576,0.12797710633376824,1.0535247057419757,0.414958325274818,6.757168228700145,0.004823103660742431,0.10558075357343977,0.003062685805106073,1.5992533047179498,9,8,0.12081679271209302,-0.2257327158524661,0.030834492295980453,0.004182818579674517,0.0020914092898372586,0.06885380093177473,0.9488403937705522,0.012477760568715104,0.5217391304347826,2.0,0.22162494045180847,0.0599837601184845,0.011272822211561305,0.0056364111057806525,0.10512370408140428,0.9115777452012152,0.012877050476802184,0.4782608695652174,2.0,0.26885461355653273,0.07273776922374964,stage_2_quality_confirmation,quality_pass,0,4
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,base_maxpool,64,spectral_composite,0.25,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,452665854,293,103,1082353,ddc361428591eded011504e59537915056886f0152647fbd2320606e4cc4180d,0.8034297052154196,0.7568027210884354,0.7299810759113086,0.7299810759113086,0.5898809523809524,0.7475728155339806,0.18199974298477173,0.5182773109243698,0.5021008403361343,-0.01617647058823546,0.4978632478632479,0.4807692307692308,-0.017094017094017144,0.6046040156656061,0.7505070386510907,0.14590302298548463,1.0267548097554644,0.2762477711043737,15.22344521110228,0.010866127916561228,0.23786633142347322,0.01043534877628435,2.333794235334336,21,34,0.20983087010160967,-0.4898649174251764,0.0211231280118227,0.0033589726674315085,0.0016794863337157542,0.060741687600233046,0.9550214771189831,0.013418020381886837,0.5893719806763285,2.0,0.22458586404708203,0.0510103483684361,0.013303006195695487,0.006651503097847743,0.10731513687511444,0.8969888654497654,0.014100325685821377,0.5426731078904992,2.0,0.2750076439528949,0.06387495622038841,stage_2_quality_confirmation,quality_pass,1,0
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,0.001,1e-05,64,5.0,1401,0.5,20,1e-05,1e-05,500,arpls_minmax,vae_adequacy,254440719,293,103,1082353,0f3aa9939eef3b0a70471d8e7aa4c85117a0d028427f5c26827219e8be1ea742,0.8034297052154196,0.7508503401360545,0.7346300970981279,0.7346300970981279,0.6278628117913831,0.7184466019417476,0.1798691749572754,0.5182773109243698,0.48837535014005584,-0.029901960784313952,0.4978632478632479,0.5384615384615385,0.04059829059829062,0.6046040156656061,0.7244740360039325,0.11987002033832639,1.0463975602829063,0.32192352427897386,6.845282223144804,0.00488599730417188,0.10695753473663755,0.0033924417621686133,1.758073162292565,11,9,0.13169733672615958,-0.22033900761287273,0.03217709809541702,0.004787818737852027,0.0023939093689260135,0.07176921979155866,0.9318094413145048,0.013730350478082564,0.5507246376811594,2.0,0.2531259003733329,0.06253415625542402,0.01317391766556767,0.006586958832783835,0.10949041552929141,0.898031247633781,0.014243149386190163,0.5072463768115942,2.0,0.3325906619385396,0.06750444509088993,stage_2_quality_confirmation,quality_pass,1,0
