identifier,architecture,latent_dimension,reconstruction_loss,beta_target,optimizer_policy,maximum_epoch,checkpoint_epoch,representation,model_family,subset,learning_rate,weight_decay,batch_size,gradient_clip_norm,kl_normalization_divisor,plateau_factor,plateau_patience,plateau_threshold,minimum_learning_rate,n_train,n_validation,parameter_count,raw_target_balanced_accuracy,latent_target_balanced_accuracy,latent_target_macro_f1_supported,latent_target_macro_f1_union,corrupted_target_balanced_accuracy,corrupted_prediction_agreement,corrupted_latent_cosine_drift,raw_instrument_probe_increment,latent_instrument_probe_increment,instrument_probe_increment_delta,raw_sensor_probe_increment,latent_sensor_probe_increment,sensor_probe_increment_delta,raw_same_master_cross_instrument_distance,latent_same_master_cross_instrument_distance,same_master_distance_delta,latent_different_target_cross_instrument_distance,latent_cross_instrument_separation_margin,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability,clean_reconstruction_mse,clean_reconstruction_smooth_l1,clean_reconstruction_spectral_angle,clean_reconstruction_median_row_correlation,clean_reconstruction_first_derivative_mae,clean_repeatable_peak_recall,clean_median_peak_shift_cm1,clean_median_absolute_relative_peak_width_change,clean_median_absolute_peak_prominence_change,corrupted_reconstruction_mse,corrupted_reconstruction_smooth_l1,corrupted_reconstruction_spectral_angle,corrupted_reconstruction_median_row_correlation,corrupted_reconstruction_first_derivative_mae,corrupted_repeatable_peak_recall,corrupted_median_peak_shift_cm1,corrupted_median_absolute_relative_peak_width_change,corrupted_median_absolute_peak_prominence_change,fold_count_x,gate_clean_correlation,gate_peak_recall,gate_chemical_probe,gate_instrument_probe,gate_same_master_distance,gate_active_units,gate_kl_dimensions,gate_kl_range,gate_finite,gate_count,gate_total,passes_all_gates,kl_health_score,selection_utility,median_relative_improvement_50,mean_relative_improvement_50,maximum_relative_improvement_50,folds_improving_at_least_1_percent,fold_count_y,converged,stage
base_maxpool__z64__peak_multiscale__beta1p0__constant_lr__e500,base_maxpool,64,peak_multiscale,1.0,constant_lr,500,500,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7068032349946374,0.7087617246951587,0.6974813207218913,0.6974813207218913,0.6210896018913344,0.7122818088626711,0.16058491617441178,0.6068047958672959,0.5639160589160589,-0.042888736951236975,0.44937131696419624,0.440214920385199,-0.009156396578997208,0.6752592197001345,0.7647810719808855,0.08952185228075106,1.0459945289707597,0.28121345698987427,8.046198743778024,0.005743182543738776,0.12572185537153163,0.0033985838925227572,2.0030437417443343,9.6,8.4,0.13536049599457847,-0.26052930664457435,0.027674986235797405,0.006304489662693281,0.0031522448313466406,0.07474894510914849,0.9326589253427258,0.018829596336269294,0.4373203787771395,1.975,0.3038198935543675,0.06682329872855916,0.014978596187986276,0.007489298093993138,0.10875712115045162,0.8881017107532252,0.01925750394429433,0.41297357840797727,2.0,0.3709334972017607,0.07919445904917666,20,True,True,True,False,False,True,True,True,True,7,9,False,1.0,0.375,0.0042896050531398555,0.004506124704658014,0.020852207325668733,0.2,20,True,stage_2_loss
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,500,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.7114571974509454,0.6984555989288607,0.6984555989288607,0.6064199544190145,0.7005204364063271,0.15069122463464732,0.6055810907633824,0.5580526657609991,-0.04752842500238329,0.44772396105213447,0.448311547929195,0.0005875868770605301,0.6752592197001345,0.7620500620435575,0.08679084234342307,1.0473345321166905,0.2852844700731329,6.5980750302597695,0.00470954677391841,0.10309492234780888,0.002639092349943735,1.755907724382642,7.95,7.3,0.12210861733350793,-0.2116410817359456,0.03173172948881979,0.006666351984753675,0.0033331759923768147,0.07755391573791212,0.9276923795521353,0.018996920761615455,0.4374139818019046,2.0,0.3233400280919251,0.06793239686423927,0.015525936929134839,0.007762968464567395,0.110658891717475,0.8809248764020937,0.01941259146484299,0.42335338722832605,2.0,0.39023810201444803,0.07973009490087855,20,True,True,True,False,False,True,True,True,True,7,9,False,1.0,0.625,0.0025432072233095137,0.003004028401939967,0.013139924966718857,0.1,20,True,stage_2_loss
