heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0165,0.013916174931338135,0.0069580874656690675,0.11779191550761255,0.6782454478543747,0.01898332213184663,81,14,22,8,1.0,1.08295289173433,0.1034386157989502
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0166,0.025406078409393767,0.012703039204696884,0.14847256504579195,0.5813218844551851,0.020297316006783927,69,14,20,8,2.0,0.893199799339079,0.059192659333348274
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0167,0.006959385981080747,0.0034796929905403736,0.09803329483128033,0.9415337667302897,0.005437351340161903,10,0,2,0,,,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0168,0.008668950451007209,0.0043344752255036045,0.13258063053240576,0.7155360477641347,0.017001208472730858,80,17,17,10,2.0,0.6015202233027187,0.10105675458908081
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0169,0.008467705456209201,0.004233852728104601,0.10488695414582097,0.778399828986946,0.017028368708810637,79,19,16,9,2.0,1.0543981330034682,0.06265038251876831
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0170,0.00782369547265872,0.00391184773632936,0.08076101270988717,0.9552590618716613,0.007796735401664461,24,7,4,3,2.0,0.41536576223040617,0.09411139227449894
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0171,0.01109803713751912,0.00554901856875956,0.11108686434362623,0.6761943630379584,0.022190084039632765,87,20,28,11,2.5,1.4376817100289059,0.09265432506799698
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0172,0.00970919329946076,0.00485459664973038,0.10076579391674798,0.7289279263089408,0.02385344713394131,104,21,31,13,3.0,0.7607660910892421,0.11644737422466278
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0173,0.01454709356931173,0.007273546784655865,0.10439542263612021,0.9190949338362827,0.007724335651312556,22,1,2,0,3.0,6.107288632709685,0.012288268655538559
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0174,0.007211776333407774,0.003605888166703887,0.11196648607370778,0.7605076965414439,0.013452001570590904,59,11,10,4,1.0,0.7817025618481981,0.06504634022712708
