stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.7985714285714286,0.7856898740357388,0.7856898740357388,118,118,0,,0.004442778173334779,0.0022213890866673897,0.0625451266301014,0.9435642553544151,0.017704866709773875,0.5747549019607843,2.0,0.2699290263226619,0.05636647902429104,15.316133744060394,0.010932286755217983,0.2393145897509437,0.012331698455458635,2.226675160240699,28,44,0.21337575466709224,-0.5064894007830775,0.02242865227162838
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.7485714285714286,0.754634189405588,0.754634189405588,118,118,0,,0.004587103211221812,0.002293551605610906,0.06266511321675944,0.9373558167804152,0.017730223479890447,0.5784313725490197,2.0,0.2877010085222139,0.053464402444660664,16.14648188223255,0.011524969223577836,0.2522887794098836,0.01461623468609705,2.360415850811139,28,43,0.21735697651159594,-0.5456470817459003,0.021067949011921883
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.7747619047619045,0.7724352506307394,0.7724352506307394,118,118,0,,0.004977387492751983,0.0024886937463759915,0.06358807265010857,0.9371284254225416,0.017801176873821562,0.5784313725490197,2.0,0.3223680399152626,0.05778771638870239,15.664305575741484,0.011180803408809054,0.24475477462096062,0.014319240936036148,2.3209137142553766,26,53,0.21745431757429354,-0.5321264440516965,0.02274741791188717
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.8047619047619047,0.7815007325370635,0.7815007325370635,118,118,0,,0.0049850932288466685,0.0024925466144233343,0.058410363556596304,0.9808323241718373,0.016307401126751764,0.679372197309417,2.0,0.30139976447597666,0.04863905906677246,16.89437119975973,0.012058794575131855,0.26397454999624576,0.013837007842573124,2.3735522730475833,26,41,0.22995335476282164,-0.5683475353067123,0.02616952545940876
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.7752380952380953,0.7639895735149275,0.7639895735149275,118,118,0,,0.004695948998464929,0.0023479744992324645,0.057560289897377104,0.9792257546707436,0.016197192425078603,0.6816143497757847,2.0,0.31268009354128345,0.052596224937587976,17.49935855819916,0.01249061995588805,0.2734274774718618,0.014596330057225144,2.9388314300015685,30,50,0.23172790534915477,-0.5719613360952666,0.024043848738074303
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.7833333333333333,0.7850693197021011,0.7850693197021011,118,118,0,,0.0046527488141151615,0.0023263744070575808,0.05759345873285404,0.9804231627857065,0.016212301016060228,0.6771300448430493,2.0,0.2851711336731848,0.05060654506087303,17.283149887405038,0.012336295422844425,0.2700492169907037,0.013359651069077456,2.398498503890626,30,46,0.22820448136837632,-0.5626180460658544,0.025142960250377655
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.8102607709750567,0.7968820861678003,0.7968820861678003,103,103,0,,0.0029055638330914664,0.0014527819165457332,0.05727251746153011,0.9573878817168053,0.013183737308453668,0.5668276972624798,1.5,0.18808243067871044,0.04571349546313286,15.04183901100996,0.01073650179229833,0.23502873454703066,0.012522792523383477,1.933609795714284,30,42,0.209026085729593,-0.5116924308145535,0.021128062158823013
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.758985260770975,0.7257586420147997,0.7257586420147997,103,103,0,,0.0030746445335406753,0.0015373222667703376,0.05781163580607413,0.9565864279483198,0.013307992498496004,0.5652173913043478,2.0,0.2256558947078766,0.042769999243319035,15.992338232447594,0.011414945205173157,0.24988028488199368,0.00926706323840584,2.227232761410479,13,27,0.21108823734759197,-0.5101840850892017,0.020108021795749664
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.8417233560090703,0.8361076236852634,0.8361076236852634,103,103,0,,0.003299804202424382,0.001649902101212191,0.05744203586684218,0.9583025907418232,0.013285559299724019,0.5700483091787439,1.75,0.24613896014716843,0.049048672430217266,15.884083472887257,0.011337675569512675,0.24818880426386342,0.012946419537382287,2.387713755132714,27,39,0.22648155524763125,-0.5056062965640398,0.021301809698343277
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.7210034013605443,0.7104563734918692,0.7104563734918692,103,103,0,,0.003068501597389454,0.001534250798694727,0.04966106620172096,0.9840996142654096,0.01127544498702515,0.7225806451612903,2.0,0.2012633729236775,0.0441577173769474,16.417853008897417,0.011718667386793303,0.25652895326402214,0.010933386421184941,2.284033895836525,16,39,0.20771203274620562,-0.5309453893027023,0.023590004071593285
