stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.7386337868480727,0.7197595317196647,0.7197595317196647,103,103,0,,0.0028304427803122873,0.0014152213901561436,0.04853669448201503,0.9841329919571103,0.011279000974853914,0.7096774193548387,1.5,0.21804874770106045,0.05028338450938463,16.74365042114739,0.011951213719591285,0.2616195378304279,0.011084435137430536,2.5831332606649173,18,41,0.20881311690225374,-0.5377385017608111,0.023216888308525085
outer,nato_outer_o0__train_quality_pass__test_quality_pass,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.7869614512471655,0.7650336130313884,0.7650336130313884,103,103,0,,0.0028976289102865547,0.0014488144551432773,0.04983335639773468,0.982508602140974,0.011255801925303848,0.7193548387096774,1.5,0.26401684236007195,0.04958559572696686,16.30749197575849,0.011639894343867589,0.2548045621212265,0.011835088963621176,2.788345033746969,19,40,0.21470259386241045,-0.5250359211829861,0.022955136373639107
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.6805555555555555,0.5531746031746032,0.5531746031746032,15,15,0,,0.017222584784319647,0.008611292392159823,0.10877953119693219,0.4334072076642606,0.04764607076324423,,2.5,2.4379768814262173,0.1503857597708702,13.596343189927191,0.009704741748698923,0.2124428623426124,0.021517859415271852,2.369566579763381,37,50,0.22934421777739164,-0.5180527785320009,0.03375537693500519
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.5972222222222222,0.4611111111111111,0.4611111111111111,15,15,0,,0.017614294700048463,0.008807147350024231,0.10908038077560772,0.4794977473779536,0.04776230629781327,,2.0,1.87768118473773,0.13239726424217224,13.474339771773828,0.009617658652229712,0.21053655893396606,0.011113015108322504,2.6141449111530846,11,35,0.19175894220120426,-0.5184610236325095,0.03319051116704941
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.5,0.4166666666666667,0.4166666666666667,15,15,0,,0.02058277204014121,0.010291386020070604,0.11052633852519313,0.41348487577220766,0.04793949557772638,,2.5,2.0056115733641526,0.1440524160861969,14.394565907610861,0.01027449386695993,0.2249150923064197,0.020715089867126606,2.758099545426824,21,46,0.2503106874203695,-0.5111117723965435,0.035701509565114975
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.7222222222222222,0.6678571428571428,0.6678571428571428,15,15,0,,0.02252810137716811,0.011264050688584056,0.1331508432437919,0.4447572047229839,0.049119098676568676,,2.0,1.6131965669747512,0.16301918029785156,13.744147155065038,0.009810240653151347,0.21475229929789122,0.014958150311981642,1.9011723933346902,19,45,0.19551455909374152,-0.568163412548165,0.03291379287838936
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.6666666666666666,0.4984126984126985,0.4984126984126985,15,15,0,,0.02121485011388073,0.010607425056940366,0.13192556394758467,0.4538279650236723,0.049378026865952655,,2.0,2.5406631886858397,0.1656218022108078,13.543303166206243,0.00966688305939061,0.21161411197197255,0.011783312763299933,1.8701939057647745,15,38,0.19026060529610428,-0.5417158833142215,0.0361478328704834
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.5416666666666666,0.37433862433862436,0.37433862433862436,15,15,0,,0.021142331768426104,0.010571165884213052,0.13431036548527514,0.4798454996451773,0.04925544458709243,,2.0,2.194364288264859,0.15487857116386294,13.519972706362894,0.00965023034001634,0.21124957353692014,0.013348712528691324,1.9371383396963475,13,38,0.19383635513368064,-0.5401752915448318,0.03446115553379059
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.6665899998443312,0.6641733629304678,0.6641733629304678,119,119,0,,0.004387386871395195,0.0021936934356975974,0.060839462018865746,0.9674203667688154,0.016096607573564604,0.5017064846416383,2.0,0.20043111356808543,0.05099954828619957,16.083991592812424,0.011480365162607012,0.25131236863769413,0.011874924272566461,2.777937979824472,28,41,0.21664413942603852,-0.5330813491949536,0.020848490297794342
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.667773081772755,0.6517890266400922,0.6517890266400922,119,119,0,,0.004508482470388491,0.0022542412351942453,0.0620747674088403,0.9606125834622634,0.016152414599525395,0.47440273037542663,2.0,0.1951477988203831,0.04717385955154896,15.598583136947246,0.01113389231759261,0.24372786151480066,0.010945877333839334,2.2989451064796884,22,34,0.21310593371488323,-0.49499797828994596,0.021165816113352776
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.6871511075826211,0.6701083528188837,0.6701083528188837,119,119,0,,0.004522571576400302,0.002261285788200151,0.06385264182899959,0.9586845310211801,0.016097712851095927,0.46188850967007966,2.0,0.19647944625794073,0.0492651853710413,14.864611961532171,0.01061000140009434,0.23225956189894018,0.01042166937298913,2.490098257260715,24,35,0.20405071338641087,-0.4818459397231608,0.019650300964713097
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.685803989788135,0.6768970953549707,0.6768970953549707,119,119,0,,0.005004357655019323,0.0025021788275096614,0.06180679643507953,0.975917673870088,0.015665076956481404,0.5778894472361809,2.0,0.26879048177195586,0.0471390038728714,17.23838016571827,0.012304339875601904,0.26934969008934806,0.017517979420669502,2.4929636707901572,42,58,0.2331251935394297,-0.5804315761826992,0.023836197331547737
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.5902109699715127,0.5896944518895738,0.5896944518895738,119,119,0,,0.00496561142726458,0.00248280571363229,0.061285450594583984,0.977248369017508,0.015733147863979145,0.5711892797319933,2.0,0.22754494102101394,0.05135002126917243,18.05573815495805,0.012887750289049286,0.28212090867121953,0.016499000776351753,2.727426668374352,35,54,0.23756342889833057,-0.6036232437259862,0.022916486486792564
outer,nato_outer_o1__train_strict_core__test_strict_core,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.6179849857563163,0.6047091424665796,0.6047091424665796,119,119,0,,0.005073899522522311,0.0025369497612611554,0.0622199337419153,0.9783646798018885,0.01564195091083764,0.5393634840871022,2.0,0.22675690333876194,0.045014126459136605,17.675044767186026,0.01261602053332336,0.2761725744872818,0.01463517940657552,2.5310022582242158,42,52,0.22750986552016925,-0.58064646678233,0.022668680176138878
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.7177230981578807,0.6824973301455204,0.6824973301455204,104,104,0,,0.003009536482445514,0.001504768241222757,0.05743603732371298,0.9717950989552184,0.011559097845254714,0.6404715127701375,1.5,0.17357062897473202,0.04355242720339447,15.488027965328378,0.011054980703303624,0.2420004369582559,0.010774697473908386,2.2095535050062036,24,34,0.221974140121278,-0.49599875257790305,0.0193331278860569
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.6977937521415782,0.6877119121480024,0.6877119121480024,104,104,0,,0.003036780142210493,0.0015183900711052466,0.05746048546320412,0.9715591237051018,0.011710467028163892,0.6522593320235757,2.0,0.17186790209325556,0.04071950539946556,16.10093586752745,0.011492459577107388,0.2515771229301164,0.011521187992620991,2.285028663410284,31,42,0.21739028969062538,-0.5141658150030352,0.019471745938062668
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.7076220880568707,0.6722711462207261,0.6722711462207261,104,104,0,,0.003126672479879509,0.0015633362399397545,0.05825395081897732,0.9729483892802413,0.01167096916998889,0.6247544204322201,2.0,0.19377191878684152,0.04183641148847528,15.363022933138998,0.01096575512715132,0.24004723333029687,0.013717824780567048,2.1808236504203715,31,46,0.21818599915498937,-0.4967514834751796,0.0192416999489069
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.733323439845179,0.7230742319306349,0.7230742319306349,104,104,0,,0.003173877491968356,0.001586938745984178,0.05252752244922783,0.9830598838197204,0.010528683436517852,0.75,2.0,0.15860065203380996,0.03992941975593567,16.455905960595064,0.011745828665663857,0.2571235306342978,0.01257346494384012,2.8589291894594235,21,36,0.22179907646295322,-0.5197118611547992,0.021687189117074013
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.7116373964200051,0.6890515381116884,0.6890515381116884,104,104,0,,0.0032065282819084212,0.0016032641409542106,0.05289267122591216,0.9843644999925885,0.010566096265280801,0.7689873417721519,2.0,0.1612767087160777,0.04405594780109823,16.81086908625358,0.011999192781051805,0.26266982947271217,0.010872866401301726,2.5967013565097017,19,38,0.2107702996184982,-0.5350895649599946,0.021772928535938263
outer,nato_outer_o1__train_quality_pass__test_quality_pass,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.6988168835994923,0.677774186597716,0.677774186597716,104,104,0,,0.003184340877999767,0.0015921704389998835,0.05242379488534103,0.9835977386468733,0.010586357439517123,0.7626582278481012,2.0,0.15387864232610576,0.046690127812325954,16.665741164330676,0.011895603971684994,0.26040220569266675,0.011062259640888052,2.6434579335527584,18,37,0.2218156535565467,-0.5264919942384705,0.0221349336206913
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.34722222222222227,0.35202020202020196,0.3017316017316017,15,15,0,,0.01553682954462269,0.007768414772311345,0.1061958467912911,0.4513702581192702,0.046656421893683575,0.1561822125813449,2.5,3.266976955769742,0.11144351214170456,12.362274971299955,0.008823893626909319,0.19316054642656177,0.012747379075538811,2.4002875878025454,19,44,0.19616858765566575,-0.504609109225324,0.033540960401296616
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.16666666666666666,0.05882352941176471,0.05882352941176471,15,15,0,,0.01594671942617964,0.00797335971308982,0.10682085208259867,0.4483596866198373,0.04692649326836287,0.16268980477223427,2.0,2.474072926399096,0.099588543176651,12.394010559377334,0.008846545724038068,0.19365641499027086,0.015206996357200617,1.8445387420626307,18,41,0.20147168187246886,-0.4871275954467516,0.0329086109995842
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.16666666666666666,0.06666666666666667,0.05714285714285715,15,15,0,,0.01635994372082603,0.008179971860413015,0.10714892187467877,0.4372481876351571,0.046891338648013994,0.1540130151843818,2.5,2.5796411380961755,0.12413004040718079,12.259015327113456,0.008750189384092402,0.19154711448614775,0.019058481757544685,2.3666106906470907,23,50,0.21204303211009876,-0.494118864876206,0.030772244557738304
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.23611111111111108,0.1976190476190476,0.1976190476190476,15,15,0,,0.02010588536198836,0.01005294268099418,0.1384128660228783,0.4684462581430249,0.04838324996495032,0.15432098765432098,2.5,3.4781447899130375,0.14048102498054504,12.382454300245904,0.008838297145072022,0.1934758484413423,0.01166463955354621,1.8236053435465172,13,38,0.16684510845540595,-0.5587946871984968,0.032436978071928024
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.23611111111111108,0.20128205128205132,0.17252747252747255,15,15,0,,0.020789265251977346,0.010394632625988673,0.13935891989721888,0.4880618829056931,0.04850790617608333,0.1748971193415638,2.0,3.2981123122243563,0.14880649000406265,12.977225523096813,0.009262830494715784,0.2027691487983877,0.01116574473697057,2.413504670503781,17,38,0.15539874830149833,-0.5840285342409819,0.03336257487535477
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.2916666666666667,0.24444444444444446,0.24444444444444446,15,15,0,,0.02048286379868658,0.01024143189934329,0.1392606510209717,0.4855081740213947,0.04854046823810564,0.1748971193415638,2.0,2.9288067295514644,0.11749250441789627,12.702208390714212,0.009066529900581165,0.19847200610490956,0.012328390097313322,1.841029366367726,15,39,0.17042707289204675,-0.5745280512456399,0.034030672162771225
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.798327664399093,0.7535570728673378,0.7535570728673378,117,117,0,,0.006433400373080761,0.0032167001865403807,0.0677133080064266,0.9295447907851692,0.022801092615816376,0.3666421748714181,2.0,0.33425690351953,0.07704434636980295,15.113464609033635,0.010787626416155343,0.23614788451615057,0.012272766655234097,2.577110759109794,26,41,0.20733413467533596,-0.519841722870724,0.022945720702409744
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.6980442176870748,0.6717353861410812,0.6717353861410812,117,117,0,,0.006560272157776479,0.0032801360788882396,0.06846156688472503,0.930608762585496,0.022870172695717776,0.36884643644379134,2.0,0.33353328968136314,0.06514890817925334,15.004569395530302,0.0107098996399217,0.23444639680516097,0.012930963464629153,2.2915080469289286,30,40,0.21882539052779018,-0.49504282120911974,0.024833278730511665
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.7493480725623582,0.7287796326214179,0.7287796326214179,117,117,0,,0.006672345891437575,0.0033361729457187877,0.06912807280371105,0.9281629554265088,0.02289558567969173,0.3776634827332844,2.0,0.37102956921980584,0.0689111053943634,15.318012191912658,0.010933627545976201,0.23934394049863528,0.01851721561068903,2.576755709903182,45,53,0.2285284742371922,-0.5060399687456479,0.023269813507795334
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.7426870748299319,0.718051377496916,0.718051377496916,117,117,0,,0.006269379884250549,0.0031346899421252745,0.060136291833977125,0.9731784988933267,0.019444465337849198,0.5071174377224199,2.0,0.43491565644174557,0.06741436570882797,18.13413457512984,0.01294370776240531,0.28334585273640367,0.01596176069924255,2.7555026094627286,32,51,0.23763781597453704,-0.6003347415828441,0.026275519281625748
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.6628968253968254,0.6339913099204224,0.6339913099204224,117,117,0,,0.006834693387364191,0.0034173466936820956,0.06157571797555439,0.9682591686355441,0.01962441664240345,0.5177935943060499,2.0,0.4215972141940015,0.06614869087934494,17.2798324086612,0.012333927486553318,0.26999738138533125,0.020609311945545286,2.5341774820499414,41,57,0.2417926725817359,-0.5777822478887181,0.0280517116189003
outer,nato_outer_o2__train_strict_core__test_strict_core,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.6806122448979591,0.649705297820775,0.649705297820775,117,117,0,,0.006713647455859716,0.003356823727929858,0.06151506190903724,0.9670674092602031,0.0196283044208092,0.5427046263345195,2.0,0.5271712606840753,0.06543850339949131,18.603920190690253,0.013279029400920952,0.2906862529795352,0.023994839059044034,2.692963859147002,45,58,0.2562676754886929,-0.62393742784431,0.026178454980254173
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.7751100176566015,0.7231494033019905,0.7231494033019905,95,95,0,,0.004372780981567715,0.0021863904907838574,0.06242600824931128,0.9609422185878935,0.016978172104331647,0.41366459627329194,2.0,0.22129908767273174,0.05544694513082504,16.129728405389304,0.011513010995995221,0.25202700633420794,0.009097156244907936,2.0938335735133093,15,29,0.20376198427256537,-0.5285663350800334,0.021111605688929558
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.7890287076622481,0.7515891863991974,0.7515891863991974,95,95,0,,0.0044307619538527096,0.0022153809769263548,0.06409628888573864,0.9582659930805462,0.016936553351095347,0.42111801242236024,2.0,0.2248655808456841,0.05811437591910362,14.975014962369206,0.010688804398550468,0.2339846087870188,0.014741698997192616,2.1310248530999694,31,45,0.20630617479126662,-0.5088081679985222,0.02210814133286476
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.812044580678121,0.7697984543231567,0.7697984543231567,95,95,0,,0.0043240364895623384,0.0021620182447811692,0.06266106986021207,0.9600396964109215,0.01691033023677647,0.4124223602484472,2.0,0.22932202723609924,0.059019312262535095,16.12602871984875,0.011510370249713598,0.25196919874763674,0.011073570165243123,2.003154067667616,20,37,0.21208236257373062,-0.5249693249708464,0.02212437428534031
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.7828049796993897,0.7067872825405106,0.7067872825405106,95,95,0,,0.003275233415113113,0.0016376167075565565,0.047987068855548355,0.9820064903943039,0.012802217555089807,0.5238095238095238,2.0,0.23382927618363808,0.05616705119609833,17.02077388360858,0.012149017761319473,0.2659495919313841,0.00905868318587515,2.683844263111502,14,28,0.2043926329744307,-0.5469377484223897,0.023167787119746208
outer,nato_outer_o2__train_quality_pass__test_quality_pass,2,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.7572701280775814,0.6890549421915457,0.6890549421915457,95,95,0,,0.003420722128406922,0.001710361064203461,0.04872757392514962,0.9795577939558499,0.012853937524442612,0.5416666666666666,2.0,0.2876631969066717,0.05896788835525513,16.846383718977496,0.012024542269077442,0.2632247456090233,0.012210407364094062,2.5507886481718556,19,37,0.21301941260948967,-0.5476048774180299,0.024043817073106766
