stage,scenario,model,representation,seed,class_label,support,predicted_count,true_positive,recall,precision
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_ANPP,11,9,9,0.8181818181818182,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,acetaminophen,0,5,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,benzyl_fentanyl,8,10,8,1.0,0.8
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,blank,10,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethanol,0,4,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethyl_paraoxon,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_ANPP,11,8,8,0.7272727272727273,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,benzyl_fentanyl,8,6,4,0.5,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,blank,10,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethanol,0,10,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,ethyl_paraoxon,0,5,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,4_ANPP,11,8,8,0.7272727272727273,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,acetaminophen,0,3,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,benzyl_fentanyl,8,8,4,0.5,0.5
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,blank,10,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethanol,0,9,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,ethyl_paraoxon,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_ANPP,16,20,13,0.8125,0.65
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,4_nitrophenol,9,3,3,0.3333333333333333,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,acetaminophen,7,11,1,0.14285714285714285,0.09090909090909091
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,benzyl_fentanyl,20,28,15,0.75,0.5357142857142857
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,blank,11,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethanol,5,2,2,0.4,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,ethyl_paraoxon,4,8,2,0.5,0.25
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_ANPP,16,23,14,0.875,0.6086956521739131
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,4_nitrophenol,9,3,3,0.3333333333333333,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,acetaminophen,7,6,1,0.14285714285714285,0.16666666666666666
