subset,representation,instrument,sensor_family,spectra,median_row_correlation,mean_row_correlation,repeatable_reference_peaks,repeatable_matched_peaks,median_peak_shift_cm1,median_relative_peak_width_change,repeatable_peak_recall
field_quality_stress,arpls_minmax,Agilent-3,H_SERS_H_Kit,3,0.965841907728399,0.9663385143755967,24,23,1.0,0.2314176685987056,0.9583333333333334
field_quality_stress,arpls_minmax,Mira-1,pSERS_Metrohm_silver,6,0.6683013932112554,0.6679872674321893,198,61,3.0,1.029787774117402,0.30808080808080807
field_quality_stress,arpls_minmax,Mira-2,H_SERS_H_Kit,3,0.889454625575216,0.8980111140637641,24,17,3.0,0.1419093180832057,0.7083333333333334
field_quality_stress,arpls_minmax,Mira-3,pSERS_Metrohm_silver,3,0.4172377927306576,0.4188891747377484,99,26,3.0,1.6488390764202558,0.26262626262626265
field_quality_stress,arpls_minmax,Pendar-1,NRC_Canadian_SERS,12,0.5916564965924249,0.6016774626291262,318,32,2.5,2.8249485005406276,0.10062893081761007
field_quality_stress,arpls_minmax,Pendar-1,pSERS_Metrohm_silver,6,0.2483849777206733,0.2546018372467864,195,26,2.0,2.412481390965596,0.13333333333333333
field_quality_stress,arpls_minmax,Pendar-2,GaN_polymer,15,0.4334072076642606,0.4505652166707019,513,91,2.0,2.048037218569648,0.17738791423001948
field_quality_stress,arpls_minmax,Pendar-2,H_SERS_H_Kit,126,0.19480406172922393,0.29984080642212735,1470,259,2.25,2.3399436666694267,0.1761904761904762
field_quality_stress,arpls_minmax,Pendar-2,pSERS_Metrohm_silver,27,0.4998888926219902,0.519480470564689,981,182,3.0,1.450523720456016,0.18552497451580022
field_quality_stress,arpls_minmax,Pendar-3,H_SERS_H_Kit,12,0.3654488844835007,0.3799659839606975,804,147,2.0,2.5216349658096835,0.1828358208955224
field_quality_stress,arpls_minmax,Pendar-3,NRC_Canadian_SERS,30,0.4813622224324897,0.5304880620966858,1074,152,2.5,3.111940965079991,0.14152700186219738
field_quality_stress,arpls_minmax,Pendar-3,pSERS_Metrohm_silver,42,0.22302737905786005,0.3245569762270276,1467,212,2.0,2.8593024530057916,0.1445126107702795
field_quality_stress,arpls_minmax,RMX-1,H_SERS_H_Kit,3,0.9588307684205084,0.9597483430571311,12,12,1.0,0.0855541460053691,1.0
field_quality_stress,arpls_minmax,RMX-1,NRC_Canadian_SERS,3,0.99407378212187,0.9937146979393526,12,10,1.0,0.0936602705910331,0.8333333333333334
field_quality_stress,arpls_minmax,RMX-2,NRC_Canadian_SERS,3,0.9742033936458304,0.9754895183692142,21,15,2.0,0.2371646184197532,0.7142857142857143
field_quality_stress,minimal_minmax,Agilent-3,H_SERS_H_Kit,3,0.9322777778236832,0.932239120009983,24,19,1.0,0.2227898104145624,0.7916666666666666
field_quality_stress,minimal_minmax,Mira-1,pSERS_Metrohm_silver,6,0.9956297612317342,0.995505647764484,6,2,2.5,0.36107243978898074,0.3333333333333333
field_quality_stress,minimal_minmax,Mira-2,H_SERS_H_Kit,3,0.9181674810911052,0.9156676515211064,21,10,3.0,0.4415861353967608,0.47619047619047616
field_quality_stress,minimal_minmax,Mira-3,pSERS_Metrohm_silver,3,0.9962079484453976,0.9962006681129031,0,0,,,
field_quality_stress,minimal_minmax,Pendar-1,NRC_Canadian_SERS,12,0.5187357114175539,0.5421143361129545,336,38,2.0,3.2168448950629625,0.1130952380952381
field_quality_stress,minimal_minmax,Pendar-1,pSERS_Metrohm_silver,6,0.44282036920618495,0.4201760523701148,222,33,2.0,2.1172471567318847,0.14864864864864866
field_quality_stress,minimal_minmax,Pendar-2,GaN_polymer,15,0.5891325267763033,0.568185334840875,510,67,2.0,2.73103739448939,0.13137254901960785
field_quality_stress,minimal_minmax,Pendar-2,H_SERS_H_Kit,126,0.3951198016945541,0.44541804651389005,1458,231,2.0,2.853777447503179,0.15843621399176955
