identifier,strict_latent_target_balanced_accuracy,passes_all_gates,gate_count,selection_utility,parameter_count,quality_latent_target_balanced_accuracy,quality_target_delta,gate_quality_sensitivity
base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,0.6921185250812172,False,7,0.641838801835215,1082353.0,0.7266146636226727,0.0344961385414555,True
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,0.7114571974509454,False,7,0.5728315681785188,1082353.0,0.7249856407440586,0.013528443293113201,True
