identifier,architecture,latent_dimension,reconstruction_loss,beta_target,optimizer_policy,maximum_epoch,checkpoint_epoch,representation,model_family,subset,learning_rate,weight_decay,batch_size,gradient_clip_norm,kl_normalization_divisor,plateau_factor,plateau_patience,plateau_threshold,minimum_learning_rate,n_train,n_validation,parameter_count,raw_target_balanced_accuracy,latent_target_balanced_accuracy,latent_target_macro_f1_supported,latent_target_macro_f1_union,corrupted_target_balanced_accuracy,corrupted_prediction_agreement,corrupted_latent_cosine_drift,raw_instrument_probe_increment,latent_instrument_probe_increment,instrument_probe_increment_delta,raw_sensor_probe_increment,latent_sensor_probe_increment,sensor_probe_increment_delta,raw_same_master_cross_instrument_distance,latent_same_master_cross_instrument_distance,same_master_distance_delta,latent_different_target_cross_instrument_distance,latent_cross_instrument_separation_margin,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability,clean_reconstruction_mse,clean_reconstruction_smooth_l1,clean_reconstruction_spectral_angle,clean_reconstruction_median_row_correlation,clean_reconstruction_first_derivative_mae,clean_repeatable_peak_recall,clean_median_peak_shift_cm1,clean_median_absolute_relative_peak_width_change,clean_median_absolute_peak_prominence_change,corrupted_reconstruction_mse,corrupted_reconstruction_smooth_l1,corrupted_reconstruction_spectral_angle,corrupted_reconstruction_median_row_correlation,corrupted_reconstruction_first_derivative_mae,corrupted_repeatable_peak_recall,corrupted_median_peak_shift_cm1,corrupted_median_absolute_relative_peak_width_change,corrupted_median_absolute_peak_prominence_change,fold_count_x,gate_clean_correlation,gate_peak_recall,gate_chemical_probe,gate_instrument_probe,gate_same_master_distance,gate_active_units,gate_kl_dimensions,gate_kl_range,gate_finite,gate_count,gate_total,passes_all_gates,kl_health_score,selection_utility,median_relative_improvement_50,mean_relative_improvement_50,maximum_relative_improvement_50,folds_improving_at_least_1_percent,fold_count_y,converged
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,100,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.6841184759358182,0.6706680799867865,0.6706680799867865,0.5903438738489,0.7101194755074648,0.15304407030344008,0.6055810907633824,0.5078346128866962,-0.0977464778766862,0.44772396105213447,0.4246255568476931,-0.02309840420444136,0.6752592197001345,0.7513538994844456,0.07609467978431116,1.0425444664755945,0.2911905669911488,7.138502843344955,0.005095291108740153,0.11153910692726492,0.021211162689567242,1.3953102019128554,57.8,49.35,0.22303800024711515,-0.22418381863012296,0.04224361050873995,0.009251609483482352,0.004625804741741176,0.08898435476232926,0.8975676799381691,0.019143469274018575,0.4109152116542562,2.0,0.4088226362826588,0.07238250134328154,0.019900347244586853,0.009950173622293427,0.1205921586689002,0.8412166519498987,0.019386192253438787,0.38992467565663286,2.0,0.4409565116335454,0.07926417670387309,20,False,False,True,True,False,True,True,True,True,6,9,False,1.0,0.3961495557438325,,,,,,
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,150,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.6957649780207806,0.6835334298084031,0.6835334298084031,0.5920093125292128,0.6960229602067798,0.15741320475935935,0.6055810907633824,0.5332420776431193,-0.07233901312026313,0.44772396105213447,0.4320209629981302,-0.015702998054004248,0.6752592197001345,0.7574641228189819,0.08220490311884743,1.049922515738423,0.29245839291944115,6.729166534248165,0.004803116726800975,0.10514322709762758,0.007587924672566919,1.5560583501233962,36.25,23.75,0.16352381406643138,-0.2141781769580547,0.037497713975608346,0.008017135718790489,0.004008567859395244,0.0845482160596924,0.9074689909128976,0.01908378816732878,0.4197063464664602,2.0,0.38227624517608444,0.07196242892532609,0.01771137611335632,0.00885568805667816,0.11608096833947532,0.8543247590201617,0.019361522660681894,0.39898640763494697,2.0,0.42515269527488436,0.07803078264914802,20,False,False,True,True,False,True,True,True,True,6,9,False,1.0,0.4486179394145531,0.061716503831954886,0.06196133376743378,0.11430765311929744,1.0,20.0,False
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,200,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.6902453859705003,0.6783932581340685,0.6783932581340685,0.5926564089491926,0.6948644323636283,0.15630203634500503,0.6055810907633824,0.5340567576505076,-0.07152433311287475,0.44772396105213447,0.4329146787738119,-0.014809282278322556,0.6752592197001345,0.7572566297383196,0.08199741003818517,1.0508497146400244,0.2935930849017046,6.693356811059128,0.004777556610320577,0.10458370017279887,0.00444273641965535,1.619669106243726,20.65,13.0,0.1423159181202436,-0.21538087594555097,0.03532834518700838,0.007362390914136506,0.003681195457068253,0.081812787261166,0.9164154445163237,0.019062849611757773,0.42625481697019607,2.0,0.366819032440156,0.06914133373065852,0.01657472589532153,0.008287362947660765,0.1130770823416872,0.8726418175847922,0.019380590261553726,0.406931337375888,2.0,0.3964581650299788,0.07832812505366746,20,False,False,True,True,False,True,True,True,True,6,9,False,1.0,0.4493973105466739,0.026099742936647484,0.029975997533399294,0.07310409928415515,0.95,20.0,False
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,250,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.6897628973991756,0.6780705521242891,0.6780705521242891,0.5856966728515028,0.684752279505962,0.15492402762174606,0.6055810907633824,0.5487315812836646,-0.0568495094797178,0.44772396105213447,0.44201566954430727,-0.005708291507827157,0.6752592197001345,0.7555165691234984,0.08025734942336396,1.0489527395608704,0.2934361704373719,6.683731042991928,0.004770685969301877,0.10443329754674888,0.0035559797190274356,1.6957887545900039,14.6,10.45,0.13387735594826228,-0.21423568726943193,0.03396578133106232,0.007033570074231328,0.003516785037115664,0.0801586033004841,0.9213894574517557,0.01904861253349148,0.4302482489219063,2.0,0.364820517123156,0.06922201233985602,0.015833447473842854,0.007916723736921427,0.11117576792771289,0.8774191548723802,0.019394580842107705,0.412021302372892,2.0,0.3864376792244461,0.07966578812774969,20,False,False,True,False,False,True,True,True,True,5,9,False,1.0,0.43157533887499533,0.012072892806402268,0.01125425614540835,0.026989225730720445,0.6,20.0,False
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,300,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.7093970735686166,0.6963032544743872,0.6963032544743872,0.5983182417043564,0.6905849592995011,0.1530700609087944,0.6055810907633824,0.5511106232720816,-0.0544704674913008,0.44772396105213447,0.4458547721055461,-0.0018691889465883766,0.6752592197001345,0.7586892874584159,0.0834300677582814,1.0494039110497453,0.29071462359132927,6.741720277877941,0.004812077286137003,0.10533937934184283,0.003170858064570458,1.7161116588067329,11.4,8.95,0.1295510942757898,-0.21728428066999364,0.033118547312915324,0.006942945639935928,0.003471472819967964,0.07924370395750295,0.9234126406167869,0.019053415732329812,0.43595234018203666,2.0,0.33934474686555904,0.06919357061851769,0.01578438261562768,0.00789219130781384,0.11057487363226867,0.8786447929470038,0.019418549740354025,0.4191805143384076,2.0,0.399360056294007,0.07836385755426818,20,False,False,True,False,False,True,True,True,True,5,9,False,1.0,0.6307442425564013,0.010993690149664614,0.009815526467427883,0.02144257178347112,0.55,20.0,False
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,350,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.703436224988734,0.6918064077511675,0.6918064077511675,0.6027899953239525,0.6842021305515098,0.15216108411550522,0.6055810907633824,0.5528095282782782,-0.05277156248510413,0.44772396105213447,0.4463374572051042,-0.001386503847030196,0.6752592197001345,0.7597933836434873,0.0845341639433528,1.0506224826049477,0.2908290989614605,6.664666375880356,0.004757078069864636,0.10413541212313056,0.002916844920825304,1.7083441677128963,10.1,8.3,0.12623152812302993,-0.21409901159982353,0.03272596690803766,0.006794070581421584,0.003397035290710792,0.07854471214862664,0.9244805565020243,0.01903114700398013,0.43709276672901576,2.0,0.34595252782429287,0.06772624345321673,0.015441074884538216,0.007720537442269108,0.11044305259381655,0.8796085405398584,0.019405829061802122,0.4215065335903462,2.0,0.3973174579173467,0.07943531040509696,20,False,True,True,False,False,True,True,True,True,6,9,False,1.0,0.5793004494638108,0.00791500446678701,0.007381046197164126,0.015884793848955716,0.45,20.0,False
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,400,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.7076813601929653,0.6957050750405809,0.6957050750405809,0.5958796094891633,0.6976452030041664,0.15170306488871574,0.6055810907633824,0.5535761431073931,-0.05200494765598932,0.44772396105213447,0.4333520180370026,-0.01437194301513189,0.6752592197001345,0.7603664696751589,0.08510724997502442,1.044313079101956,0.283946609426797,6.691384438086078,0.0047761487780771435,0.10455288184509495,0.002875697822999088,1.732139249445612,8.9,7.9,0.1253554170654994,-0.21665640936776653,0.032134187314659356,0.006717013198405506,0.003358506599202753,0.07802970552146231,0.9259508673529757,0.019016520095100502,0.43669066229461856,2.0,0.33665275329851396,0.06885246662131976,0.01546822018353122,0.00773411009176561,0.11017004781140147,0.8844806359940381,0.019407245605100168,0.4229470494881822,2.0,0.40017824765044485,0.07990426855258193,20,False,True,True,False,False,True,True,True,True,6,9,False,1.0,0.6216485053983103,0.0005954931577333907,0.0012221892734866984,0.0151323646273558,0.15,20.0,True
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,450,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.694301801894847,0.6804175969792812,0.6804175969792812,0.6077758643503168,0.6999256690521605,0.1522715426981449,0.6055810907633824,0.5565391433099767,-0.049041947453405774,0.44772396105213447,0.44707721257643857,-0.0006467484756959047,0.6752592197001345,0.7621376758008821,0.08687845610074763,1.0497483833203571,0.28761070751947504,6.701512242454557,0.004783377760495758,0.10471112878835245,0.002742862508328849,1.7704941483076304,8.15,7.55,0.12433485032690621,-0.21627891473583433,0.0318267622962594,0.006695756948071109,0.0033478784740355546,0.07756814268217051,0.9275640942609421,0.019006796391451773,0.4363540301690386,2.0,0.33222195279780087,0.06712225996307097,0.015806341080479035,0.007903170540239517,0.11045935755702233,0.8794247147828717,0.019427147902243747,0.42074497309731884,2.0,0.3908391653066195,0.07985875556332758,20,True,True,True,False,False,True,True,True,True,7,9,False,1.0,0.520988494553064,0.004137949317972664,0.0044664844718609025,0.015884357925048834,0.35,20.0,False
base_maxpool__z64__spectral_composite__beta1p0__constant_lr__e500,base_maxpool,64,spectral_composite,1.0,constant_lr,500,500,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.7114571974509454,0.6984555989288607,0.6984555989288607,0.6064199544190145,0.7005204364063271,0.15069122463464737,0.6055810907633824,0.5580526657609991,-0.047528425002383315,0.44772396105213447,0.448311547929195,0.0005875868770605392,0.6752592197001345,0.7620500620435575,0.08679084234342312,1.0473345321166905,0.28528447007313296,6.5980750302597695,0.004709546773918466,0.10309492234780893,0.002639092349943781,1.755907724382642,7.95,7.3,0.122108617333508,-0.21164108173594567,0.03173172948881984,0.0066663519847537335,0.0033331759923768667,0.07755391573791216,0.9276923795521353,0.018996920761615493,0.4374139818019046,2.0,0.3233400280919251,0.06793239686423931,0.015525936929134893,0.0077629684645674464,0.11065889171747503,0.8809248764020937,0.019412591464843032,0.42335338722832605,2.0,0.39023810201444803,0.07973009490087861,20,True,True,True,False,False,True,True,True,True,7,9,False,1.0,0.6634826339510119,0.0025432072233069836,0.0030040284019390655,0.013139924966717209,0.1,20.0,True
base_maxpool__z64__spectral_composite__beta1p0__step_lr_300__e500,base_maxpool,64,spectral_composite,1.0,step_lr_300,500,100,arpls_minmax,vae_adequacy,strict_core,0.001,1e-05,64.0,5.0,1401.0,0.5,20.0,1e-05,1e-05,358.8,119.6,1082353.0,0.7120973322879582,0.6841184759358182,0.6706680799867865,0.6706680799867865,0.5903438738489,0.7101194755074648,0.15304407030344008,0.6055810907633824,0.5078346128866962,-0.0977464778766862,0.44772396105213447,0.4246255568476931,-0.02309840420444136,0.6752592197001345,0.7513538994844456,0.07609467978431116,1.0425444664755945,0.2911905669911488,7.138502843344955,0.005095291108740153,0.11153910692726492,0.021211162689567242,1.3953102019128554,57.8,49.35,0.22303800024711515,-0.22418381863012296,0.04224361050873995,0.009251609483482352,0.004625804741741176,0.08898435476232926,0.8975676799381691,0.019143469274018575,0.4109152116542562,2.0,0.4088226362826588,0.07238250134328154,0.019900347244586853,0.009950173622293427,0.1205921586689002,0.8412166519498987,0.019386192253438787,0.38992467565663286,2.0,0.4409565116335454,0.07926417670387309,20,False,False,True,True,False,True,True,True,True,6,9,False,1.0,0.3961495557438325,,,,,,
