stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,failure_type
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row306,benzyl_fentanyl,acetaminophen,0.6701036620331641,True,False,Pendar-1,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row315,benzyl_fentanyl,acetaminophen,0.4063321951353942,True,False,Mira-3,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row323,4_ANPP,acetaminophen,0.4758030303357841,True,False,Mira-3,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row480,acetaminophen,4_ANPP,0.8483768585804091,True,False,Agilent-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row483,acetaminophen,4_ANPP,0.6392087796616608,True,False,Pendar-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row498,acetaminophen,4_ANPP,0.8871350295673589,True,False,Mira-1,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session1_row33,4_ANPP,blank,0.6638968188760817,True,False,Mira-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session1_row36,blank,acetaminophen,0.6883341122758585,True,False,Agilent-3,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session1_row54,benzyl_fentanyl,4_ANPP,0.6887728186883779,True,False,Mira-3,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session1_row177,4_nitrophenol,ethanol,0.9775933891898052,True,False,Pendar-2,H_SERS_H_Kit,,,4_nitrophenol,,,,,,,,,misclassification
