stage,scenario,model,representation,seed,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
outer,nato_outer_o0__train_strict_core__test_strict_core,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,15.316133744060394,0.0109322867552179,0.2393145897509437,0.0123316984554586,2.226675160240699,28,44,0.2133757546670922,-0.5064894007830775,0.0224286522716283
outer,nato_outer_o0__train_strict_core__test_strict_core,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,16.14648188223255,0.0115249692235778,0.2522887794098836,0.014616234686097,2.360415850811139,28,43,0.2173569765115959,-0.5456470817459003,0.0210679490119218
outer,nato_outer_o0__train_strict_core__test_strict_core,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,15.664305575741484,0.011180803408809,0.2447547746209606,0.0143192409360361,2.3209137142553766,26,53,0.2174543175742935,-0.5321264440516965,0.0227474179118871
outer,nato_outer_o0__train_strict_core__test_strict_core,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,1729,16.89437119975973,0.0120587945751318,0.2639745499962457,0.0138370078425731,2.3735522730475838,26,41,0.2299533547628216,-0.5683475353067123,0.0261695254594087
outer,nato_outer_o0__train_strict_core__test_strict_core,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,2718,17.49935855819916,0.012490619955888,0.2734274774718618,0.0145963300572251,2.9388314300015685,30,50,0.2317279053491547,-0.5719613360952666,0.0240438487380743
outer,nato_outer_o0__train_strict_core__test_strict_core,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,3141,17.283149887405038,0.0123362954228444,0.2700492169907037,0.0133596510690774,2.398498503890626,30,46,0.2282044813683763,-0.5626180460658544,0.0251429602503776
outer,nato_outer_o0__train_quality_pass__test_quality_pass,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,15.04183901100996,0.0107365017922983,0.2350287345470306,0.0125227925233834,1.933609795714284,30,42,0.209026085729593,-0.5116924308145535,0.021128062158823
outer,nato_outer_o0__train_quality_pass__test_quality_pass,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,15.992338232447594,0.0114149452051731,0.2498802848819936,0.0092670632384058,2.227232761410479,13,27,0.2110882373475919,-0.5101840850892017,0.0201080217957496
outer,nato_outer_o0__train_quality_pass__test_quality_pass,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,15.884083472887257,0.0113376755695126,0.2481888042638634,0.0129464195373822,2.387713755132714,27,39,0.2264815552476312,-0.5056062965640398,0.0213018096983432
outer,nato_outer_o0__train_quality_pass__test_quality_pass,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,1729,16.417853008897417,0.0117186673867933,0.2565289532640221,0.0109333864211849,2.284033895836525,16,39,0.2077120327462056,-0.5309453893027023,0.0235900040715932
outer,nato_outer_o0__train_quality_pass__test_quality_pass,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,2718,16.74365042114739,0.0119512137195912,0.2616195378304279,0.0110844351374305,2.5831332606649173,18,41,0.2088131169022537,-0.5377385017608111,0.023216888308525
outer,nato_outer_o0__train_quality_pass__test_quality_pass,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,3141,16.30749197575849,0.0116398943438675,0.2548045621212265,0.0118350889636211,2.788345033746969,19,40,0.2147025938624104,-0.5250359211829861,0.0229551363736391
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,1729,13.596343189927191,0.0097047417486989,0.2124428623426124,0.0215178594152718,2.369566579763381,37,50,0.2293442177773916,-0.5180527785320009,0.0337553769350051
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,2718,13.474339771773828,0.0096176586522297,0.210536558933966,0.0111130151083225,2.614144911153085,11,35,0.1917589422012042,-0.5184610236325095,0.0331905111670494
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,3141,14.39456590761086,0.0102744938669599,0.2249150923064197,0.0207150898671266,2.758099545426824,21,46,0.2503106874203695,-0.5111117723965435,0.0357015095651149
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,1729,13.744147155065038,0.0098102406531513,0.2147522992978912,0.0149581503119816,1.9011723933346905,19,45,0.1955145590937415,-0.568163412548165,0.0329137928783893
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,2718,13.543303166206243,0.0096668830593906,0.2116141119719725,0.0117833127632999,1.8701939057647743,15,38,0.1902606052961042,-0.5417158833142215,0.0361478328704834
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,3141,13.519972706362894,0.0096502303400163,0.2112495735369201,0.0133487125286913,1.9371383396963475,13,38,0.1938363551336806,-0.5401752915448318,0.0344611555337905
