stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row31,0.0026254593902955,0.0013127296951477,0.0250595464873397,0.8710684848788081,0.0064498384509767,7,3,2,2,3.0,0.8383632939940261,0.2492032647132873,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row33,0.0001365147231842,6.825736159211701e-05,0.0159789192282898,0.9983601349358472,0.0033019314639802,8,3,1,1,1.0,0.2260011056802116,0.0006406158208847,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row36,0.0044316057522869,0.0022158028761434,0.1599319408776401,0.7833367292991069,0.0114405719271806,61,13,4,2,3.0,0.9246994707450324,0.0654551284387707,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row37,0.0056719056162905,0.0028359528081452,0.1132605966398289,0.858616796336129,0.0186756567380715,82,16,5,4,2.5,0.6297936224998857,0.0622084634378552,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row38,0.0028262919096496,0.0014131459548248,0.0908063272166837,0.9217869088312136,0.0091453920328058,34,14,3,3,2.0,0.554922679016761,0.0310897249728441,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row50,0.002874876351618,0.001437438175809,0.1399961679426146,0.8717304622105082,0.0063756370005233,22,12,2,2,1.5,0.1834575121207868,0.0216501764953136,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row54,0.001586249116915,0.0007931245584575,0.0176326551200042,0.865469154926103,0.0065736239722796,11,5,1,1,2.0,0.5916226921324254,0.0547379255294799,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row64,0.0010297845279742,0.0005148922639871,0.035747679200638,0.985753064492788,0.0079018553479441,33,13,3,3,2.0,0.1691001616028696,0.0080446600914001,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row65,0.0024972412915517,0.0012486206457758,0.0913145604795226,0.8682821678881029,0.0163526792075052,73,10,4,3,2.0,2.285569237872517,0.0848296731710434,,,,,,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row177,0.0203297315482178,0.0101648657741089,0.0967742494189305,0.1665482876690952,0.0565617002945925,141,35,4,1,2.0,1.7935837127494896,0.075542539358139,,,,,,,,
