source,display_model,scenario,outer_fold,subset,representation,model_family,model,seed,raw_same_master_cross_instrument_distance,latent_same_master_cross_instrument_distance,same_master_distance_delta,latent_different_target_cross_instrument_distance,latent_cross_instrument_separation_margin,same_master_pair_count,different_target_pair_count
frozen_baseline,DAE,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,arpls_minmax,dae,c8x16_z64_spectral_composite_mixed_uniform,1729,0.876088498058629,0.6136944782580422,-0.26239401980058674,0.46264601518980475,-0.1510484630682375,8,111
frozen_baseline,DAE,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,arpls_minmax,dae,c8x16_z64_spectral_composite_mixed_uniform,2718,0.876088498058629,0.6986034747265456,-0.17748502333208338,0.5114262358435339,-0.18717723888301174,8,111
frozen_baseline,DAE,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,arpls_minmax,dae,c8x16_z64_spectral_composite_mixed_uniform,3141,0.876088498058629,0.6376580757365471,-0.2384304223220819,0.4046700383612043,-0.2329880373753428,8,111
frozen_baseline,DAE,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,arpls_minmax,dae,c8x16_z64_spectral_composite_mixed_uniform,1729,0.9224108691449666,0.30948314966164464,-0.612927719483322,0.3136504754784234,0.004167325816778755,25,190
frozen_baseline,DAE,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,arpls_minmax,dae,c8x16_z64_spectral_composite_mixed_uniform,2718,0.9224108691449666,0.33592148810498984,-0.5864893810399767,0.363490908008319,0.027569419903329173,25,190
frozen_baseline,DAE,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,arpls_minmax,dae,c8x16_z64_spectral_composite_mixed_uniform,3141,0.9224108691449666,0.34150259758742735,-0.5809082715575393,0.41360529878092056,0.07210270119349321,25,190
standard100,VAE-100 β=1,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,1729,,,,0.41444441814657684,,0,26
standard100,VAE-100 β=1,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,2718,,,,0.47992505405732583,,0,26
standard100,VAE-100 β=1,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,3141,,,,0.40333199276131715,,0,26
standard100,VAE-100 β=1,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,1729,0.8443594920931992,0.3746543516820533,-0.46970514041114586,0.5129712386037778,0.1383168869217245,8,54
standard100,VAE-100 β=1,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,2718,0.8443594920931992,0.51031651474152,-0.3340429773516792,0.6701801282030199,0.1598636134614999,8,54
standard100,VAE-100 β=1,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,3141,0.8443594920931992,0.3129273871617399,-0.5314321049314592,0.4417985939467119,0.128871206784972,8,54
standard100,VAE-100 β=1,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,1729,0.8672218180964251,0.20538940903877112,-0.661832409057654,0.23404104058377678,0.028651631545005662,14,136
standard100,VAE-100 β=1,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,2718,0.8672218180964251,0.17649911278361824,-0.6907227053128069,0.205625331016755,0.02912621823313677,14,136
standard100,VAE-100 β=1,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,3141,0.8672218180964251,0.2136666275068389,-0.6535551905895862,0.24658822378017106,0.03292159627333216,14,136
standard100,VAE-100 β=1,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,1729,0.876088498058629,0.8270354265040845,-0.049053071554544525,0.5287138213072518,-0.2983216051968327,8,111
standard100,VAE-100 β=1,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,2718,0.876088498058629,0.9216646823981289,0.04557618433949995,0.6282632475866835,-0.2934014348114454,8,111
standard100,VAE-100 β=1,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,3141,0.876088498058629,0.9012245976453157,0.025136099586686722,0.5839324721590717,-0.31729212548624397,8,111
standard100,VAE-100 β=1,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,arpls_minmax,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,1729,0.9224108691449666,0.4854905196026641,-0.4369203495423025,0.5245538813752244,0.03906336177256031,25,190
