evaluation,subset,representation,display_model,metric,mean,standard_deviation,minimum,maximum,record_count,independent_unit_count
corruption,strict_core__composite__severity1,arpls_minmax,VAE-100 β=1,balanced_accuracy_supported,0.6095952079593794,0.033323901300940185,0.5623295428011021,0.6710600907029478,15,5
corruption,strict_core__composite__severity1,arpls_minmax,VAE-500 β=0.25,balanced_accuracy_supported,0.6391657343177446,0.05357212168598211,0.5824899982876446,0.7471428571428571,15,5
corruption,strict_core__composite__severity1,arpls_minmax,VAE-100 β=1,latent_cosine_drift,0.15459425946076708,0.009570126395762161,0.1424944251775741,0.1791052967309951,15,5
corruption,strict_core__composite__severity1,arpls_minmax,VAE-500 β=0.25,latent_cosine_drift,0.16562481621901196,0.008083556440981047,0.1567431390285492,0.1796285957098007,15,5
corruption,strict_core__composite__severity1,arpls_minmax,VAE-100 β=1,prediction_agreement,0.6995183006261063,0.045555238520436095,0.6333333333333333,0.7815126050420168,15,5
corruption,strict_core__composite__severity1,arpls_minmax,VAE-500 β=0.25,prediction_agreement,0.7269204232982254,0.05085761340142719,0.625,0.8205128205128205,15,5
corruption,strict_core__composite__severity1,arpls_minmax,VAE-100 β=1,reconstruction_mse,0.01803491431132288,0.0012161664330046422,0.0157558568591078,0.0194873799529533,15,5
corruption,strict_core__composite__severity1,arpls_minmax,VAE-500 β=0.25,reconstruction_mse,0.014015440025108702,0.0015645483002924923,0.011224039589049,0.018061824616127,15,5
corruption,strict_core__composite__severity1,minimal_minmax,VAE-100 β=1,balanced_accuracy_supported,0.6452811398220029,0.05454963700943742,0.5752054826507262,0.7604761904761904,15,5
corruption,strict_core__composite__severity1,minimal_minmax,VAE-500 β=0.25,balanced_accuracy_supported,0.6456145293690242,0.03476282867066413,0.5920918367346939,0.72,15,5
corruption,strict_core__composite__severity1,minimal_minmax,VAE-100 β=1,latent_cosine_drift,0.15355465809504187,0.010655196157741478,0.1351529061794281,0.1737528890371322,15,5
corruption,strict_core__composite__severity1,minimal_minmax,VAE-500 β=0.25,latent_cosine_drift,0.1523300523559252,0.014031546225003019,0.1157115325331687,0.1676365584135055,15,5
corruption,strict_core__composite__severity1,minimal_minmax,VAE-100 β=1,prediction_agreement,0.8042688820772312,0.035128715465186734,0.75,0.8548387096774194,15,5
corruption,strict_core__composite__severity1,minimal_minmax,VAE-500 β=0.25,prediction_agreement,0.8025352825423581,0.04876737539145519,0.7,0.8907563025210085,15,5
corruption,strict_core__composite__severity1,minimal_minmax,VAE-100 β=1,reconstruction_mse,0.021952569731014494,0.002842884065708801,0.0191644655713743,0.0286237061718134,15,5
corruption,strict_core__composite__severity1,minimal_minmax,VAE-500 β=0.25,reconstruction_mse,0.01828053485889129,0.000870857707094726,0.0167963527728057,0.0195983733427289,15,5
domain_transfer,quality_pass__domain_and_sample__instrument,arpls_minmax,VAE-100 β=1,balanced_accuracy_supported,0.5491126728210061,0.29286613888748825,0.0,1.0,10,10
domain_transfer,quality_pass__domain_and_sample__instrument,arpls_minmax,VAE-500 β=0.25,balanced_accuracy_supported,0.5930907765074431,0.26762197882450606,0.0,1.0,10,10
domain_transfer,quality_pass__domain_and_sample__sensor_family,arpls_minmax,VAE-100 β=1,balanced_accuracy_supported,0.3818070818070818,0.23604761169279861,0.21489621489621488,0.5487179487179487,2,4
domain_transfer,quality_pass__domain_and_sample__sensor_family,arpls_minmax,VAE-500 β=0.25,balanced_accuracy_supported,0.3776285442952109,0.22745220162709323,0.21679555012888344,0.5384615384615384,2,4
domain_transfer,quality_pass__domain_only__instrument,arpls_minmax,VAE-100 β=1,balanced_accuracy_supported,0.6093596195333194,0.21750988629304852,0.2373291925465838,0.9455555555555555,10,10
domain_transfer,quality_pass__domain_only__instrument,arpls_minmax,VAE-500 β=0.25,balanced_accuracy_supported,0.647281480393921,0.20404337957224378,0.3167080745341615,0.9255555555555556,10,10
domain_transfer,quality_pass__domain_only__sensor_family,arpls_minmax,VAE-100 β=1,balanced_accuracy_supported,0.34958473785767324,0.1817384167592779,0.19520030234315944,0.6128205128205129,4,4
domain_transfer,quality_pass__domain_only__sensor_family,arpls_minmax,VAE-500 β=0.25,balanced_accuracy_supported,0.37207791381406213,0.1707089188952084,0.19281644281644275,0.5923076923076923,4,4
domain_transfer,strict_core__domain_and_sample__instrument,arpls_minmax,VAE-100 β=1,balanced_accuracy_supported,0.5574903917025816,0.29156710219888854,0.0,1.0,10,10
domain_transfer,strict_core__domain_and_sample__instrument,arpls_minmax,VAE-500 β=0.25,balanced_accuracy_supported,0.5963743005778698,0.24637384880422455,0.16666666666666666,1.0,10,10
domain_transfer,strict_core__domain_and_sample__sensor_family,arpls_minmax,VAE-100 β=1,balanced_accuracy_supported,0.6239116819999172,0.39600062018552734,0.21062393488864073,1.0,3,4
domain_transfer,strict_core__domain_and_sample__sensor_family,arpls_minmax,VAE-500 β=0.25,balanced_accuracy_supported,0.5843171534348004,0.3856577161703112,0.23813664548958666,1.0,3,4
domain_transfer,strict_core__domain_only__instrument,arpls_minmax,VAE-100 β=1,balanced_accuracy_supported,0.6057289226176831,0.18620725302261995,0.26261904761904764,0.8616161616161616,10,10
domain_transfer,strict_core__domain_only__instrument,arpls_minmax,VAE-500 β=0.25,balanced_accuracy_supported,0.6336339694148698,0.17525891033353327,0.34943548387096773,0.8484848484848485,10,10
