station,recipe_id,seed,validation_mode,fitting_masters,validation_masters,fitting_spectra,validation_spectra,epochs,best_epoch,optimizer_steps,training_ba,validation_ba,validation_macro_f1,validation_nll,predicted_classes,seconds,peak_cuda_bytes,first_ce,last_ce,supcon_available_batches,paired_available_batches
cwa,D0-M,20260805,pseudo_domain,12,6,42,12,32,12,128,0.7255892255892257,0.6,0.5052910052910052,1.3941927197874924,3,2.646047226007795,144163328,1.0701795518398285,0.16360507905483246,0,0
cwa,D0-M,20260817,pseudo_domain,12,6,42,12,42,22,168,0.7811447811447811,0.5,0.49603174603174605,2.577463790573208,3,2.467364309995901,144163328,1.0887599885463715,0.1631135307252407,0,0
cwa,D0-M,20260829,pseudo_domain,12,6,42,12,30,3,120,0.6767676767676768,0.39999999999999997,0.32142857142857145,0.9882164014128433,2,1.8218776819994673,144163328,1.050681620836258,0.1354848826304078,0,0
cwa,D1,20260805,pseudo_domain,12,6,42,12,30,4,120,0.6948976948976949,0.3333333333333333,0.19607843137254902,1.0795042198648932,1,2.235542843991425,144254464,1.0955053865909576,0.19812913984060287,120,0
cwa,D1,20260817,pseudo_domain,12,6,42,12,30,4,120,0.6023051023051024,0.4666666666666666,0.3277777777777778,1.102880983257011,3,2.1878441570006544,144254464,1.1059613227844238,0.20729833841323853,120,0
cwa,D1,20260829,pseudo_domain,12,6,42,12,30,1,120,0.35521885521885527,0.39999999999999997,0.32142857142857145,1.0545929873325555,2,2.2099172349990113,144254464,1.082829624414444,0.19049039855599403,120,0
cwa,D2,20260805,pseudo_domain,12,6,42,12,43,23,172,0.8114478114478114,0.6,0.5142857142857142,1.7848034040114864,3,3.296855897002388,144164352,1.086649626493454,0.14609000086784363,0,172
cwa,D2,20260817,pseudo_domain,12,6,42,12,51,31,204,0.8299663299663299,0.6666666666666666,0.5886243386243386,3.017104751778349,3,3.9316079419950256,144164352,1.1013409793376923,0.16524703055620193,0,204
cwa,D2,20260829,pseudo_domain,12,6,42,12,75,55,300,0.872053872053872,0.6,0.4814814814814814,2.072168893494594,3,5.814410099002998,144164352,1.060079425573349,0.14829407259821892,0,300
cwa,D3,20260805,pseudo_domain,12,6,42,12,30,6,120,0.6881636881636882,0.3333333333333333,0.19607843137254902,1.0636475932039096,1,2.6730411880125757,144254976,1.1002015173435211,0.2562420628964901,120,120
