outer_fold,final_seed,score,n_quality,n_stress,ood_auroc,ood_auprc
0,1729,one_minus_calibrated_max_probability,103,15,0.8252427184466019,0.4008880876365682
0,2718,one_minus_calibrated_max_probability,103,15,0.8122977346278316,0.3934752061738159
0,3141,one_minus_calibrated_max_probability,103,15,0.8226537216828479,0.34740999956116236
1,1729,one_minus_calibrated_max_probability,104,15,0.9121794871794873,0.5075817122842294
1,2718,one_minus_calibrated_max_probability,104,15,0.8884615384615384,0.4459705765378977
1,3141,one_minus_calibrated_max_probability,104,15,0.9051282051282051,0.5122528493326456
2,1729,one_minus_calibrated_max_probability,95,22,0.877511961722488,0.6082293117864139
2,2718,one_minus_calibrated_max_probability,95,22,0.8803827751196173,0.6310682081336279
2,3141,one_minus_calibrated_max_probability,95,22,0.9000000000000001,0.675434742290971
3,1729,one_minus_calibrated_max_probability,101,19,0.8348097967691506,0.47317911853413724
3,2718,one_minus_calibrated_max_probability,101,19,0.8212610734757686,0.4191104618347699
3,3141,one_minus_calibrated_max_probability,101,19,0.7905158936946325,0.36302146306306926
4,1729,one_minus_calibrated_max_probability,97,27,0.8125238640702559,0.4342656800245639
4,2718,one_minus_calibrated_max_probability,97,27,0.7949599083619703,0.38494399822527103
4,3141,one_minus_calibrated_max_probability,97,27,0.8274150439098893,0.4359137430337033
