outer_fold,final_seed,seed,candidate_id,representation,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
0,1729,2118443334,derivative_1__random_forest__baf457a363,derivative_1,118,118,0,0.37000000000000005,0.33510959939531365,0.3813559322033898,1.9277807472800679,0.8214037917201359,0.1207141344484398
0,2718,1304656718,derivative_1__random_forest__baf457a363,derivative_1,118,118,0,0.21857142857142856,0.19314045710171263,0.2796610169491525,1.9929117312034916,0.834347039593051,0.09022839474225844
0,3141,160654735,derivative_1__random_forest__baf457a363,derivative_1,118,118,0,0.05142857142857143,0.03808547258944593,0.06779661016949153,2.209847183206683,0.9305354712721731,0.22397863597833334
1,1729,539181876,derivative_1__random_forest__baf457a363,derivative_1,119,119,0,0.16030273665530284,0.1307816206536889,0.19327731092436976,2.307979148794845,0.9155676696808314,0.09838106880548982
1,2718,1619859949,derivative_1__random_forest__baf457a363,derivative_1,119,119,0,0.225879917184265,0.1906950606329488,0.226890756302521,2.5445030860742754,0.8991844081206894,0.13995986450474235
1,3141,1463672455,derivative_1__random_forest__baf457a363,derivative_1,119,119,0,0.13259760425909492,0.12659186751623727,0.15126050420168066,2.2924660914494615,0.9163870343015923,0.14118873079546818
2,1729,667496294,derivative_1__random_forest__baf457a363,derivative_1,117,117,0,0.2884070294784581,0.2353209606720378,0.358974358974359,1.7851029737517088,0.8058365414155227,0.1599565346237241
2,2718,929172600,derivative_1__random_forest__baf457a363,derivative_1,117,117,0,0.14753401360544216,0.12208075899759471,0.17094017094017094,2.0281318932574215,0.8825233949186945,0.09167468484075475
2,3141,542216505,derivative_1__random_forest__baf457a363,derivative_1,117,117,0,0.11706349206349206,0.06960175374497625,0.1623931623931624,2.141696192803042,0.8989301894767259,0.09027286697443734
3,1729,1768672510,derivative_1__random_forest__baf457a363,derivative_1,120,120,0,0.20402930402930403,0.1390168970814132,0.24166666666666667,2.1459678368101227,0.8876033938701348,0.08903460664443394
3,2718,103156943,derivative_1__random_forest__baf457a363,derivative_1,120,120,0,0.24162087912087912,0.21791748957647575,0.2916666666666667,1.7903179240097153,0.8132627018827348,0.07247624918985904
3,3141,869514720,derivative_1__random_forest__baf457a363,derivative_1,120,120,0,0.07257326007326007,0.05292947218413057,0.08333333333333333,2.5222911764881513,0.9406500196349196,0.1573285142050987
4,1729,533387234,derivative_1__random_forest__baf457a363,derivative_1,124,124,0,0.030412569886254095,0.02426962676962677,0.03225806451612903,2.50490898499558,0.9963601402517699,0.2581446689828594
4,2718,1568154749,derivative_1__random_forest__baf457a363,derivative_1,124,124,0,0.21068812140240714,0.16175245710478095,0.20967741935483872,2.232269365481826,0.9041650652782242,0.109195079548981
4,3141,1792309971,derivative_1__random_forest__baf457a363,derivative_1,124,124,0,0.03777472527472527,0.032857142857142856,0.03225806451612903,2.663571599116843,0.990176084901281,0.26324692634162794
