stage,training_subset,evaluation_subset,outer_fold,final_seed,seed,candidate_id,model_family,representation,temperature,n_calibration,calibration_folds,crossfit_raw_nll,crossfit_calibrated_nll,crossfit_raw_ece,crossfit_calibrated_ece,calibration,applied_temperature,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
outer,strict_core,strict_core,0,1729,1995580914,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6565295337664285,480,4,1.0696654068961648,1.01712217933291,0.1373603661410595,0.06476486312218468,uncalibrated,1.0,118,118,0,0.7614285714285715,0.7741555967567303,0.788135593220339,0.81305126493144,0.3717124136270754,0.19861554869370335
outer,strict_core,strict_core,0,1729,1995580914,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6565295337664285,480,4,1.0696654068961648,1.01712217933291,0.1373603661410595,0.06476486312218468,temperature_scaled,0.6565295337664285,118,118,0,0.7614285714285715,0.7741555967567303,0.788135593220339,0.7145743536244774,0.32607444086361903,0.12381170565123517
outer,strict_core,strict_core,0,2718,1456420634,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6611512711876611,480,4,1.0712372147683509,1.0201581583009351,0.13669883776188138,0.06528294113739021,uncalibrated,1.0,118,118,0,0.7423809523809524,0.7552129586673882,0.7711864406779662,0.8298993429003452,0.3799797171411595,0.1936347384148608
outer,strict_core,strict_core,0,2718,1456420634,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6611512711876611,480,4,1.0712372147683509,1.0201581583009351,0.13669883776188138,0.06528294113739021,temperature_scaled,0.6611512711876611,118,118,0,0.7423809523809524,0.7552129586673882,0.7711864406779662,0.7377914643175798,0.3348759727936524,0.11053869424573412
outer,strict_core,strict_core,0,3141,681979840,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6708745445265679,480,4,1.0196893070074788,0.9717492619172102,0.16014946504306665,0.08521641962159528,uncalibrated,1.0,118,118,0,0.7352380952380952,0.750210289246834,0.7627118644067796,0.8070507377767593,0.3713157119049794,0.17423348242737247
outer,strict_core,strict_core,0,3141,681979840,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6708745445265679,480,4,1.0196893070074788,0.9717492619172102,0.16014946504306665,0.08521641962159528,temperature_scaled,0.6708745445265679,118,118,0,0.7352380952380952,0.750210289246834,0.7627118644067796,0.7094575437160728,0.3280798228689165,0.10115330043961754
outer,strict_core,strict_core,1,1729,1632959910,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.49421862746617995,479,4,0.9565026898273281,0.8141096809927766,0.22333423804615718,0.06504850982050152,uncalibrated,1.0,119,119,0,0.6076085010663305,0.6071952562908292,0.6302521008403361,1.1581814128207724,0.5330683115806607,0.16317786997124525
outer,strict_core,strict_core,1,1729,1632959910,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.49421862746617995,479,4,0.9565026898273281,0.8141096809927766,0.22333423804615718,0.06504850982050152,temperature_scaled,0.49421862746617995,119,119,0,0.6076085010663305,0.6071952562908292,0.6302521008403361,1.3195157573617988,0.5141563891218504,0.10645409114874668
outer,strict_core,strict_core,1,2718,1652597550,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.4918992768008065,479,4,0.9612392031256755,0.8191772108547387,0.2112786700198045,0.05175419507767308,uncalibrated,1.0,119,119,0,0.6558227867806162,0.642999035251546,0.6722689075630253,1.1366231940716696,0.527134802164896,0.19900771904926084
outer,strict_core,strict_core,1,2718,1652597550,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.4918992768008065,479,4,0.9612392031256755,0.8191772108547387,0.2112786700198045,0.05175419507767308,temperature_scaled,0.4918992768008065,119,119,0,0.6558227867806162,0.642999035251546,0.6722689075630253,1.27409343310837,0.500541528346025,0.17025364098988033
outer,strict_core,strict_core,1,3141,646934762,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.50338968152873,479,4,0.9622356169413931,0.8279358940490549,0.21684525648017525,0.05949646788888007,uncalibrated,1.0,119,119,0,0.6224894534472829,0.6102000587454757,0.6470588235294118,1.5253848750556827,0.5273902598875444,0.17099399814736466
outer,strict_core,strict_core,1,3141,646934762,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.50338968152873,479,4,0.9622356169413931,0.8279358940490549,0.21684525648017525,0.05949646788888007,temperature_scaled,0.50338968152873,119,119,0,0.6224894534472829,0.6102000587454757,0.6470588235294118,1.5780998679346627,0.49619939541347935,0.15379660177397225
