stage,training_subset,evaluation_subset,outer_fold,final_seed,seed,candidate_id,model_family,representation,temperature,n_calibration,calibration_folds,crossfit_raw_nll,crossfit_calibrated_nll,crossfit_raw_ece,crossfit_calibrated_ece,target_analyte,support,correct,recall
outer,strict_core,strict_core,1,1729,1632959910,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.49421862746617995,479,4,0.9565026898273281,0.8141096809927766,0.22333423804615718,0.06504850982050152,4_nitrophenol,19,16,0.8421052631578947
outer,strict_core,strict_core,1,1729,1632959910,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.49421862746617995,479,4,0.9565026898273281,0.8141096809927766,0.22333423804615718,0.06504850982050152,acetaminophen,16,9,0.5625
outer,strict_core,strict_core,1,1729,1632959910,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.49421862746617995,479,4,0.9565026898273281,0.8141096809927766,0.22333423804615718,0.06504850982050152,benzyl_fentanyl,23,17,0.7391304347826086
outer,strict_core,strict_core,1,1729,1632959910,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.49421862746617995,479,4,0.9565026898273281,0.8141096809927766,0.22333423804615718,0.06504850982050152,blank,15,9,0.6
outer,strict_core,strict_core,1,1729,1632959910,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.49421862746617995,479,4,0.9565026898273281,0.8141096809927766,0.22333423804615718,0.06504850982050152,ethanol,12,8,0.6666666666666666
outer,strict_core,strict_core,1,1729,1632959910,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.49421862746617995,479,4,0.9565026898273281,0.8141096809927766,0.22333423804615718,0.06504850982050152,ethyl_paraoxon,14,2,0.14285714285714285
outer,strict_core,strict_core,1,2718,1652597550,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.4918992768008065,479,4,0.9612392031256755,0.8191772108547387,0.2112786700198045,0.05175419507767308,4_ANPP,20,14,0.7
outer,strict_core,strict_core,1,2718,1652597550,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.4918992768008065,479,4,0.9612392031256755,0.8191772108547387,0.2112786700198045,0.05175419507767308,4_nitrophenol,19,16,0.8421052631578947
outer,strict_core,strict_core,1,2718,1652597550,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.4918992768008065,479,4,0.9612392031256755,0.8191772108547387,0.2112786700198045,0.05175419507767308,acetaminophen,16,12,0.75
outer,strict_core,strict_core,1,2718,1652597550,derivative_1__random_forest__262ae29fb1,random_forest,derivative_1,0.4918992768008065,479,4,0.9612392031256755,0.8191772108547387,0.2112786700198045,0.05175419507767308,benzyl_fentanyl,23,17,0.7391304347826086
