stage,subset,protocol,domain_type,heldout_domain,final_seed,seed,candidate_id,model_family,representation,temperature,n_calibration,calibration_folds,crossfit_raw_nll,crossfit_calibrated_nll,crossfit_raw_ece,crossfit_calibrated_ece,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
domain,strict_core,domain_and_sample,instrument,Agilent-1,1729,1507082752,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7219174038765344,397,5,1.0234229225856655,0.9939647106068966,0.15129534538040065,0.05941122631816427,29,19,10,0.6761363636363636,0.5371120107962213,0.6842105263157895,0.8644535007245656,0.41120956188887997,0.20187984749375784
domain,strict_core,domain_and_sample,instrument,Agilent-1,2718,509275470,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6807317380480018,397,5,1.0699531360021284,1.0297215442555299,0.15174339780503004,0.0675478192833644,29,19,10,0.6761363636363636,0.5371120107962213,0.6842105263157895,0.9203761130500252,0.41880379587551186,0.2650314550406841
domain,strict_core,domain_and_sample,instrument,Agilent-1,3141,1251785694,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6786782148004065,397,5,1.065084884161199,1.02396394184402,0.14514467542151407,0.057699587931275075,29,19,10,0.6761363636363636,0.5371120107962213,0.6842105263157895,0.8510926791545382,0.3916708829628509,0.30777753166429084
domain,strict_core,domain_and_sample,instrument,Agilent-3,1729,402479249,derivative_1__random_forest__baf457a363,random_forest,derivative_1,3.019471528028384,85,4,1.7609567423936285,1.5082050635937863,0.22386984975262508,0.2561884575678246,73,62,11,0.48931878306878307,0.49868024132730016,0.5483870967741935,1.4700618901420734,0.7022406501901687,0.2797151357131091
domain,strict_core,domain_and_sample,instrument,Agilent-3,2718,913576122,derivative_1__random_forest__baf457a363,random_forest,derivative_1,2.8645915231659203,85,4,1.717749313376444,1.488707420039645,0.20527119388632226,0.2608866203677856,73,62,11,0.45806878306878307,0.4530457110380384,0.5,1.4627531696940312,0.6993839359717077,0.24559675353137458
domain,strict_core,domain_and_sample,instrument,Agilent-3,3141,1281268324,derivative_1__random_forest__baf457a363,random_forest,derivative_1,4.828627867414644,85,4,1.9986032353041494,1.5705663968811745,0.2021774637302332,0.28669376241105327,73,62,11,0.5122354497354498,0.5123729491796719,0.5483870967741935,1.5567845181941615,0.7448604421782167,0.31744720217765254
domain,strict_core,domain_and_sample,instrument,Mira-1,1729,608958590,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6670476657444233,433,5,1.0509501647518138,1.0004630030047275,0.1734096638999873,0.09170213842902042,23,23,0,0.6666666666666666,0.35714285714285715,0.6086956521739131,1.9229863306244752,0.5854986861909132,0.21766372920341925
domain,strict_core,domain_and_sample,instrument,Mira-1,2718,1485600703,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6984708612287117,433,5,0.9453978320307921,0.9049699120208168,0.16274212981402109,0.0874479248686767,23,23,0,0.6666666666666666,0.35714285714285715,0.6086956521739131,1.8820933092443577,0.5921152765645818,0.20797721380771092
domain,strict_core,domain_and_sample,instrument,Mira-1,3141,1101172507,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6828609489017067,433,5,0.9917589007572721,0.9464445316099351,0.17439011567620358,0.08890653559029763,23,23,0,0.6666666666666666,0.35714285714285715,0.6086956521739131,1.9725898041065335,0.5889439966596118,0.2563107404288676
domain,strict_core,domain_and_sample,instrument,Mira-2,1729,1777323348,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.5882234166626864,363,5,0.6488821783962854,0.5878295064775162,0.1303337249097346,0.03471873432437585,75,3,72,0.0,0.0,0.0,2.9902284978268256,1.449556273007947,0.7482491771103623
domain,strict_core,domain_and_sample,instrument,Mira-2,2718,919691874,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.5837201512120005,363,5,0.6476875814642316,0.5842731402731525,0.11994606131283389,0.024460042101534823,75,3,72,0.0,0.0,0.0,3.1644311267300442,1.5746108725144936,0.8160546340262913
domain,strict_core,domain_and_sample,instrument,Mira-2,3141,1453982425,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.5875227649747015,363,5,0.6463690438294944,0.5850117024806363,0.11970639332907916,0.01795848359021629,75,3,72,0.0,0.0,0.0,3.042091140862766,1.4994285150376918,0.7722430613353033
domain,strict_core,domain_and_sample,instrument,Mira-3,1729,922805125,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7116092098139064,394,5,1.0705979494646887,1.0387129065321783,0.13103448030249873,0.05656866425384208,72,41,31,0.49,0.316008316008316,0.4878048780487805,1.7958474569501834,0.6751607954515565,0.22483178460623385
domain,strict_core,domain_and_sample,instrument,Mira-3,2718,1653683715,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6808768727336068,394,5,1.1225699095316928,1.0829005212104448,0.1323575171748557,0.04574224059478997,72,41,31,0.49,0.316008316008316,0.4878048780487805,1.7157891256497988,0.6522755135724,0.22410689394032285
domain,strict_core,domain_and_sample,instrument,Mira-3,3141,1833786377,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7075300407962863,394,5,1.0686756450030883,1.0357890242923868,0.13351515524832663,0.05816208900219334,72,41,31,0.49,0.316008316008316,0.4878048780487805,1.709007407497233,0.6613833535376237,0.2527721927402261
domain,strict_core,domain_and_sample,instrument,Pendar-1,1729,264392365,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6919249496871158,390,5,1.0673510141349478,1.0303745710069052,0.14553236667103292,0.05315540049191764,46,25,21,0.7013888888888888,0.530920060331825,0.68,1.1144642772801234,0.46781983731281845,0.1721616468988208
domain,strict_core,domain_and_sample,instrument,Pendar-1,2718,534853335,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7019694603162303,390,5,1.0028937585251938,0.9685489415699154,0.14494686985284344,0.07084773966821813,46,25,21,0.7326388888888888,0.5632716049382717,0.72,1.168816035873153,0.48266918273925846,0.12240703654115309
domain,strict_core,domain_and_sample,instrument,Pendar-1,3141,1196007905,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6852193154106531,390,5,1.060326188528521,1.021548994748335,0.14059663784740814,0.08309508403401172,46,25,21,0.7326388888888888,0.5632716049382717,0.72,1.1070577405575657,0.4621886717201446,0.12274984391566042
domain,strict_core,domain_and_sample,instrument,Pendar-2,1729,67986639,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7806803313909556,158,5,0.5341072279005833,0.5217877514480982,0.09275729051539462,0.06925049689521423,98,21,77,0.9333333333333332,0.9259259259259259,0.9523809523809523,0.4002584108284057,0.1992147844593305,0.2511273875221745
domain,strict_core,domain_and_sample,instrument,Pendar-2,2718,1129919926,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7016521672281643,158,5,0.6810283860462933,0.6572342837407672,0.09755846698244026,0.047071591874194345,98,21,77,0.9333333333333332,0.9259259259259259,0.9523809523809523,0.35426300159165686,0.1740370147111469,0.2736279485559868
domain,strict_core,domain_and_sample,instrument,Pendar-2,3141,26440564,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7974042296217297,158,5,0.5427778128504549,0.5323745797257139,0.10864097566938295,0.05821305669542724,98,21,77,0.9333333333333332,0.9259259259259259,0.9523809523809523,0.4029745366397011,0.20211878027381927,0.26020238185171934
domain,strict_core,domain_and_sample,instrument,Pendar-3,1729,81268398,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.8281413902543452,96,4,0.9959660731720575,0.9852660991332515,0.09323475726297009,0.09267728025279165,70,61,9,0.3814954051796157,0.32762619933672565,0.39344262295081966,1.5933942062780642,0.7046669812372596,0.12974258426806595
domain,strict_core,domain_and_sample,instrument,Pendar-3,2718,2021446759,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.833497193848001,96,4,0.9955408638690232,0.9853558004503687,0.10260041273446538,0.06860491043030059,70,61,9,0.3842731829573935,0.3481246716540834,0.4098360655737705,1.577108499051347,0.7028987897760983,0.09114212293033308
domain,strict_core,domain_and_sample,instrument,Pendar-3,3141,91401237,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7773107784948768,96,4,0.9710355817700004,0.9522053954352114,0.11782506275153157,0.08397257002148562,70,61,9,0.3961779448621554,0.3775161030595813,0.4262295081967213,1.5961288916618008,0.6985364869571025,0.0941493985100234
domain,strict_core,domain_and_sample,instrument,RMX-1,1729,487825664,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.5642021120706076,409,5,0.7575671575570314,0.6745511703608064,0.15148893420493323,0.04917485442364132,47,22,25,0.6363636363636364,0.3786549707602339,0.6363636363636364,2.6702993070262444,0.5727764994956058,0.13200829364969568
domain,strict_core,domain_and_sample,instrument,RMX-1,2718,863267917,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.5765193144495918,409,5,0.7651911273311564,0.6877606214513684,0.16870788185987529,0.05398318557918721,47,22,25,0.6363636363636364,0.3786549707602339,0.6363636363636364,3.2945569120179004,0.5827671022711509,0.22032731783267434
domain,strict_core,domain_and_sample,instrument,RMX-1,3141,41209725,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.5699183820272958,409,5,0.7611542660737164,0.6822003202289963,0.16485632888561727,0.055464127227420675,47,22,25,0.6363636363636364,0.3786549707602339,0.6363636363636364,2.470669064079753,0.5634169283346135,0.2301811275867307
domain,strict_core,domain_and_sample,instrument,RMX-2,1729,512001118,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6809483957566763,419,5,1.018049854673945,0.9735421930713668,0.15908285472287276,0.09157424181963873,65,65,0,0.625,0.4268817204301075,0.5076923076923077,3.3144228938317055,0.6265940510301429,0.23440957469320586
domain,strict_core,domain_and_sample,instrument,RMX-2,2718,1208545851,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7067662880742519,419,5,0.9663090710453731,0.9295524864242822,0.1550634655985011,0.07875147246456463,65,65,0,0.625,0.33666666666666667,0.5076923076923077,2.9710947141107877,0.619951729350362,0.2418422445446593
domain,strict_core,domain_and_sample,instrument,RMX-2,3141,521339652,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.7179286913366987,419,5,0.9089269467653831,0.8754093822711122,0.15810341662037164,0.08200577940511695,65,65,0,0.625,0.341505376344086,0.5076923076923077,3.0013058420873264,0.6289411978400431,0.25357522693844853
domain,strict_core,domain_and_sample,sensor_family,GaN_polymer,1729,576746061,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.6857989808628211,513,5,1.0934125234257075,1.0502684610863038,0.15370409789489897,0.07066420942118128,23,23,0,0.6222222222222222,0.30085470085470084,0.5217391304347826,1.0782741145605401,0.5150145805961692,0.14135226197184825
domain,strict_core,domain_and_sample,sensor_family,GaN_polymer,2718,1071873877,derivative_1__random_forest__baf457a363,random_forest,derivative_1,0.676865147670933,513,5,1.0901932560712424,1.0440639733249255,0.15548765839819254,0.07495189371635985,23,23,0,0.6777777777777778,0.2671957671957672,0.6086956521739131,1.09570065848275,0.49822050739880874,0.14317073489773025
