stage,training_subset,evaluation_subset,outer_fold,final_seed,seed,candidate_id,model_family,representation,temperature,n_calibration,calibration_folds,crossfit_raw_nll,crossfit_calibrated_nll,crossfit_raw_ece,crossfit_calibrated_ece,requested_coverage,n_retained,realized_coverage,accuracy,selective_risk,confidence_threshold
outer,strict_core,strict_core,0,1729,1995580914,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6565295337664285,480,4,1.0696654068961648,1.01712217933291,0.1373603661410595,0.06476486312218468,1.0,118,1.0,0.788135593220339,0.211864406779661,0.24190744407809955
outer,strict_core,strict_core,0,1729,1995580914,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6565295337664285,480,4,1.0696654068961648,1.01712217933291,0.1373603661410595,0.06476486312218468,0.9,107,0.9067796610169492,0.8411214953271028,0.15887850467289721,0.33550683057394354
outer,strict_core,strict_core,0,1729,1995580914,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6565295337664285,480,4,1.0696654068961648,1.01712217933291,0.1373603661410595,0.06476486312218468,0.8,95,0.8050847457627118,0.8526315789473684,0.1473684210526316,0.387003767746552
outer,strict_core,strict_core,0,1729,1995580914,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6565295337664285,480,4,1.0696654068961648,1.01712217933291,0.1373603661410595,0.06476486312218468,0.7,83,0.7033898305084746,0.9036144578313253,0.09638554216867468,0.5096945399024203
outer,strict_core,strict_core,0,1729,1995580914,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6565295337664285,480,4,1.0696654068961648,1.01712217933291,0.1373603661410595,0.06476486312218468,0.5,59,0.5,0.9491525423728814,0.05084745762711862,0.8222518817452635
outer,strict_core,strict_core,0,2718,1456420634,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6611512711876611,480,4,1.0712372147683509,1.0201581583009351,0.13669883776188138,0.06528294113739021,1.0,118,1.0,0.7711864406779662,0.22881355932203384,0.21968740830114644
outer,strict_core,strict_core,0,2718,1456420634,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6611512711876611,480,4,1.0712372147683509,1.0201581583009351,0.13669883776188138,0.06528294113739021,0.9,107,0.9067796610169492,0.8037383177570093,0.19626168224299068,0.3158474461037594
outer,strict_core,strict_core,0,2718,1456420634,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6611512711876611,480,4,1.0712372147683509,1.0201581583009351,0.13669883776188138,0.06528294113739021,0.8,95,0.8050847457627118,0.8736842105263158,0.12631578947368416,0.407238544542394
outer,strict_core,strict_core,0,2718,1456420634,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6611512711876611,480,4,1.0712372147683509,1.0201581583009351,0.13669883776188138,0.06528294113739021,0.7,83,0.7033898305084746,0.9036144578313253,0.09638554216867468,0.49476586142501866
outer,strict_core,strict_core,0,2718,1456420634,derivative_1__random_forest__9567b8594a,random_forest,derivative_1,0.6611512711876611,480,4,1.0712372147683509,1.0201581583009351,0.13669883776188138,0.06528294113739021,0.5,59,0.5,0.9491525423728814,0.05084745762711862,0.7993542843485891
