subset,protocol,domain_type,metric,independent_unit,mean,sd,ci95_half_width,n_independent_units,minimum,maximum
quality_pass,domain_and_sample,instrument,balanced_accuracy,heldout domain,0.5846193513276846,0.26672908262450395,0.16532039818293223,10,0.0,1.0
quality_pass,domain_and_sample,instrument,macro_f1,heldout domain,0.4723606690565297,0.26425041380621617,0.16378410333285084,10,0.0,1.0
quality_pass,domain_and_sample,instrument,accuracy,heldout domain,0.5844039255007378,0.26923868824187724,0.16687586785974415,10,0.0,1.0
quality_pass,domain_and_sample,sensor_family,balanced_accuracy,heldout domain,0.4791514041514041,0.3957294177739366,0.5484529914529914,2,0.19932844932844926,0.7589743589743589
quality_pass,domain_and_sample,sensor_family,macro_f1,heldout domain,0.21747025215162466,0.19588015088902982,0.27147603866721515,2,0.07896206915814753,0.3559784351451018
quality_pass,domain_and_sample,sensor_family,accuracy,heldout domain,0.4224537037037037,0.45012584450532545,0.6238425925925927,2,0.10416666666666667,0.7407407407407408
quality_pass,domain_only,instrument,balanced_accuracy,heldout domain,0.6195165988898178,0.1813988262199045,0.11243215732425013,10,0.3526708074534161,0.8699494949494949
quality_pass,domain_only,instrument,macro_f1,heldout domain,0.5299336640106977,0.16302815044996177,0.10104589451671078,10,0.3092177430412724,0.793773483628556
quality_pass,domain_only,instrument,accuracy,heldout domain,0.6712134391859076,0.15310686450008199,0.09489661777649912,10,0.3661971830985915,0.8650793650793651
quality_pass,domain_only,sensor_family,balanced_accuracy,heldout domain,0.4961019906702465,0.26426003160618927,0.2589748309740655,4,0.295598581312867,0.8615384615384616
quality_pass,domain_only,sensor_family,macro_f1,heldout domain,0.27259678885639244,0.14133257728514512,0.1385059257394422,4,0.14080426910615582,0.46222222222222226
quality_pass,domain_only,sensor_family,accuracy,heldout domain,0.5437597541256077,0.2666597359260579,0.26132654120753673,4,0.26016260162601623,0.8888888888888888
strict_core,domain_and_sample,instrument,balanced_accuracy,heldout domain,0.5623578738512949,0.2481657657941079,0.15381473520909997,10,0.0,0.9333333333333332
strict_core,domain_and_sample,instrument,macro_f1,heldout domain,0.42748050503817636,0.23371140764396672,0.14485583121052817,10,0.0,0.925925925925926
strict_core,domain_and_sample,instrument,accuracy,heldout domain,0.5525908749731945,0.2457240888131998,0.15230136813736564,10,0.0,0.9523809523809524
strict_core,domain_and_sample,sensor_family,balanced_accuracy,heldout domain,0.6107876147091834,0.40502049115135946,0.4583238316033616,3,0.1916221033868092,1.0
strict_core,domain_and_sample,sensor_family,macro_f1,heldout domain,0.44968636035990306,0.4866360933259983,0.5506805797791399,3,0.07613817482546971,1.0
strict_core,domain_and_sample,sensor_family,accuracy,heldout domain,0.5596432552954292,0.4359658598182562,0.49334181278617145,3,0.1282051282051282,1.0
strict_core,domain_only,instrument,balanced_accuracy,heldout domain,0.6084735400405213,0.17411827755387563,0.10791962650978118,10,0.3656349206349206,0.8366161616161616
strict_core,domain_only,instrument,macro_f1,heldout domain,0.5029246009249235,0.145787992942386,0.09036033418768855,10,0.28344277673545965,0.7373293373293374
strict_core,domain_only,instrument,accuracy,heldout domain,0.6287937022589178,0.15370530339406552,0.09526753404580145,10,0.3333333333333333,0.8390804597701149
strict_core,domain_only,sensor_family,balanced_accuracy,heldout domain,0.5075181827544591,0.22240746344137205,0.2179593141725446,4,0.28636069812540393,0.8166666666666668
strict_core,domain_only,sensor_family,macro_f1,heldout domain,0.26790378226674966,0.13497294186353687,0.13227348302626613,4,0.1507585223786192,0.44949494949494956
strict_core,domain_only,sensor_family,accuracy,heldout domain,0.4891458999058561,0.24750799255308598,0.24255783270202425,4,0.272108843537415,0.8260869565217391
