band_start_cm1,band_stop_cm1_exclusive,mean_ba_drop,sd_across_folds,folds
980,1000,0.041277527829767104,0.03319436560832414,5
1100,1120,0.02716358746044914,0.02453689966070061,5
1000,1020,0.02300745058218088,0.023025633331791466,5
1340,1360,0.021135589810646966,0.0168341561776215,5
740,760,0.01396204562209788,0.027567087346819143,5
1420,1440,0.00821502106915638,0.013069208163091447,5
520,540,0.00551699762226076,0.007847633573156952,5
880,900,0.0048877551020408,0.009213496638939306,5
1020,1040,0.00427320742531594,0.013579595457900556,5
860,880,0.004232640048919841,0.004216343248534104,5
1120,1140,0.00414925684173804,0.01601257063427027,5
1240,1260,0.0029070586164407,0.005899347760150752,5
480,500,0.0026809331019857,0.006056557328317252,5
1360,1380,0.0026073533092166395,0.010206843879512116,5
780,800,0.0014505835779127,0.003408751113835201,5
920,940,0.0012740541032466401,0.008312317923029796,5
840,860,0.0011234272973403004,0.012591445789018222,5
1320,1340,0.0005688789979407799,0.006993463273592503,5
1080,1100,0.00045996860282571973,0.008536413918788134,5
1660,1680,0.0004261825131390201,0.0024032250891454915,5
1520,1540,0.00038895315211103995,0.0033064330611272123,5
1060,1080,0.00035026669237196,0.0032014455712789914,5
1280,1300,0.0002492015993159801,0.0017968316561533032,5
1380,1400,0.00023152202851450015,0.012156752573568819,5
760,780,1.0069967082040064e-05,0.004433697136086733,5
1560,1580,-0.00024458582353322004,0.0036577503280971974,5
1460,1480,-0.0003199721712307403,0.009180307186893168,5
1540,1560,-0.00038670234273376,0.0022937835440396473,5
1500,1520,-0.0004118364473055801,0.004324770907839922,5
620,640,-0.0005835350040973202,0.008021570413270184,5
440,460,-0.000617390545962,0.003069775247285,5
720,740,-0.0006612138723939996,0.005600691898571872,5
1260,1280,-0.00071061360999248,0.0023791194232992844,5
600,620,-0.00082126362250586,0.002257058229071304,5
900,920,-0.0009645644210861599,0.003319244922874077,5
420,440,-0.00099803578064448,0.003968558452296408,5
960,980,-0.0010171281444573198,0.0033725879747056103,5
1140,1160,-0.00121849495533706,0.006011630335535506,5
1760,1780,-0.00126000899685108,0.004840355398967017,5
1640,1660,-0.00142119233423582,0.003122714322373581,5
1740,1760,-0.0015164645568372201,0.007371847845684737,5
700,720,-0.0017197297272484799,0.00357130400808387,5
1800,1801,-0.0017857142857142998,0.003992978531249656,5
820,840,-0.0018862914173473203,0.006058413060208572,5
940,960,-0.00198441624845676,0.003589273167223038,5
1300,1320,-0.0019954219439345,0.0019517726696095597,5
660,680,-0.0020254578155853,0.0027083437633599,5
1720,1740,-0.0020799667986657203,0.0036390597580569645,5
1780,1800,-0.00217721960579104,0.0048972365699265635,5
1620,1640,-0.0023367346938774998,0.002903895987256232,5
640,660,-0.00235281626585972,0.004769016340952422,5
400,420,-0.0027005425652041996,0.006679882781092852,5
1480,1500,-0.0028554326970476,0.0043539970443028314,5
1040,1060,-0.0029717098128343444,0.002947104395842832,5
580,600,-0.00309761583445792,0.006199025294749134,5
1680,1700,-0.0031788501353718556,0.004354240153194551,5
500,520,-0.0032699891550823,0.005483702119678227,5
1180,1200,-0.0032777777777777397,0.002860255139112825,5
680,700,-0.0032861579414374203,0.0085895531368566,5
1700,1720,-0.0035971669897789395,0.004511199293763221,5
540,560,-0.00384299516908206,0.0015429185174953058,5
460,480,-0.00394554809543366,0.005297837950396541,5
560,580,-0.00395471678080374,0.005952426866992723,5
1400,1420,-0.00432159092587338,0.012753161451153842,5
800,820,-0.00457738676999868,0.0070651523608469624,5
1600,1620,-0.00486059870172322,0.009496338719805196,5
1220,1240,-0.00498158958472792,0.01780141255838792,5
1580,1600,-0.00532448177299434,0.005345979244754597,5
1440,1460,-0.0055452315292132395,0.008279537943949622,5
1160,1180,-0.00665381050971108,0.008220783065770074,5
1200,1220,-0.00687585211635552,0.006970967236225387,5
