training_subset,evaluation_subset,metric,independent_unit,mean,sd,ci95_half_width,n_independent_units,minimum,maximum
quality_pass,field_quality_stress,balanced_accuracy,master-group outer fold,0.38719576719576715,0.17509626541989173,0.15347864361740768,5,0.2214285714285714,0.6851851851851851
quality_pass,field_quality_stress,macro_f1,master-group outer fold,0.32679077003367585,0.16196779838457076,0.14197103488272128,5,0.1709441352298495,0.599647266313933
quality_pass,field_quality_stress,accuracy,master-group outer fold,0.3879981097524957,0.10175004925451561,0.08918785052404309,5,0.28787878787878785,0.5555555555555555
quality_pass,field_quality_stress,negative_log_likelihood,master-group outer fold,1.617586433885716,0.1593878355337609,0.13970959773569797,5,1.3807705352074036,1.7624499235209743
quality_pass,field_quality_stress,brier_multiclass,master-group outer fold,0.7356929466267356,0.06662175889492601,0.058396546414505084,5,0.6376143913908323,0.7964627809667282
quality_pass,field_quality_stress,expected_calibration_error_10,master-group outer fold,0.1823246375727914,0.02085910084995381,0.01828380804040798,5,0.1538247977888235,0.20278540729666458
quality_pass,quality_pass,balanced_accuracy,master-group outer fold,0.742126349762015,0.05161838414249058,0.045245508605872,5,0.6808634199938549,0.8003253475303165
quality_pass,quality_pass,macro_f1,master-group outer fold,0.7241917168159782,0.045312284733834966,0.03971796876122693,5,0.6721717011977866,0.7778971602883566
quality_pass,quality_pass,accuracy,master-group outer fold,0.7581464058489883,0.03328621187999709,0.029176651131036752,5,0.7083333333333334,0.7903780068728522
quality_pass,quality_pass,negative_log_likelihood,master-group outer fold,0.8229210774924371,0.3052693314363621,0.2675803668027467,5,0.5820488904501361,1.3550257334700133
quality_pass,quality_pass,brier_multiclass,master-group outer fold,0.35260363878958334,0.06337477012589436,0.055550435271489694,5,0.3005203422666955,0.4539775243843911
quality_pass,quality_pass,expected_calibration_error_10,master-group outer fold,0.10261180622939121,0.02515784076424063,0.022051819709455262,5,0.07946671948822653,0.14387411468027678
strict_core,strict_core,balanced_accuracy,master-group outer fold,0.6903764546206521,0.047182479467624085,0.04135726672314545,5,0.6286402470980765,0.7463492063492064
strict_core,strict_core,macro_f1,master-group outer fold,0.6820929464686674,0.0525724689654364,0.04608180082587182,5,0.6201314500959503,0.7598596148903175
strict_core,strict_core,accuracy,master-group outer fold,0.7087619336379507,0.04542444275118375,0.039816279598024217,5,0.6498599439775911,0.7740112994350282
strict_core,strict_core,negative_log_likelihood,master-group outer fold,0.9192065170236254,0.271345666091281,0.2378449630737851,5,0.7206077872193767,1.3905696861349437
strict_core,strict_core,brier_multiclass,master-group outer fold,0.40321101670003523,0.0636707867080945,0.05580990524599423,5,0.3296767455087293,0.5036324376271183
strict_core,strict_core,expected_calibration_error_10,master-group outer fold,0.10654289787356452,0.02657363079101912,0.0232928143842185,5,0.0729672060082891,0.14350144463753303
