evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.9090909090909092,0.8944444444444444,0.8944444444444444,29,19,10,blank,0.007591820048619736,0.003795910024309868,0.10442328350375286,0.9309017631063037,0.006657040032409179,,2.0,0.3103835367190785,0.07862958122859709,19.830350174637747,0.014154425535073338,0.30984922147871485,0.009362110428970734,4.210706523890355,20,30,0.2594349953797691,-0.46923412252927565,0.020430028438568115
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.6761363636363636,0.7543859649122806,0.5029239766081871,29,19,10,blank,0.007704217627713426,0.003852108813856713,0.10560771973106674,0.9275670322655714,0.006704576163416321,,2.0,0.28942163193112036,0.05603093281388283,20.332859889847285,0.014513104846429183,0.3177009357788638,0.010927865633558808,3.4032911279334632,22,35,0.26256326964620524,-0.4585562955727698,0.018781468272209167
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.7840909090909092,0.825,0.5499999999999999,29,19,10,blank,0.0075163011082197955,0.0037581505541098978,0.10021997019698514,0.9341059810034062,0.006482597916256764,,2.0,0.2706790444116643,0.08785445801913738,19.992061180782997,0.014269850949880798,0.31237595594973433,0.013878239390673284,3.2364369759196667,28,44,0.281603267770518,-0.49110924348809115,0.01659267209470272
strict_core,domain_and_sample,instrument,Agilent-3,111,73,domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.5168650793650794,0.5511596932369609,0.5511596932369609,73,62,11,blank,0.015018462123573646,0.007509231061786823,0.17891606705562552,0.7766143858008663,0.008300589752541863,,2.0,0.29210358556498084,0.07959508639760315,20.000768476616294,0.014276066007577654,0.3125120074471296,0.07611359880907348,3.9881463435289057,63,64,0.3817801471845934,-0.5181190987121924,0.019118284806609154
strict_core,domain_and_sample,instrument,Agilent-3,111,73,domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.5749669312169312,0.5933469308469309,0.5933469308469309,73,62,11,blank,0.01566810444599046,0.00783405222299523,0.1834063775437624,0.7753374821997617,0.008106421570925702,,2.0,0.2303930853931239,0.07861771481111646,16.61295199883403,0.011857924338925076,0.2595773749817817,0.037777425467996395,3.193589911193673,58,60,0.32515770618814316,-0.44969851687925844,0.02195073291659355
strict_core,domain_and_sample,instrument,Agilent-3,111,73,domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.5603835978835979,0.5832955404383976,0.5832955404383976,73,62,11,blank,0.016971381762149736,0.008485690881074868,0.19379747112222048,0.7632361252836368,0.007842394725198562,,2.0,0.26263277230035786,0.07867159065790474,17.003307918765497,0.012136550976991789,0.26567668623071095,0.05925291565419319,2.8634007833489963,61,64,0.3372085113569483,-0.5059467262381325,0.019259974360466003
strict_core,domain_and_sample,instrument,Mira-1,433,23,domain,domain__strict_core__domain_and_sample__instrument__Mira-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.7407407407407408,0.6400527009222662,0.3840316205533597,23,23,0,,0.004891708766355325,0.0024458543831776627,0.078142304286268,0.9511086364115394,0.008481348866652133,,1.0,0.1791760871515332,0.03933316748589277,15.306745430125288,0.01092558560323004,0.23916789734570765,0.01343422533844716,2.6813761588133,25,45,0.2021460144118731,-0.5595909114878218,0.02007990889251232
strict_core,domain_and_sample,instrument,Mira-1,433,23,domain,domain__strict_core__domain_and_sample__instrument__Mira-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.7777777777777777,0.6818181818181818,0.5113636363636364,23,23,0,,0.004435128378769281,0.0022175641893846403,0.0752069300358185,0.9508130294294702,0.008266829441446863,,1.5,0.16987440186953778,0.04212433099746704,14.812267492952216,0.010572639181264965,0.23144167957737832,0.008837224988036085,2.271071051939266,18,27,0.2019856906728483,-0.5191434537277335,0.019978255033493042
strict_core,domain_and_sample,instrument,Mira-1,433,23,domain,domain__strict_core__domain_and_sample__instrument__Mira-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.7104377104377105,0.577733860342556,0.577733860342556,23,23,0,,0.004862676137153072,0.002431338068576536,0.07593649437496597,0.9501830276460671,0.008345525609376342,,1.0,0.13774200298070682,0.05578228831291199,15.356286316162294,0.01096094669247844,0.23994197369003584,0.009273426292266943,2.4658987217253823,18,31,0.20404748832397276,-0.5333777317586994,0.020441927015781403
strict_core,domain_and_sample,instrument,Mira-2,363,75,domain,domain__strict_core__domain_and_sample__instrument__Mira-2,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.25,0.3333333333333333,0.2222222222222222,75,3,72,4_nitrophenol|ethanol|ethyl_paraoxon,0.013674457408249078,0.006837228704124539,0.15503742381370494,0.7784357213764325,0.0071166406883098506,,2.0,0.3514087465050798,0.09899304836289957,21.719525508578442,0.015502873310905383,0.3393675860715381,0.01887075036768591,4.665888501747071,48,58,0.32174507479746506,-0.45783980980877154,0.025170259177684784
strict_core,domain_and_sample,instrument,Mira-2,363,75,domain,domain__strict_core__domain_and_sample__instrument__Mira-2,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.25,0.25,0.16666666666666666,75,3,72,4_nitrophenol|ethanol|ethyl_paraoxon,0.013545652826662797,0.006772826413331399,0.15326369938368334,0.7498124085216556,0.007040479259759826,,2.0,0.3637869507384891,0.11655735201202333,20.2595633599873,0.014460787551739686,0.3165556774998015,0.01637844585762791,3.8007554278518105,40,50,0.3087987242578553,-0.42601655614421513,0.02344958297908306
strict_core,domain_and_sample,instrument,Mira-2,363,75,domain,domain__strict_core__domain_and_sample__instrument__Mira-2,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.0,0.0,0.0,75,3,72,4_nitrophenol|ethanol|ethyl_paraoxon,0.012433297431237297,0.0062166487156186485,0.14459471033553975,0.7872130742012843,0.006929588186311732,,2.0,0.27330088679677855,0.11449458077549934,22.003880377608542,0.01570583895618026,0.3438106309001334,0.03257962865872727,3.434202365137123,51,59,0.3769503028147665,-0.4332317940985316,0.023670099675655365
strict_core,domain_and_sample,instrument,Mira-3,394,72,domain,domain__strict_core__domain_and_sample__instrument__Mira-3,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.43625,0.5970695970695971,0.2388278388278388,72,41,31,blank,0.007493186353521208,0.003746593176760604,0.07591836398584656,0.9059376384795302,0.007598183452821882,,2.0,0.32296177411898846,0.04449821263551712,18.5362452870708,0.013230724687416701,0.2896288326104813,0.02565844809807681,2.640770689683161,45,59,0.2742654391400158,-0.5311263949714407,0.024788379669189453
strict_core,domain_and_sample,instrument,Mira-3,394,72,domain,domain__strict_core__domain_and_sample__instrument__Mira-3,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.2475,0.36801242236024845,0.14720496894409937,72,41,31,blank,0.005243292165861791,0.0026216460829308957,0.06119492269737711,0.9503241482574046,0.007452792961524225,,2.0,0.3015051980217338,0.047837018966674805,18.598474113771772,0.013275142122606547,0.2906011580276839,0.019046590689896784,3.2938939552033957,44,55,0.2698788869073141,-0.4831247484088834,0.024913055822253227
strict_core,domain_and_sample,instrument,Mira-3,394,72,domain,domain__strict_core__domain_and_sample__instrument__Mira-3,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.2875,0.41666666666666663,0.20833333333333331,72,41,31,blank,0.00870322165309054,0.00435161082654527,0.07109069845931068,0.913934222977856,0.0074353207441843205,,2.0,0.3681697773196132,0.053858935832977295,17.341112698810566,0.012377667879236663,0.2709548859189151,0.016237307329696055,3.501163870697452,41,49,0.2613424484705875,-0.4542932804223104,0.024122530594468117
strict_core,domain_and_sample,instrument,Pendar-1,390,46,domain,domain__strict_core__domain_and_sample__instrument__Pendar-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.7881944444444444,0.8284600389863548,0.4142300194931774,46,25,21,blank,0.008174975402713489,0.004087487701356744,0.08707609992174499,0.838769503280216,0.02745222828310021,,2.0,1.086050381012552,0.0779525376856327,12.41053503141403,0.008858340493514654,0.19391460986584427,0.012354152896484793,2.1206667194521263,26,40,0.1986479150065176,-0.48224514323546036,0.027251694351434708
strict_core,domain_and_sample,instrument,Pendar-1,390,46,domain,domain__strict_core__domain_and_sample__instrument__Pendar-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.8194444444444444,0.873015873015873,0.582010582010582,46,25,21,blank,0.007510306025248725,0.0037551530126243627,0.08761103616850638,0.8388851250390916,0.02725154325543992,,2.0,1.3821786433199188,0.07125833892496303,12.363348573382725,0.008824659938174679,0.19317732145910516,0.012399364636131685,1.9390440884707838,30,43,0.2013558927745714,-0.4680088810150769,0.024644797667860985
strict_core,domain_and_sample,instrument,Pendar-1,390,46,domain,domain__strict_core__domain_and_sample__instrument__Pendar-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.7326388888888888,0.7574074074074073,0.5049382716049382,46,25,21,blank,0.007464037944143596,0.003732018972071798,0.08798373823302402,0.8442189103228335,0.027150015468082093,,2.0,1.1555758035305086,0.08868539147078991,10.915552592236466,0.007791258095814751,0.17055550925369478,0.011977029519007488,2.101737126998089,27,39,0.18647829556492299,-0.4261503571776238,0.02494807168841362
