evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row268,0.0069972698322278565,0.0034986349161139282,0.11917869751153257,0.8749980229507192,0.008025386165661206,19,8,0,0,1.5,0.4426957823266191,0.09210559818893671
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row271,0.007502892997326764,0.003751446498663382,0.13803454626219197,0.8370791772955677,0.010968026069125959,38,7,0,0,4.0,0.4085487906732717,0.07397511601448059
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row275,0.0020326692295254715,0.0010163346147627358,0.09646328770583255,0.9322868870982874,0.004878037949342147,13,6,0,0,2.5,0.11639610417591975,0.028781999950297177
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row279,0.0013589017103723749,0.0006794508551861874,0.06775115172307979,0.9661056858173043,0.0037984306790999002,12,9,0,0,3.0,0.281972638871476,0.01692621409893036
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row283,0.00808145689258658,0.00404072844629329,0.14736199933426875,0.8207953402335855,0.011646479709140425,41,5,0,0,3.0,0.19445157141004302,0.07339029014110565
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row286,0.008097258083871892,0.004048629041935946,0.12373433252296616,0.8265168015298836,0.01589034540362523,67,12,0,0,3.0,0.46478786631519164,0.08529025129973888
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row288,0.0010339393403530131,0.0005169696701765066,0.058904038572340875,0.9767934837832994,0.0031809801934286953,11,9,0,0,3.0,0.1996536784605415,0.029105850961059332
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row291,0.0009863853617190176,0.0004931926808595088,0.057020947686785894,0.977193599889166,0.0031285933759396096,11,10,0,0,2.0,0.19982524323968393,0.02212535566650331
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row294,0.0008953441903261276,0.0004476720951630638,0.05762952206871117,0.9780537654053021,0.003847545365312856,13,10,0,0,2.5,0.150072843963312,0.039231651462614536
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row303,0.01498536757909129,0.007492683789545645,0.15883441988708177,0.7692058780524255,0.010854830964568204,30,7,0,0,2.0,0.4142189645375524,0.10288558132015169
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row308,0.008185704347077704,0.004092852173538852,0.0943043537680714,0.9248272288959412,0.007214712394228887,17,4,0,0,2.0,0.2861656514067057,0.21182426461018622
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row309,0.001237856108282967,0.0006189280541414835,0.06098482561501406,0.9740872515711567,0.003110555399824599,12,7,0,0,2.0,0.2149320572568574,0.038910623639822006
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row314,0.005668212630210819,0.0028341063151054095,0.09450735512357385,0.9197007136082069,0.00561611001404734,11,6,0,0,1.5,0.197976765680888,0.07862958122859709
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row336,0.005881876100903568,0.002940938050451784,0.08436966296699275,0.9407817898372683,0.005071908917274673,12,5,0,0,1.0,0.349297505027761,0.1406451966613531
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row337,0.006625130513382994,0.003312565256691497,0.087122979711256,0.9363750084735109,0.004495766581967473,11,5,0,0,2.0,0.3562744396294576,0.08025342598557472
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row338,0.009753310927699379,0.004876655463849689,0.09859856661329591,0.9136848080254384,0.005136983007084512,11,4,0,0,1.5,0.3103835367190785,0.09553927415981889
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row339,0.008413177607108512,0.004206588803554256,0.08620226210637302,0.9322555109081186,0.006175076043748829,12,5,0,0,4.0,0.38439345288205834,0.17932576686143875
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row341,0.007969743316824684,0.003984871658412342,0.09623550069245208,0.9238920733632651,0.005343815028508178,13,4,0,0,1.0,0.4173298845665382,0.12013444709009491
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session3_row343,0.005889694532267401,0.0029448472661337006,0.07835664579547308,0.9519367008190789,0.004778823784186638,10,2,0,0,2.5,0.4518817840586338,0.2636996954679489
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row226,0.003753684792321766,0.001876842396160883,0.09442934541889524,0.9275670322655714,0.005491854906297452,14,6,0,0,1.0,0.2411801490061717,0.058312714798375964
