stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row31,0.0026254593902955026,0.0013127296951477513,0.0250595464873397,0.8710684848788081,0.0064498384509767805,7,3,2,2,3.0,0.8383632939940261,0.24920326471328735
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row33,0.00013651472318423403,6.825736159211701e-05,0.015978919228289885,0.9983601349358472,0.003301931463980249,8,3,1,1,1.0,0.22600110568021162,0.0006406158208847046
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row36,0.004431605752286975,0.0022158028761434874,0.15993194087764015,0.7833367292991069,0.011440571927180697,61,13,4,2,3.0,0.9246994707450323,0.06545512843877077
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row37,0.005671905616290509,0.0028359528081452544,0.11326059663982897,0.858616796336129,0.018675656738071537,82,16,5,4,2.5,0.6297936224998857,0.062208463437855244
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row38,0.0028262919096496484,0.0014131459548248242,0.09080632721668376,0.9217869088312136,0.00914539203280583,34,14,3,3,2.0,0.554922679016761,0.031089724972844124
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row50,0.002874876351618093,0.0014374381758090464,0.13999616794261463,0.8717304622105082,0.006375637000523317,22,12,2,2,1.5,0.18345751212078681,0.021650176495313644
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row54,0.0015862491169150535,0.0007931245584575267,0.0176326551200042,0.865469154926103,0.0065736239722796845,11,5,1,1,2.0,0.5916226921324254,0.05473792552947998
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row64,0.0010297845279742391,0.0005148922639871196,0.03574767920063801,0.9857530644927881,0.007901855347944157,33,13,3,3,2.0,0.16910016160286964,0.008044660091400146
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row65,0.0024972412915517947,0.0012486206457758974,0.09131456047952263,0.8682821678881029,0.016352679207505258,73,10,4,3,2.0,2.285569237872517,0.0848296731710434
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row177,0.020329731548217888,0.010164865774108944,0.09677424941893051,0.1665482876690952,0.05656170029459255,141,35,4,1,2.0,1.7935837127494896,0.07554253935813904
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row181,0.019580521502147213,0.009790260751073606,0.12398484140630896,0.3023679932422545,0.055499876201086276,146,34,9,5,2.0,1.4937944933447955,0.1790878027677536
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row188,0.00270226435138486,0.00135113217569243,0.05312015959465132,0.9545820302206075,0.02193352669477463,85,14,5,4,2.5,0.4782914184878402,0.07778139412403107
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row191,0.0003011838954991832,0.0001505919477495916,0.02301315154299784,0.9961690269069914,0.005618169845381219,11,10,7,7,1.5,0.03455570768732395,0.01155656948685646
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row202,0.008672666626137533,0.004336333313068767,0.07133538087027014,0.6072951743098169,0.03526896363922528,120,24,7,5,3.0,1.9401459456581582,0.0955238789319992
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row204,0.007750231920091381,0.0038751159600456907,0.10327534251476124,0.6194667111300227,0.036015288715383835,128,17,3,1,2.0,2.6410393830896677,0.08280226588249207
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row223,0.00022772104867835078,0.00011386052433917539,0.0202939521296965,0.9977991894994832,0.00161856047242119,10,10,6,6,1.0,0.04193162923166251,0.024071297142654657
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row227,0.0014487221117498875,0.0007243610558749437,0.04593066946267896,0.9876522338004112,0.0027153809606846025,1,0,0,0,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row230,0.003247198009908499,0.0016235990049542496,0.06707565350273056,0.9611394371380275,0.004144417911718067,11,9,4,3,1.0,0.10157228354623224,0.11384031199850142
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row231,0.002052079187985807,0.0010260395939929035,0.06605468998946742,0.9736574885293504,0.001818221087035324,2,0,0,0,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row239,0.0019000680997802704,0.0009500340498901352,0.05235327029869731,0.9811354747199976,0.003469887693016582,11,10,6,6,2.0,0.11567445411964797,0.01260135744814761
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row242,0.0005731357329237498,0.0002865678664618749,0.032556523863922084,0.9940196488351851,0.0018179190334688298,4,2,0,0,3.0,0.07940059960838594,0.025330778051284142
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row243,0.0030107629939194564,0.0015053814969597282,0.06998565489506077,0.9671301646212217,0.005523154736230416,10,4,1,1,3.0,0.11368822563441683,0.06484551215544343
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,session1_row257,0.0013767315555022358,0.0006883657777511179,0.04244579794198717,0.9841238703753303,0.0040128658934762435,14,14,8,8,1.5,0.15687825752809773,0.036340061109513044
