stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,corrupted_vae_kl_unnormalized_per_observation,corrupted_vae_kl_normalized,corrupted_vae_mean_kl_per_latent_dimension,corrupted_vae_median_kl_per_latent_dimension,corrupted_vae_max_kl_per_latent_dimension,corrupted_vae_active_units_var_mu_gt_0_01,corrupted_vae_dimensions_mean_kl_gt_0_01,corrupted_vae_posterior_mean_absolute_mu,corrupted_vae_posterior_mean_log_variance,corrupted_vae_posterior_sample_reconstruction_variability
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,scale_offset,0.5,0.7961904761904762,0.7851538812065127,0.9745762711864406,0.017626190558075905,0.005341613088749229,0.0026708065443746144,0.06916400720881859,0.9439130720323308,0.017752340886205788,0.5759803921568627,2.0,0.2758994488243972,0.060754595790058374,15.22823148062067,0.010869544240271712,0.237941116884698,0.012452496197718266,2.230878046268874,26,44,0.21193928840552506,-0.5066840467809777,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,scale_offset,1.0,0.7914285714285715,0.7773158171658064,0.940677966101695,0.05609225109219551,0.008674270943423398,0.004337135471711699,0.08150192457310024,0.9338850469116895,0.017891132787433144,0.5600490196078431,2.0,0.2701449974893098,0.06574533879756927,15.732516591925853,0.01122949078652809,0.24582057174884142,0.013618747958229961,2.4514335429305905,31,44,0.21985077776458306,-0.5084607008849593,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,scale_offset,1.5,0.777142857142857,0.7579532285414637,0.8983050847457628,0.1266019642353058,0.012344465791706406,0.006172232895853203,0.09844951037040779,0.9131740451184756,0.018055578483080988,0.5526960784313726,2.0,0.2943772333390215,0.07566464133560658,16.16584593176543,0.011538790814964617,0.2525913426838349,0.013865209207509662,2.58546952820828,32,46,0.22547650421460028,-0.5123999190927843,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,smooth_baseline,0.5,0.8247619047619048,0.8023850892936698,0.923728813559322,0.03767029941082001,0.0057008445882440134,0.0028504222941220067,0.07614384144513263,0.9340151244238974,0.017919190348981567,0.5723039215686274,2.0,0.26742864955516465,0.05961594916880131,14.888836873945495,0.010627292558133829,0.23263807615539836,0.012639645061375923,2.1452225111327237,24,40,0.21899443908114527,-0.48912878586581765,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,smooth_baseline,1.0,0.7976190476190476,0.7657484594200289,0.8983050847457628,0.09760929644107819,0.007541450720324748,0.003770725360162374,0.08855523608593951,0.9168110265510176,0.01818838841842785,0.5784313725490197,2.0,0.3208464696411474,0.06890186294913292,15.223584564308467,0.01086622738351782,0.23786850881731977,0.012965762320879726,2.2422907768394125,27,40,0.23076805062875322,-0.4754874235788397,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,smooth_baseline,1.5,0.7323809523809525,0.6945419505459647,0.7542372881355932,0.16464540362358093,0.01160944546768813,0.005804722733844065,0.10398997743186608,0.8654669351922861,0.018542576481146038,0.5649509803921569,2.0,0.4003730995317108,0.07217954099178314,16.056116276680687,0.01146046843446159,0.2508768168231356,0.014989170729714413,2.472123706820626,34,49,0.24973747521044523,-0.47618195587906714,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,gaussian_noise,0.5,0.8057142857142857,0.7924822671063273,0.9915254237288136,0.0003804392763413489,0.004454759387778337,0.0022273796938891686,0.06287075959884765,0.9431672525510266,0.017708035169653864,0.5698529411764706,2.0,0.2598748172742619,0.05949813697952777,15.297773181648827,0.010919181428728641,0.2390277059632629,0.01230443020112538,2.220554181270345,26,44,0.212764743896543,-0.5076306822771783,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,gaussian_noise,1.0,0.8414285714285714,0.8230239779957128,0.9661016949152542,0.0017093273345381021,0.004483069462417252,0.002241534731208626,0.06363714379499474,0.9430898170596782,0.017717837252420706,0.5735294117647058,2.0,0.2672038695817145,0.05514035001397133,15.246205707533072,0.010882373809802335,0.23822196418020425,0.012155148110830764,2.2093062330973807,24,44,0.21201450703724095,-0.5092418849527672,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,gaussian_noise,1.5,0.8295238095238096,0.8029540132509215,0.9661016949152542,0.004413294605910778,0.004531843341911614,0.002265921670955807,0.06464881229893636,0.94602575808892,0.017730368946829524,0.5698529411764706,2.0,0.27214428435112004,0.05634886026382446,15.220966303795777,0.010864358532331033,0.23782759849680898,0.012156278532982668,2.194134194138201,25,43,0.21139272850957233,-0.5114269421056109,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,isolated_spikes,0.5,0.7985714285714286,0.7856898740357388,1.0,0.00024212720745708793,0.004447962492543355,0.0022239812462716774,0.06259736015111504,0.9436370267623171,0.017704133510120068,0.5723039215686274,2.0,0.26844203445538095,0.056717232801020145,15.316673355662406,0.010932671916961033,0.23932302118222504,0.012375997966595043,2.2257154061202655,28,44,0.21330809293416683,-0.5068970665833967,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,isolated_spikes,1.0,0.777142857142857,0.7664260551478598,0.9745762711864406,0.0011833133175969124,0.004470577882481525,0.0022352889412407626,0.06282669015944642,0.9444521532942918,0.017713009201216347,0.5698529411764706,2.0,0.25497084815988047,0.05248122522607446,15.341579135759243,0.010950449061926654,0.23971217399623812,0.012482741597535367,2.2239669901854358,28,44,0.213619953717284,-0.5079070598075713,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,isolated_spikes,1.5,0.8057142857142857,0.7925859671229194,0.9915254237288136,0.002315574325621128,0.00445804586809431,0.002229022934047155,0.06290503131268912,0.9424742562918788,0.01770923184498468,0.5784313725490197,2.0,0.256687176533125,0.053771472070366144,15.353195781874131,0.01095874074366462,0.23989368409178335,0.012357704044554102,2.229699036910456,28,44,0.21468504730855004,-0.5085115924931811,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,edge_filled_shift,0.5,0.7961904761904762,0.7867420157355689,0.9322033898305084,0.005237437319010496,0.004475143003840997,0.0022375715019204985,0.06292035488759787,0.943290665486402,0.0177167581941365,0.5796568627450981,2.0,0.24678190261221242,0.05916726961731911,15.303552523652023,0.010923306583620288,0.23911800818206286,0.012384597084807093,2.2268814136356463,30,44,0.21374156828775928,-0.5063531799016578,
