heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.6533333333333333,0.5389507154213037,0.5389507154213037,75,75,0,,0.007889643596697844,0.003944821798348922,0.10351847675145005,0.8072007527949526,0.016182064643628494,0.46851574212893554,2.0,0.7034397316119242,0.08113116398453712,12.12407264335706,0.008653870552003612,0.1894386350524541,0.018117061821683933,2.2509924900855642,17,50,0.21538956187164635,-0.41948928388718437,0.026602426543831825
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.68,0.6176309604301491,0.6176309604301491,75,75,0,,0.006371053662136081,0.0031855268310680405,0.09887082219482163,0.8321735682387139,0.01596988415118027,0.452023988005997,2.0,0.6209580595313171,0.08508897386491299,10.672580973381196,0.007617830816117913,0.16675907770908113,0.007443971884505191,2.2572857154714177,9,22,0.14536299612530607,-0.3949502156419597,0.02253003418445587
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.6133333333333334,0.49322353748498887,0.49322353748498887,75,75,0,,0.005549940920241659,0.0027749704601208293,0.09256263930278016,0.8450450228923618,0.01594005902388474,0.4505247376311844,2.0,0.5974178880101078,0.08097171038389206,12.80889457891734,0.009142679927849635,0.20013897779558343,0.012464528794350333,3.8066432477215875,24,40,0.21158339037210075,-0.37318569267698726,0.022849582135677338
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.6,0.5422368180988871,0.5422368180988871,75,75,0,,0.0036065652408239714,0.0018032826204119857,0.034151045926851725,0.9575034742958869,0.008328908823150776,0.48484848484848486,1.5,0.5327757487506424,0.06418045237660408,12.015708138503705,0.008576522582800646,0.1877454396641203,0.010504019318230896,3.221601037362545,9,33,0.19544443637400263,-0.3692220320487831,0.02602170966565609
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.6666666666666666,0.6172839506172839,0.6172839506172839,75,75,0,,0.003727331478932411,0.0018636657394662055,0.03605084214992698,0.9521214944936709,0.008451115140622295,0.46831955922865015,1.5,0.4700484498767653,0.07235464453697205,10.00672490294719,0.007142558817235681,0.1563550766085499,0.005570162828128602,2.6670291281551433,16,15,0.17483568345647654,-0.32583171243488324,0.030719883739948273
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.6533333333333333,0.595074643129563,0.595074643129563,75,75,0,,0.004965106535403565,0.0024825532677017824,0.03904462564515846,0.9437090175449151,0.008545733149178029,0.45179063360881544,1.5,0.5695611441192434,0.08373937010765076,10.194813683652608,0.007276812051143903,0.159293963807072,0.00944023171302473,2.956148056878611,19,32,0.16356950732525852,-0.3437891659274025,0.02625666931271553
Au,400-1800_common,poster,poster_holdout_Au,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.9199999999999999,0.9578810247503257,0.6385873498335505,50,50,0,,0.0027354005228657093,0.0013677002614328547,0.07209603012368032,0.9469862940635418,0.00961702081349379,0.6144859813084113,1.0,0.25655638637632633,0.05638437531888485,12.236552005568495,0.008734155607115272,0.19119612508700773,0.007283980567621223,2.3842857059439817,11,21,0.16472243231916764,-0.43548574327291134,0.01902843825519085
Au,400-1800_common,poster,poster_holdout_Au,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.9199999999999999,0.9565217391304348,0.6376811594202899,50,50,0,,0.0026602230664661817,0.0013301115332330909,0.07131257763125523,0.9480951882435928,0.00960172253691375,0.5934579439252337,1.0,0.25552706730706976,0.060455327620729804,12.082568017967038,0.008624245551725224,0.18879012528073502,0.008799929338591733,3.028965033455137,11,27,0.15522726668234782,-0.42550699792944213,0.019256869331002235
Au,400-1800_common,poster,poster_holdout_Au,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.96,0.9791666666666667,0.6527777777777778,50,50,0,,0.002662000382837834,0.001331000191418917,0.07181118767678353,0.9410359494424017,0.009624939328126076,0.602803738317757,1.0,0.24116612150678826,0.06081755831837654,11.67958224841966,0.008336604031705682,0.18249347263155724,0.007325589582580452,2.533328372928149,10,21,0.16693530249875949,-0.39864668550648275,0.020224712789058685
Au,400-1800_common,poster,poster_holdout_Au,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.9,0.9190654985398414,0.6127103323598942,50,50,0,,0.004148283884009979,0.0020741419420049895,0.037198167028379935,0.9543389329138205,0.00510546348556527,0.7055214723926381,1.0,0.31154613114785,0.07773222029209137,10.698448351072702,0.0076362943262474675,0.167163255485511,0.005716892784619607,3.180425701848662,10,13,0.1504520692168171,-0.30580998109968277,0.022007131949067116
