heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
Au,400-1800_common,poster,poster_holdout_Au,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.96,0.9697959183673469,0.6465306122448979,50,50,0,,0.004373520694630581,0.0021867603473152905,0.03606786849364692,0.9553185867846146,0.005199929144223071,0.7177914110429447,1.25,0.2652070589344177,0.08295159786939621,10.677762978625218,0.007621529606441983,0.16684004654101903,0.003602514275978133,3.5438347338436555,9,11,0.13729771051221407,-0.3111112577771928,0.021388661116361618
Au,400-1800_common,poster,poster_holdout_Au,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.94,0.9591836734693877,0.6394557823129251,50,50,0,,0.003589858722375246,0.001794929361187623,0.03330800013726925,0.9613156609041283,0.005024228614618602,0.7791411042944786,1.0,0.24906488998598625,0.06582245603203773,10.862509591977746,0.007753397281925586,0.16972671237465234,0.005599468188510263,3.571206010291882,10,16,0.14309769317666907,-0.3232545536805537,0.023119309917092323
PICO,400-1800_common,poster,poster_holdout_PICO,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,0.6933333333333334,0.611026551665821,0.611026551665821,75,75,0,,0.016345308165200082,0.008172654082600041,0.1461514390777201,0.797985935271392,0.019559056505043658,0.26321087065928533,2.0,0.7710796954981864,0.07738997181877494,20.6932505588559,0.01477034301131756,0.3233320399821235,0.042204953754938726,4.695385963010768,56,64,0.33701854448525714,-0.41581006899207446,0.018776342272758484
PICO,400-1800_common,poster,poster_holdout_PICO,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,0.6666666666666666,0.5333674688513398,0.5333674688513398,75,75,0,,0.016667485836236975,0.008333742918118487,0.1501622184518512,0.7448588436908716,0.019561514372122616,0.30548565676899847,2.0,0.5681731644121655,0.10017946641892195,21.767699547243033,0.015537258777475398,0.3401203054256724,0.044703747549828074,5.917390453598088,55,60,0.3279831011903843,-0.3899161563549963,0.017816349864006042
PICO,400-1800_common,poster,poster_holdout_PICO,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,0.3466666666666667,0.24786324786324787,0.24786324786324787,75,75,0,,0.016945641082625883,0.008472820541312941,0.148407678327915,0.7816997751499088,0.019642042077741225,0.31152491192752896,2.0,0.5077266459031085,0.08518508216366172,24.5973394275813,0.017556987457231478,0.38433342855595776,0.03137097057482144,8.792080134907085,57,60,0.3450558915124748,-0.39820042813795226,0.01716764271259308
PICO,400-1800_common,poster,poster_holdout_PICO,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,0.6666666666666666,0.5555555555555555,0.5555555555555555,75,75,0,,0.02488045400914293,0.012440227004571465,0.11657353731809282,0.7773089762828024,0.009829607316364265,0.21906354515050167,3.0,1.1605691978883592,0.08307825028896332,10.422918719859174,0.007439627922811687,0.16285810499779957,0.009116181138696722,3.4298787257829106,12,28,0.18105009382791043,-0.295315336862789,0.02241777628660202
PICO,400-1800_common,poster,poster_holdout_PICO,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.6666666666666666,0.5555555555555555,0.5555555555555555,75,75,0,,0.024277051964239838,0.012138525982119919,0.11463210174381289,0.7872606770554795,0.009875912891812774,0.23578595317725753,2.5,0.6522487823539249,0.10977891087532043,9.825539824862314,0.0070132332797018665,0.15352405976347366,0.00853829944784067,3.6070654704991685,16,29,0.1818747132927274,-0.26595239596600795,0.023350991308689117
PICO,400-1800_common,poster,poster_holdout_PICO,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,0.6666666666666666,0.5555555555555555,0.5555555555555555,75,75,0,,0.02382543384650762,0.01191271692325381,0.11483457128646933,0.7730801521593705,0.009839385461762626,0.26755852842809363,2.0,1.1422808319419377,0.08829092606902122,10.20359790963142,0.007283082019722641,0.1594312173379909,0.011466750513365142,3.053540880775593,20,38,0.19723994041616,-0.2794630007293017,0.02397451363503933
pSERS,400-1800_common,poster,poster_holdout_pSERS,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,1.0,1.0,1.0,75,75,0,,0.006007735590270837,0.0030038677951354184,0.14428857291824929,0.7959982991353397,0.009406945200067934,0.5501792114695341,2.0,0.42511564434101096,0.08961665630340576,12.696897952581555,0.00906273943795971,0.19838903050908677,0.01351240956683343,2.5770942462145836,37,42,0.21836686477940626,-0.3568341040747085,0.016321085393428802
pSERS,400-1800_common,poster,poster_holdout_pSERS,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,1.0,1.0,1.0,75,75,0,,0.005819879367233204,0.002909939683616602,0.14264568603823516,0.8137786965821471,0.009387659030234155,0.6397849462365591,2.0,0.4184960335789326,0.10179423866793513,12.716876748042507,0.00907699982015882,0.1987011991881641,0.01392069910633367,4.139228982047244,35,43,0.22906002452806964,-0.34331079602846937,0.016049964353442192
pSERS,400-1800_common,poster,poster_holdout_pSERS,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,1.0,1.0,1.0,75,75,0,,0.006111157112861979,0.0030555785564309896,0.1464836325602071,0.7867989134499361,0.009452666910362175,0.5878136200716846,2.0,0.400991397475728,0.09783273376524448,13.273493975568115,0.009474299768428347,0.20739834336825175,0.0073380994696330415,4.076897460465123,14,24,0.19875448732110576,-0.3394643525927071,0.01719813048839569
pSERS,400-1800_common,poster,poster_holdout_pSERS,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,1.0,1.0,1.0,75,75,0,,0.0063479295114459286,0.0031739647557229643,0.10491873863505073,0.8173169377589002,0.006552024479629333,0.620253164556962,2.0,0.40294990374442496,0.126142050139606,13.1614888898788,0.00939435324045596,0.20564826390435625,0.004112644757181188,3.941279323567794,9,13,0.18020518254639153,-0.3156377039720246,0.023565854877233505
pSERS,400-1800_common,poster,poster_holdout_pSERS,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,2718,0.9733333333333333,0.9732905982905984,0.9732905982905984,75,75,0,,0.006286630547587303,0.0031433152737936516,0.10839842708352843,0.796995802899278,0.006592585790224811,0.6265822784810127,2.5,0.4343087672203648,0.1678691953420639,13.468381445678066,0.009613405742810896,0.2104434600887198,0.006341732998885604,4.102278002774304,17,22,0.18958647235321527,-0.32149433114488296,0.02104613184928894
pSERS,400-1800_common,poster,poster_holdout_pSERS,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,3141,1.0,1.0,1.0,75,75,0,,0.006177978525873979,0.0030889892629369893,0.10952025155354278,0.7954540201523315,0.006698590632723617,0.6424050632911392,2.0,0.42633284855325515,0.09615485370159149,12.834542684281843,0.009160986926682258,0.20053972944190385,0.007818466886616946,5.507225728121125,12,23,0.18312895193357387,-0.34470324886580783,0.025415927171707153
