heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,corrupted_vae_kl_unnormalized_per_observation,corrupted_vae_kl_normalized,corrupted_vae_mean_kl_per_latent_dimension,corrupted_vae_median_kl_per_latent_dimension,corrupted_vae_max_kl_per_latent_dimension,corrupted_vae_active_units_var_mu_gt_0_01,corrupted_vae_dimensions_mean_kl_gt_0_01,corrupted_vae_posterior_mean_absolute_mu,corrupted_vae_posterior_mean_log_variance,corrupted_vae_posterior_sample_reconstruction_variability
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,scale_offset,0.5,0.6533333333333333,0.5422222222222222,0.9866666666666667,0.01145852543413639,0.009163669020270729,0.004581834510135364,0.10789873394346332,0.8035481568119635,0.016215812069829416,0.4587706146926537,2.0,0.7445637070327552,0.08514056354761124,12.242673739357455,0.00873852515300318,0.19129177717746024,0.01838843324719154,2.219672987703155,17,50,0.21650664257786653,-0.41992559241434113,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,scale_offset,1.0,0.6266666666666666,0.5079365079365079,0.9333333333333333,0.04458955302834511,0.012681834214368677,0.006340917107184338,0.11690994076896068,0.7762185485666783,0.016262186519553124,0.4257871064467766,2.0,0.7791498969879893,0.08528814418241382,12.187421239316208,0.00869908725147481,0.19042845686431578,0.018437313796078922,2.3927066858363735,18,50,0.21470723497710423,-0.4173098410413756,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,scale_offset,1.5,0.6133333333333334,0.5022711390635919,0.92,0.08920157700777054,0.01775505185079834,0.00887752592539917,0.13185357133920056,0.7617706307787366,0.01662008579487876,0.40554722638680657,2.0,0.7953414042837963,0.08044643327593803,13.084869858999287,0.009339664424696137,0.2044510915468639,0.02443570425171501,2.3493460184416635,25,54,0.23160992781239506,-0.4280770745997264,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,smooth_baseline,0.5,0.64,0.5322234156820623,0.9733333333333334,0.011928330175578594,0.010240944149957144,0.005120472074978572,0.1108914981292917,0.7751964900280713,0.016432298567787874,0.4790104947526237,2.0,0.8257662180101493,0.07007575314491987,11.971425995958835,0.008544915057786463,0.1870535311868568,0.019571533003977005,2.4110940320082874,18,51,0.21728662648734826,-0.4128079931235819,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,smooth_baseline,1.0,0.6266666666666666,0.5257319512638662,0.9466666666666667,0.04240676388144493,0.014351320944513439,0.007175660472256719,0.12084463082189084,0.7477286679243352,0.016712224416766133,0.4752623688155922,2.0,0.870091809477036,0.06669165752828121,11.925026798279436,0.008511796429892532,0.1863285437231162,0.022453213024861918,2.4578193662376795,18,52,0.22515857658430224,-0.40456484022956524,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,smooth_baseline,1.5,0.6,0.5046296296296297,0.92,0.09317448735237122,0.02034147397623805,0.010170736988119026,0.13309657749178824,0.6979680304505711,0.017017899759939645,0.4625187406296852,2.0,0.8349200426018171,0.06477683782577515,11.746007751876222,0.008384016953516218,0.18353137112306595,0.02594778715402537,2.428164019925684,22,55,0.23664199771815522,-0.39377439829446,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,gaussian_noise,0.5,0.6533333333333333,0.5389507154213037,1.0,0.0001146912545664236,0.007997095184242383,0.003998547592121191,0.10392985486510216,0.8052558942113056,0.01619961647658728,0.46926536731634183,2.0,0.7420292841891905,0.08120489120483398,12.1173722505423,0.008649087973263596,0.18933394141472343,0.01814089628217705,2.265700358025451,17,50,0.21548128705397782,-0.4196421735281183,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,gaussian_noise,1.0,0.6533333333333333,0.5389507154213037,1.0,0.0006083178450353444,0.008218183387886057,0.0041090916939430285,0.10471906752138453,0.8012797721373836,0.016235398648195717,0.47301349325337333,2.0,0.7815730956387481,0.07961278967559338,12.179733420686134,0.008693599872010089,0.19030833469822084,0.01845669622236309,2.306784117259255,18,50,0.21647283807101833,-0.4215511224050958,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,gaussian_noise,1.5,0.6533333333333333,0.5422222222222222,0.9866666666666667,0.001522235106676817,0.00852590953284519,0.004262954766422595,0.10575421436396906,0.7981996117671087,0.01627520287316722,0.4782608695652174,2.0,0.7670005731671445,0.0773547263815999,12.255199421275698,0.008747465682566522,0.19148749095743278,0.01901850621862516,2.3655873704695973,17,50,0.2171712525102521,-0.42368955618697024,
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,isolated_spikes,0.5,0.6533333333333333,0.5389507154213037,1.0,7.552623719675466e-05,0.007929129610038657,0.003964564805019328,0.10368749346822491,0.8067136293761471,0.01618739049351494,0.46851574212893554,2.0,0.7594525795931809,0.08254445157945156,12.12529200196271,0.008654740900758537,0.18945768753066736,0.01813779069211553,2.25715928339241,17,50,0.2154994407458495,-0.41992766965883976,
