evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,corruption,severity,balanced_accuracy_supported,macro_f1_supported,prediction_agreement,latent_cosine_drift,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,corrupted_vae_kl_unnormalized_per_observation,corrupted_vae_kl_normalized,corrupted_vae_mean_kl_per_latent_dimension,corrupted_vae_median_kl_per_latent_dimension,corrupted_vae_max_kl_per_latent_dimension,corrupted_vae_active_units_var_mu_gt_0_01,corrupted_vae_dimensions_mean_kl_gt_0_01,corrupted_vae_posterior_mean_absolute_mu,corrupted_vae_posterior_mean_log_variance,corrupted_vae_posterior_sample_reconstruction_variability
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,scale_offset,0.5,0.9090909090909092,0.8944444444444444,1.0,0.013905761763453484,0.008621950937838968,0.004310975468919484,0.11101573386888144,0.9290250362404684,0.006696472091106299,,2.0,0.3187752044756146,0.0812188908457756,20.136003666854275,0.014372593623736099,0.3146250572945981,0.0099812031163523,4.1358838326204275,22,31,0.2624053716072032,-0.4702191401505302,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,scale_offset,1.0,0.9090909090909092,0.8944444444444444,0.9310344827586207,0.044097449630498886,0.011423280001515873,0.005711640000757937,0.11990044402474749,0.9246190759909702,0.006838855621753689,,2.0,0.2621145364879792,0.07368068862706423,18.496126979797463,0.013202089207564214,0.2890019840593354,0.01189464046641997,3.773631282096935,25,36,0.24869032315674022,-0.46416770071281743,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,scale_offset,1.5,0.7727272727272727,0.7973856209150327,0.7586206896551724,0.07901623845100403,0.012437592953142106,0.006218796476571053,0.12950532991001104,0.9261839717695514,0.006877265800726202,,2.0,0.2972481156305774,0.08272701036185026,20.352580520002054,0.014527180956461137,0.3180090706250322,0.011711889207392405,3.562833586431612,28,42,0.26681430648377186,-0.4697356159315483,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,smooth_baseline,0.5,0.9090909090909092,0.8944444444444444,0.9655172413793104,0.04080519080162048,0.008766551278295781,0.004383275639147891,0.11941461700517814,0.9093669243482805,0.0068140773857486145,,2.0,0.31875462344192007,0.06605587340891361,17.21059835092481,0.012284509886455967,0.2689155992332002,0.011076481394832208,3.552925880168015,22,33,0.2427416400214497,-0.4568702218195681,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,smooth_baseline,1.0,0.8465909090909092,0.8660714285714286,0.8620689655172413,0.12138299643993378,0.011152892910325606,0.005576446455162803,0.13767700486198073,0.8787946713284388,0.007002880102247573,,2.0,0.31353468091713965,0.0574767692014575,16.72551021494317,0.011938265678046516,0.26133609710848704,0.010777444203958545,3.1532319281668806,21,36,0.24740280924856178,-0.4564905493746445,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,smooth_baseline,1.5,0.7840909090909092,0.8285714285714285,0.6551724137931034,0.2134551852941513,0.015505178433727321,0.0077525892168636605,0.15458357715440643,0.8674515982856441,0.007325634766882683,,2.0,0.37633798195886636,0.07596960919909179,16.637764613256618,0.011875634984480098,0.2599650720821346,0.013293116237618164,2.882649426025449,27,41,0.26300983431485353,-0.4560451630169735,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,gaussian_noise,0.5,0.9090909090909092,0.8944444444444444,1.0,0.00012981274630874395,0.0076126566156810875,0.0038063283078405437,0.10466267679477005,0.9296279185363733,0.006653516865127946,,2.0,0.3095565843687093,0.07430020533502102,19.665269509255836,0.014036594938797884,0.30726983608212244,0.009311750549640656,4.180347911334781,20,29,0.25836737116150416,-0.4668235462922894,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,gaussian_noise,1.0,0.9090909090909092,0.8944444444444444,1.0,0.0008340683416463435,0.007679362434937679,0.0038396812174688395,0.1058811030701715,0.9286626322938203,0.006654364667314675,,2.0,0.3032814300907277,0.07692604511976242,19.168186664240917,0.013681789196460327,0.29950291662876427,0.008983101764577962,4.1102374974580576,20,28,0.25372807860793695,-0.4628065603645719,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,gaussian_noise,1.5,0.9090909090909092,0.8944444444444444,1.0,0.0024997221771627665,0.007691297335864,0.003845648667932,0.10681089132888266,0.92529663150241,0.006645777808357846,,2.0,0.30240018927601287,0.07716819969937205,18.696422154175206,0.01334505507078887,0.29213159615898765,0.008964304973887754,4.052593540883796,21,28,0.24998218773419795,-0.4587817541705198,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,isolated_spikes,0.5,0.9090909090909092,0.8944444444444444,1.0,4.71842686238233e-05,0.007587027734746871,0.0037935138673734353,0.10443899208149461,0.9303023115791352,0.006655695112575939,,2.0,0.3339130220841889,0.07783430442214012,19.805773816833455,0.014136883523792616,0.30946521588802267,0.009358450380769781,4.214212990648862,20,30,0.2592211878061099,-0.46922267277389845,
