stage,scenario,representation,seed,instrument,sensor_family,observations,supported_observations,correct_supported,mean_confidence,accuracy_supported
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,arpls_minmax,1729,Agilent-1,NRC_Canadian_SERS,8,6,4,0.7571633681070918,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,arpls_minmax,1729,Agilent-1,pSERS_Metrohm_silver,21,13,13,0.9209012153726668,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,arpls_minmax,2718,Agilent-1,NRC_Canadian_SERS,8,6,0,0.8287057216293248,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,arpls_minmax,2718,Agilent-1,pSERS_Metrohm_silver,21,13,12,0.8233862288056195,0.9230769230769231
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,arpls_minmax,3141,Agilent-1,NRC_Canadian_SERS,8,6,0,0.8086231088644458,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-1,arpls_minmax,3141,Agilent-1,pSERS_Metrohm_silver,21,13,12,0.8774019967395668,0.9230769230769231
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,1729,Agilent-3,GaN_polymer,6,6,2,0.9960603830970327,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,1729,Agilent-3,H_SERS_H_Kit,11,11,6,0.868709982663704,0.5454545454545454
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,1729,Agilent-3,NRC_Canadian_SERS,3,3,1,0.4989857713646613,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,1729,Agilent-3,pSERS_Metrohm_silver,52,41,27,0.8241035067931145,0.6585365853658537
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,2718,Agilent-3,GaN_polymer,6,6,2,0.9639482994098736,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,2718,Agilent-3,H_SERS_H_Kit,11,11,6,0.8115542326356628,0.5454545454545454
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,2718,Agilent-3,NRC_Canadian_SERS,3,3,2,0.6521099284453257,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,2718,Agilent-3,pSERS_Metrohm_silver,52,41,25,0.8272994292230247,0.6097560975609756
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,3141,Agilent-3,GaN_polymer,6,6,2,0.9216415490166763,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,3141,Agilent-3,H_SERS_H_Kit,11,11,5,0.7510430315880491,0.45454545454545453
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,3141,Agilent-3,NRC_Canadian_SERS,3,3,2,0.7083770869359567,0.6666666666666666
domain,domain__quality_pass__domain_and_sample__instrument__Agilent-3,arpls_minmax,3141,Agilent-3,pSERS_Metrohm_silver,52,41,21,0.8024552578702037,0.5121951219512195
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,arpls_minmax,1729,Mira-1,GaN_polymer,3,3,3,0.8774720377887646,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,arpls_minmax,1729,Mira-1,pSERS_Metrohm_silver,18,18,13,0.9171222235874646,0.7222222222222222
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,arpls_minmax,2718,Mira-1,GaN_polymer,3,3,3,0.8925333597075937,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,arpls_minmax,2718,Mira-1,pSERS_Metrohm_silver,18,18,13,0.9082360782210203,0.7222222222222222
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,arpls_minmax,3141,Mira-1,GaN_polymer,3,3,1,0.7212433697415322,0.3333333333333333
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,arpls_minmax,3141,Mira-1,pSERS_Metrohm_silver,18,18,13,0.9101718285071976,0.7222222222222222
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,1729,Mira-2,GaN_polymer,4,0,0,0.738787508245907,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,1729,Mira-2,H_SERS_H_Kit,53,0,0,0.7989538174539098,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,1729,Mira-2,NRC_Canadian_SERS,16,2,0,0.9257216365851614,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,arpls_minmax,1729,Mira-2,pSERS_Metrohm_silver,1,1,0,0.8723235236813198,0.0
