experiment_id,fits,selected_epoch_median,selected_epoch_q25,selected_epoch_q75,selected_epoch_minimum,selected_epoch_maximum
EXP-N00-DEV,540,32,17,47,1,108
EXP-N00-T3,2043,23,8,43,1,145
