experiment_id,aggregation_id,planned_outer_cells,complete_outer_cells,coverage,mean_balanced_accuracy,mean_domain_balanced_accuracy,worst_domain_balanced_accuracy,failure_sensitive_mean_balanced_accuracy,mean_macro_f1,mean_negative_log_likelihood,mean_brier_score,mean_ece
EXP-N00-DEV,M01,60,60,1,0.780879886549,0.780879886549,0.632492144263,0.780879886549,0.75149724793,1.29311203303,0.360310281267,0.152620062355
EXP-N00-DEV,M06,60,60,1,0.915740740741,0.915740740741,0.791666666667,0.915740740741,0.905251322751,0.433100802645,0.178313055213,0.232035242312
EXP-N00-T3,M01,260,260,1,0.711197321197,0.711197321197,0.378558201058,0.711197321197,0.638818659671,1.63488849835,0.445801685046,0.265709313849
EXP-N00-T3,M06,260,260,1,0.765491452991,0.765491452991,0.366666666667,0.765491452991,0.684265364265,1.15402722249,0.365841718185,0.282913983541
