comparison_model_id,aggregation_id,planned_endpoints,common_complete_endpoints,common_coverage,d0_mean_ba_common,classical_mean_ba_common,mean_paired_delta_d0_minus_classical,d0_worst_domain_ba_common,classical_worst_domain_ba_common,d0_failure_sensitive_mean_ba,classical_failure_sensitive_mean_ba,mean_nll_delta_d0_minus_classical,mean_ece_delta_d0_minus_classical
C-EXTRA-TREES,M01,260,260,1,0.711197321197,0.715725524476,-0.0045282032782,0.378558201058,0.373697089947,0.711197321197,0.715725524476,0.851669590977,-0.060676617475
C-EXTRA-TREES,M06,260,260,1,0.765491452991,0.766452991453,-0.000961538461538,0.366666666667,0.366666666667,0.765491452991,0.766452991453,0.448396854101,-0.0892385961748
C-RANDOM-FOREST,M01,260,260,1,0.711197321197,0.701021987272,0.0101753339253,0.378558201058,0.373928571429,0.711197321197,0.701021987272,0.873514819182,-0.0523113332551
C-RANDOM-FOREST,M06,260,260,1,0.765491452991,0.767414529915,-0.00192307692308,0.366666666667,0.366666666667,0.765491452991,0.767414529915,0.478040097761,-0.0867296531028
C-RBF-SVM,M01,260,260,1,0.711197321197,0.670136668887,0.0410606523107,0.378558201058,0.366666666667,0.711197321197,0.670136668887,0.735814588264,-0.114001334402
C-RBF-SVM,M06,260,260,1,0.765491452991,0.701923076923,0.0635683760684,0.366666666667,0.366666666667,0.765491452991,0.701923076923,0.315422479984,-0.146965389373
C-SELECTED,M01,260,252,0.969230769231,0.710406407232,0.659085803233,0.0513206039992,0.378558201058,0.366666666667,0.711197321197,0.638806240056,0.69286715052,-0.110356980727
C-SELECTED,M06,260,252,0.969230769231,0.764660493827,0.712742504409,0.051917989418,0.366666666667,0.366666666667,0.765491452991,0.690811965812,0.296324095814,-0.138855357018
