domain_id,station,substrate_family,held_instrument,support_tier,policy_id,procedure_id,training_scope,classical_training_scope,held_masters,minimum_outer_repeat_predictions,held_balanced_accuracy,held_macro_f1,held_negative_log_likelihood,held_brier_score,held_ece,held_balanced_accuracy_lower_95,held_balanced_accuracy_upper_95,held_interval_method,held_bootstrap_resamples,held_recovery_threshold,held_recovery_evidence,portability_decision,classical_endpoint_status,classical_held_masters,classical_held_balanced_accuracy,classical_held_macro_f1,d0_minus_classical_balanced_accuracy
P13-DOM-006,cwa,H_SERS_H_Kit,Mira-2,confirmatory,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,24,5,0.640873015873,0.619708994709,0.825532959503,0.525141757498,0.184387302076,0.440476190476,0.777777777778,BCa,10000,0.6,held_recovery_inconclusive,not_estimable_without_matched_source_loss,complete,24,0.708994708995,0.699836601307,-0.068121693122
P13-DOM-007,cwa,H_SERS_H_Kit,Pendar-2,confirmatory,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,24,5,0.513888888889,0.436090225564,1.05931686743,0.575022642278,0.215240591695,0.319444444444,0.592592592593,BCa,10000,0.6,held_recovery_below_threshold,not_estimable_without_matched_source_loss,unavailable_terminal_failure,,,,
P13-DOM-009,cwa,H_SERS_H_Kit,RMX-1,confirmatory,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,18,5,0.763888888889,0.758333333333,0.661999096148,0.364062244969,0.230733471924,0.486111111111,0.916666666667,BCa,10000,0.6,held_recovery_inconclusive,not_estimable_without_matched_source_loss,unavailable_terminal_failure,,,,
P13-DOM-014,pills,NRC_Canadian_SERS,Agilent-1,exploratory_low_support,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,8,5,0.555555555556,0.412698412698,0.998797802584,0.6276122952,0.404052769742,0.333333333333,0.666666666667,BCa,10000,0.6,held_recovery_inconclusive,not_estimable_without_matched_source_loss,unavailable_terminal_failure,,,,
P13-DOM-015,pills,NRC_Canadian_SERS,Mira-3,exploratory_low_support,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,17,5,0.333333333333,0.213333333333,6.32250793597,1.04044424818,0.554151978451,0.333333333333,0.333333333333,percentile,10000,0.6,held_recovery_below_threshold,not_estimable_without_matched_source_loss,complete,17,0.316666666667,0.265151515152,0.0166666666663
P13-DOM-017,pills,pSERS_Metrohm_silver,Agilent-1,confirmatory,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,19,5,1,1,2.32220604768e-07,1.99169487714e-13,1.67919816555e-07,1,1,percentile,10000,0.6,held_recovery_supported,not_estimable_without_matched_source_loss,complete,19,0.958333333333,0.947474747475,0.041666666667
P13-DOM-018,pills,pSERS_Metrohm_silver,Agilent-3,confirmatory,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,20,5,1,1,0.0859405029553,0.0397381069927,0.0723133543797,1,1,percentile,10000,0.6,held_recovery_supported,not_estimable_without_matched_source_loss,complete,20,0.958333333333,0.947474747475,0.041666666667
P13-DOM-019,pills,pSERS_Metrohm_silver,Mira-3,confirmatory,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,19,5,0.333333333333,0.197530864198,5.79321925086,1.05351968461,0.546266296347,0.333333333333,0.333333333333,BCa,10000,0.6,held_recovery_below_threshold,not_estimable_without_matched_source_loss,complete,19,0.333333333333,0.197530864198,3.33288951992e-13
P13-DOM-020,pills,pSERS_Metrohm_silver,Pendar-1,confirmatory,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,19,5,1,1,0.0892396540225,0.0495298915278,0.0702505044816,1,1,percentile,10000,0.6,held_recovery_supported,not_estimable_without_matched_source_loss,complete,19,0.933333333333,0.940740740741,0.066666666667
P13-DOM-022,pills,pSERS_Metrohm_silver,Pendar-3,confirmatory,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,19,5,1,1,0.0259662361352,0.00579284900552,0.0242233707969,1,1,percentile,10000,0.6,held_recovery_supported,not_estimable_without_matched_source_loss,complete,19,0.952380952381,0.954751131222,0.047619047619
P13-DOM-029,surfaces,pSERS_Metrohm_silver,Agilent-3,confirmatory,PP-U-MIN,D0-ERM,all_source_substrates_within_station,source_rows_of_same_substrate_family,17,5,0.492063492063,0.424185463659,1.16543499838,0.608566002445,0.329163609425,0.333333333333,0.714285714286,BCa,10000,0.6,held_recovery_inconclusive,not_estimable_without_matched_source_loss,unavailable_terminal_failure,,,,
