experiment_id,aggregation_id,station,domain,outer_cells,mean_balanced_accuracy,minimum_balanced_accuracy,mean_macro_f1,mean_negative_log_likelihood,mean_brier_score,mean_ece
EXP-N00-DEV,M01,cwa,cwa:within,20,0.632492144263,0.502948717949,0.612605844359,1.49150573741,0.536819099408,0.224030288651
EXP-N00-DEV,M01,pills,pills:within,20,0.862804118185,0.771825396825,0.843413038241,1.51475129046,0.258256153748,0.108492817615
EXP-N00-DEV,M01,surfaces,surfaces:within,20,0.847343397198,0.767688378033,0.798472861189,0.873079071214,0.285855590646,0.125337080801
EXP-N00-DEV,M06,cwa,cwa:within,20,0.791666666667,0.5,0.768452380952,0.606477424926,0.337107096537,0.374163317255
EXP-N00-DEV,M06,pills,pills:within,20,1,1,1,0.123130003542,0.0322071976603,0.112289927859
EXP-N00-DEV,M06,surfaces,surfaces:within,20,0.955555555556,0.833333333333,0.947301587302,0.569694979468,0.165624871441,0.209652481822
EXP-N00-T3,M01,cwa,cwa:Mira-2,20,0.515589225589,0.333333333333,0.455575583818,1.9631602963,0.790912577165,0.409100768793
EXP-N00-T3,M01,cwa,cwa:Pendar-2,20,0.523505291005,0.366666666667,0.468622945109,1.63685217103,0.676453045153,0.382620964017
EXP-N00-T3,M01,cwa,cwa:RMX-1,20,0.619563492063,0.3,0.537307909364,1.28593933733,0.520777712815,0.344244374391
EXP-N00-T3,M01,pills,pills:Agilent-1,20,0.878055555556,0.722222222222,0.853452380952,0.94875641221,0.197573993367,0.117021754404
EXP-N00-T3,M01,pills,pills:Agilent-3,20,0.920833333333,0.722222222222,0.911911791912,0.370880492668,0.11378223232,0.0927640732375
EXP-N00-T3,M01,pills,pills:Mira-3,20,0.378558201058,0.263888888889,0.229353980142,8.17400382069,1.04438290944,0.526148555958
EXP-N00-T3,M01,pills,pills:Pendar-1,20,0.836785714286,0.555555555556,0.797215932216,1.85133502645,0.315975318,0.174473543455
EXP-N00-T3,M01,pills,pills:Pendar-3,20,0.991666666667,0.833333333333,0.924444444444,0.0352193840639,0.020631107777,0.0276691929296
EXP-N00-T3,M01,surfaces,surfaces:Agilent-3,20,0.513888888889,0,0.365013227513,1.86658158435,0.678089841999,0.393452272933
EXP-N00-T3,M01,surfaces,surfaces:Mira-1,20,0.66378968254,0.238095238095,0.532957597958,0.874520172106,0.4179592256,0.303706245977
EXP-N00-T3,M01,surfaces,surfaces:Pendar-2,20,0.950674603175,0.833333333333,0.936369463869,0.222741135876,0.129283031259,0.143264840983
EXP-N00-T3,M01,surfaces,surfaces:Pendar-3,20,0.735833333333,0.555555555556,0.6172000222,1.18834284395,0.474205631271,0.301115727212
EXP-N00-T3,M01,surfaces,surfaces:RMX-2,20,0.716821188071,0.304761904762,0.675217296223,0.835217801578,0.415395279429,0.238638765749
EXP-N00-T3,M06,cwa,cwa:Mira-2,20,0.491666666667,0.333333333333,0.378902116402,1.19154303763,0.627941237136,0.474095809077
EXP-N00-T3,M06,cwa,cwa:Pendar-2,20,0.569444444444,0.333333333333,0.485833333333,1.40055130464,0.632328493688,0.448889065045
EXP-N00-T3,M06,cwa,cwa:RMX-1,20,0.691666666667,0.333333333333,0.572222222222,1.01964056083,0.457730897984,0.398233105584
EXP-N00-T3,M06,pills,pills:Agilent-1,20,1,1,0.983333333333,0.118410563914,0.0686179623407,0.092288453599
EXP-N00-T3,M06,pills,pills:Agilent-3,20,0.966666666667,0.666666666667,0.96,0.0868807128291,0.0442403350386,0.0714785811871
EXP-N00-T3,M06,pills,pills:Mira-3,20,0.366666666667,0.333333333333,0.201507936508,6.9209004091,1.03800687199,0.546656196628
EXP-N00-T3,M06,pills,pills:Pendar-1,20,0.966666666667,0.833333333333,0.957777777778,0.230738735142,0.129566603338,0.176649974765
EXP-N00-T3,M06,pills,pills:Pendar-3,20,0.991666666667,0.833333333333,0.924444444444,0.033459793497,0.0189691135821,0.0263586405182
EXP-N00-T3,M06,surfaces,surfaces:Agilent-3,20,0.536111111111,0,0.384682539683,1.81800933374,0.664786824661,0.396458756221
EXP-N00-T3,M06,surfaces,surfaces:Mira-1,20,0.702777777778,0.222222222222,0.566587301587,0.548649290817,0.318264968331,0.263610246929
EXP-N00-T3,M06,surfaces,surfaces:Pendar-2,20,0.947222222222,0.833333333333,0.94380952381,0.1819981344,0.0998779759127,0.126100888003
EXP-N00-T3,M06,surfaces,surfaces:Pendar-3,20,0.884722222222,0.5,0.745,0.913629939579,0.359340047077,0.331693070707
EXP-N00-T3,M06,surfaces,surfaces:RMX-2,20,0.836111111111,0.333333333333,0.791349206349,0.537942076254,0.296271005324,0.325368997775
