experiment_id,candidate_id,learning_rate,weight_decay,fit_count,complete_fit_count,mean_best_validation_ba,mean_best_validation_nll,median_best_epoch
EXP-N00-DEV,LR0.0003_WD0.00001,0.0003,1e-05,540,540,0.789933395539,0.856204820014,34
EXP-N00-DEV,LR0.0003_WD0.0001,0.0003,0.0001,540,540,0.789043710139,0.867803005037,32
EXP-N00-DEV,LR0.0003_WD0.001,0.0003,0.001,540,540,0.791189751172,0.861190405894,35
EXP-N00-DEV,LR0.001_WD0.00001,0.001,1e-05,540,540,0.804264171648,1.03884702637,29
EXP-N00-DEV,LR0.001_WD0.0001,0.001,0.0001,540,540,0.803648032661,1.04270610118,28
EXP-N00-DEV,LR0.001_WD0.001,0.001,0.001,540,540,0.800976694855,1.0393575499,26
EXP-N00-T3,LR0.0003_WD0.00001,0.0003,1e-05,2043,2043,0.703213729881,0.926924846141,25
EXP-N00-T3,LR0.0003_WD0.0001,0.0003,0.0001,2043,2043,0.70182259063,0.924886700154,25
EXP-N00-T3,LR0.0003_WD0.001,0.0003,0.001,2043,2043,0.701991577188,0.925290487599,25
EXP-N00-T3,LR0.001_WD0.00001,0.001,1e-05,2043,2043,0.711354798431,1.2141880349,20
EXP-N00-T3,LR0.001_WD0.0001,0.001,0.0001,2043,2043,0.712774801772,1.1748399734,20
EXP-N00-T3,LR0.001_WD0.001,0.001,0.001,2043,2043,0.711966090645,1.20652045004,20
