experiment_id,candidate_id,learning_rate,weight_decay,outer_context_count
EXP-N00-DEV,LR0.0003_WD0.00001,0.0003,1e-05,5
EXP-N00-DEV,LR0.0003_WD0.0001,0.0003,0.0001,3
EXP-N00-DEV,LR0.0003_WD0.001,0.0003,0.001,2
EXP-N00-DEV,LR0.001_WD0.00001,0.001,1e-05,19
EXP-N00-DEV,LR0.001_WD0.0001,0.001,0.0001,17
EXP-N00-DEV,LR0.001_WD0.001,0.001,0.001,14
EXP-N00-T3,LR0.0003_WD0.00001,0.0003,1e-05,28
EXP-N00-T3,LR0.0003_WD0.0001,0.0003,0.0001,19
EXP-N00-T3,LR0.0003_WD0.001,0.0003,0.001,26
EXP-N00-T3,LR0.001_WD0.00001,0.001,1e-05,54
EXP-N00-T3,LR0.001_WD0.0001,0.001,0.0001,72
EXP-N00-T3,LR0.001_WD0.001,0.001,0.001,61
