held_out_substrate,feature,model,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1
Ag,snv_l2,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.48,0.48,0.4226830517153098
Ag,snv_l2,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.4,0.39999999999999997,0.31643467643467643
Ag,snv_l2,linear_svm,200,75,"4np,benzenethiol,pyridine",0.6133333333333333,0.6133333333333333,0.5436292913918485
Ag,smooth_snv_l2,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.4666666666666667,0.4666666666666666,0.4035420619860847
Ag,smooth_snv_l2,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.37333333333333335,0.37333333333333335,0.2997926954413659
Ag,smooth_snv_l2,linear_svm,200,75,"4np,benzenethiol,pyridine",0.64,0.64,0.5682716049382716
Ag,derivative_1,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.9066666666666666,0.9066666666666666,0.9048007615939072
Ag,derivative_1,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.7466666666666667,0.7466666666666667,0.7039114851176563
Ag,derivative_1,linear_svm,200,75,"4np,benzenethiol,pyridine",0.68,0.68,0.5805996472663139
Ag,derivative_2,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.96,0.96,0.9598554797270173
Ag,derivative_2,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.8266666666666667,0.8266666666666667,0.8099530804448838
Ag,derivative_2,linear_svm,200,75,"4np,benzenethiol,pyridine",0.68,0.68,0.5667949053652118
Ag,peak_emphasis,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.8933333333333333,0.8933333333333334,0.8905309250136836
Ag,peak_emphasis,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.7466666666666667,0.7466666666666667,0.7009276829011175
Ag,peak_emphasis,linear_svm,200,75,"4np,benzenethiol,pyridine",0.8666666666666667,0.8666666666666667,0.8600914049830459
Au,snv_l2,nearest_centroid,225,50,"benzenethiol,pyridine",0.6,0.6,0.42557651991614254
Au,snv_l2,cosine_knn_3,225,50,"benzenethiol,pyridine",0.48,0.48,0.3781433163168841
Au,snv_l2,linear_svm,225,50,"benzenethiol,pyridine",0.8,0.8,0.5739682539682539
Au,smooth_snv_l2,nearest_centroid,225,50,"benzenethiol,pyridine",0.56,0.56,0.3800705467372134
Au,smooth_snv_l2,cosine_knn_3,225,50,"benzenethiol,pyridine",0.5,0.5,0.3923853923853924
Au,smooth_snv_l2,linear_svm,225,50,"benzenethiol,pyridine",0.68,0.68,0.5059101654846335
Au,derivative_1,nearest_centroid,225,50,"benzenethiol,pyridine",1.0,1.0,1.0
Au,derivative_1,cosine_knn_3,225,50,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312
Au,derivative_1,linear_svm,225,50,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312
Au,derivative_2,nearest_centroid,225,50,"benzenethiol,pyridine",1.0,1.0,1.0
Au,derivative_2,cosine_knn_3,225,50,"benzenethiol,pyridine",1.0,1.0,1.0
Au,derivative_2,linear_svm,225,50,"benzenethiol,pyridine",1.0,1.0,1.0
Au,peak_emphasis,nearest_centroid,225,50,"benzenethiol,pyridine",1.0,1.0,1.0
Au,peak_emphasis,cosine_knn_3,225,50,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312
Au,peak_emphasis,linear_svm,225,50,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312
PICO,snv_l2,nearest_centroid,200,75,"4np,benzenethiol,pyridine",0.3333333333333333,0.3333333333333333,0.16666666666666666
PICO,snv_l2,cosine_knn_3,200,75,"4np,benzenethiol,pyridine",0.7066666666666667,0.7066666666666667,0.6362433862433862
PICO,snv_l2,linear_svm,200,75,"4np,benzenethiol,pyridine",0.6933333333333334,0.6933333333333334,0.6110265516658211
